x,t=1.00e+02s,t=1.70e+04s,t=8.00e+05s
2.244897959183673271e-07,1.434172383418764688e+14,1.521815359780617500e+14,1.665587172730920938e+14
2.040816326530611872e-07,1.470897812942235000e+14,1.550573256604637500e+14,1.681274905402750000e+14
2.448979591836734669e-07,1.397446957436545625e+14,1.493057463164490312e+14,1.649899440059094062e+14
2.244897959183673271e-07,1.434172383418765938e+14,1.521815359780616875e+14,1.665587172730919688e+14
2.653061224489795539e-07,1.360721535317500312e+14,1.464299566775159062e+14,1.634211707387272812e+14
2.448979591836734669e-07,1.397446957436546719e+14,1.493057463164490625e+14,1.649899440059095625e+14
2.857142857142856938e-07,1.323996117383550781e+14,1.435541670631520000e+14,1.618523974715455000e+14
2.653061224489795539e-07,1.360721535317498750e+14,1.464299566775158125e+14,1.634211707387271250e+14
3.061224489795917807e-07,1.287270703956618750e+14,1.406783774752477500e+14,1.602836242043641875e+14
2.857142857142856938e-07,1.323996117383550312e+14,1.435541670631520312e+14,1.618523974715454375e+14
3.265306122448979206e-07,1.250545295358621875e+14,1.378025879156923906e+14,1.587148509371833750e+14
3.061224489795917807e-07,1.287270703956616875e+14,1.406783774752475312e+14,1.602836242043639375e+14
3.469387755102040605e-07,1.213819891911477969e+14,1.349267983863765156e+14,1.571460776700028438e+14
3.265306122448979206e-07,1.250545295358621250e+14,1.378025879156923906e+14,1.587148509371831562e+14
3.673469387755101475e-07,1.177094493937102656e+14,1.320510088891898594e+14,1.555773044028232500e+14
3.469387755102040605e-07,1.213819891911478438e+14,1.349267983863765625e+14,1.571460776700029375e+14
3.877551020408162874e-07,1.140369101757403750e+14,1.291752194260223906e+14,1.540085311356439062e+14
3.673469387755101475e-07,1.177094493937100781e+14,1.320510088891897031e+14,1.555773044028230625e+14
4.081632653061223743e-07,1.103643715694292812e+14,1.262994299987639844e+14,1.524397578684654375e+14
3.877551020408162874e-07,1.140369101757403594e+14,1.291752194260223594e+14,1.540085311356440000e+14
4.285714285714285142e-07,1.066918336069673438e+14,1.234236406093045625e+14,1.508709846012875312e+14
4.081632653061223743e-07,1.103643715694290469e+14,1.262994299987640000e+14,1.524397578684653125e+14
4.489795918367346541e-07,1.030192963205450312e+14,1.205478512595343906e+14,1.493022113341102188e+14
4.285714285714285142e-07,1.066918336069671875e+14,1.234236406093045469e+14,1.508709846012875312e+14
4.693877551020407411e-07,9.934675974235215625e+13,1.176720619513431250e+14,1.477334380669338438e+14
4.489795918367346541e-07,1.030192963205450312e+14,1.205478512595343281e+14,1.493022113341103438e+14
4.897959183673469339e-07,9.567422390457839062e+13,1.147962726866206875e+14,1.461646647997580938e+14
4.693877551020407411e-07,9.934675974235207812e+13,1.176720619513430312e+14,1.477334380669338750e+14
5.102040816326530209e-07,9.200168883941315625e+13,1.119204834672572500e+14,1.445958915325832812e+14
4.897959183673469339e-07,9.567422390457840625e+13,1.147962726866206875e+14,1.461646647997581875e+14
5.306122448979591078e-07,8.832915457904512500e+13,1.090446942951426094e+14,1.430271182654091250e+14
5.102040816326530209e-07,9.200168883941309375e+13,1.119204834672572031e+14,1.445958915325832188e+14
5.510204081632651948e-07,8.465662115566292188e+13,1.061689051721668438e+14,1.414583449982359375e+14
5.306122448979591078e-07,8.832915457904510938e+13,1.090446942951425469e+14,1.430271182654090938e+14
5.714285714285713876e-07,8.098408860145467188e+13,1.032931161002196250e+14,1.398895717310635156e+14
5.510204081632651948e-07,8.465662115566287500e+13,1.061689051721666406e+14,1.414583449982358438e+14
5.918367346938774745e-07,7.731155694860810938e+13,1.004173270811912656e+14,1.383207984638921406e+14
5.714285714285713876e-07,8.098408860145467188e+13,1.032931161002195938e+14,1.398895717310635469e+14
6.122448979591835615e-07,7.363902622931046875e+13,9.754153811697146875e+13,1.367520251967216875e+14
5.918367346938774745e-07,7.731155694860806250e+13,1.004173270811911875e+14,1.383207984638921406e+14
6.326530612244897543e-07,6.996649647574860938e+13,9.466574920945025000e+13,1.351832519295521250e+14
6.122448979591835615e-07,7.363902622931043750e+13,9.754153811697137500e+13,1.367520251967216094e+14
6.530612244897958413e-07,6.629396772010905469e+13,9.178996036051771875e+13,1.336144786623837812e+14
