x,t=1.00e+01s,t=2.00e+01s,t=3.00e+01s,t=4.00e+01s,t=5.00e+01s,t=6.00e+01s,t=7.00e+01s,t=8.00e+01s,t=9.00e+01s,t=1.00e+02s,t=1.10e+02s,t=1.20e+02s,t=1.30e+02s,t=1.40e+02s,t=1.50e+02s,t=1.60e+02s,t=1.70e+02s,t=1.80e+02s,t=1.90e+02s,t=2.00e+02s,t=2.10e+02s,t=2.20e+02s,t=2.30e+02s,t=2.40e+02s,t=2.50e+02s,t=2.60e+02s,t=2.70e+02s,t=2.80e+02s,t=2.90e+02s,t=3.00e+02s,t=3.10e+02s,t=3.20e+02s,t=3.30e+02s,t=3.40e+02s,t=3.50e+02s,t=3.60e+02s,t=3.70e+02s,t=3.80e+02s,t=3.90e+02s,t=4.00e+02s,t=4.10e+02s,t=4.20e+02s,t=4.30e+02s,t=4.40e+02s,t=4.50e+02s,t=4.60e+02s,t=4.70e+02s,t=4.80e+02s,t=4.90e+02s,t=5.00e+02s
1.818181818181818180e-03,1.414239085251036377e+11,1.348195395593379297e+13,2.065857984979529062e+14,1.287588647402713750e+15,4.785398575513578000e+15,1.286370731674420200e+16,2.787185788980324000e+16,5.195912856484784800e+16,8.687246115659593600e+16,1.339085944231074560e+17,1.939558687211965120e+17,2.675743216539363520e+17,3.550831756737543680e+17,4.566398809596696320e+17,5.723039884084671360e+17,7.020842580465573120e+17,8.459701746091731200e+17,1.003950397341288704e+18,1.176021152242262016e+18,1.362187516183609600e+18,1.562460176696442624e+18,1.776849746545430272e+18,2.005360183090977024e+18,2.247982378753041408e+18,2.504688585562137088e+18,2.775428024284940288e+18,3.060123802349608960e+18,3.358671112417416192e+18,3.670936589856274944e+18,3.996758657766108160e+18,4.335948669643753472e+18,4.688292661768117248e+18,5.053553541916044288e+18,5.431473562258457600e+18,5.821776948206942208e+18,6.224172578949693440e+18,6.638356637833275392e+18,7.064015170747458560e+18,7.500826507887795200e+18,7.948463518662286336e+18,8.406595681226811392e+18,8.874890957439611904e+18,9.353017471225845760e+18,9.840644993756123136e+18,1.033744624277060813e+19,1.084309800609945190e+19,1.135728210118311117e+19,1.187968618339260211e+19,1.241000441636408115e+19,1.294793801754102784e+19
1.515151515151515150e-03,1.312209172735773773e+11,1.278045703077144727e+13,1.986968385249040938e+14,1.250605563553311750e+15,4.679232877638428000e+15,1.263757186593686600e+16,2.747450442696969600e+16,5.134597326229666400e+16,8.600860067032795200e+16,1.327689302697067040e+17,1.925237375946994880e+17,2.658395925274404800e+17,3.530403516199658240e+17,4.542864645952076160e+17,5.696392076216999040e+17,6.991081588189446400e+17,8.426830404531013120e+17,1.000352433402988160e+18,1.172112366773922560e+18,1.357967736522985728e+18,1.557929146552195072e+18,1.772007263026750720e+18,2.000206243401466880e+18,2.242517316566421248e+18,2.498913185271263232e+18,2.769343607484816896e+18,3.053732285264325120e+18,3.351975035818048000e+18,3.663939124680460800e+18,3.989463590454715392e+18,4.328360371423112192e+18,4.680416045938215936e+18,5.045394012814029824e+18,5.423036959065629696e+18,5.813069486232357888e+18,6.215200790503106560e+18,6.629127314323138560e+18,7.054535307220144128e+18,7.491103250867442688e+18,7.938504117855386624e+18,8.396407445417499648e+18,8.864481214714353664e+18,9.342393533522913280e+18,9.829814125628553216e+18,1.032641563417551872e+19,1.083187474897488077e+19,1.134587316954197197e+19,1.186809841664611738e+19,1.239824450558243021e+19,1.293601249436161024e+19
2.121212121212120993e-03,1.540931722600520935e+11,1.433910435025104688e+13,2.161246919166385312e+14,1.332003726633148750e+15,4.912331612760296000e+15,1.313326950020411200e+16,2.834454225672298400e+16,5.268746237401463200e+16,8.789750726644049600e+16,1.352598434822959040e+17,1.956528750249789760e+17,2.696289557388858880e+17,3.575018644209160320e+17,4.594255331815434240e+17,5.754574939018185600e+17,7.056055532514754560e+17,8.498589232935623680e+17,1.008206359737535616e+18,1.180644322150491904e+18,1.367178100185102336e+18,1.567818478144278784e+18,1.782576003231072000e+18,2.011454393934291200e+18,2.254444142962881280e+18,2.511516968092285440e+18,2.782621454155283968e+18,3.067680005293571072e+18,3.366587075988218880e+18,3.679208557177211392e+18,4.005382145171769344e+18,4.344918503216132608e+18,4.697603027975453696e+18,5.063198048026971136e+18,5.441445302797565952e+18,5.832068574350151680e+18,6.234776368371997696e+18,6.649264563084327936e+18,7.075218964724822016e+18,7.512317725398340608e+18,7.960233593409893376e+18,8.418635977844951040e+18,8.887192818407815168e+18,9.365572258677839872e+18,9.853444126312560640e+18,1.035048122761868288e+19,1.085636046660214374e+19,1.137076380033819853e+19,1.189337904348120064e+19,1.242390053513434112e+19,1.296202968126846771e+19
1.818181818181818180e-03,1.414239085251036072e+11,1.348195395593379492e+13,2.065857984979528438e+14,1.287588647402712750e+15,4.785398575513574000e+15,1.286370731674421400e+16,2.787185788980323600e+16,5.195912856484784800e+16,8.687246115659588800e+16,1.339085944231074720e+17,1.939558687211964480e+17,2.675743216539362880e+17,3.550831756737546240e+17,4.566398809596694400e+17,5.723039884084674560e+17,7.020842580465573120e+17,8.459701746091732480e+17,1.003950397341289216e+18,1.176021152242261248e+18,1.362187516183609088e+18,1.562460176696442112e+18,1.776849746545430784e+18,2.005360183090977024e+18,2.247982378753041664e+18,2.504688585562137600e+18,2.775428024284940800e+18,3.060123802349609984e+18,3.358671112417414656e+18,3.670936589856273408e+18,3.996758657766108160e+18,4.335948669643755008e+18,4.688292661768118272e+18,5.053553541916042240e+18,5.431473562258456576e+18,5.821776948206940160e+18,6.224172578949691392e+18,6.638356637833274368e+18,7.064015170747458560e+18,7.500826507887789056e+18,7.948463518662280192e+18,8.406595681226812416e+18,8.874890957439606784e+18,9.353017471225845760e+18,9.840644993756114944e+18,1.033744624277061018e+19,1.084309800609945190e+19,1.135728210118311731e+19,1.187968618339259187e+19,1.241000441636408730e+19,1.294793801754101965e+19
2.424242424242424240e-03,1.695684056989997864e+11,1.536706175761629883e+13,2.274279008092541875e+14,1.384224410700778000e+15,5.060807146898118000e+15,1.344749261950034400e+16,2.889422784085101200e+16,5.353301260701070400e+16,8.908606202454513600e+16,1.368252081967846240e+17,1.976174313984906560e+17,2.720062663116360320e+17,3.602992535035082240e+17,4.626463008692762240e+17,5.791026368491114240e+17,7.096749858756869120e+17,8.543522560651175680e+17,1.013123319578138496e+18,1.185984906681553152e+18,1.372942551195804416e+18,1.574007146323746304e+18,1.789189160303736064e+18,2.018492032722514944e+18,2.261905792211228928e+18,2.519401537833354240e+18,2.790927119072692224e+18,3.076404127682944512e+18,3.375726166108988928e+18,3.688758266565128704e+18,4.015337287416815616e+18,4.355273096441582592e+18,4.708350353496047616e+18,5.074330720204418048e+18,5.452955345797809152e+18,5.843947502236538880e+18,6.247015265676528640e+18,6.661854163647068160e+18,7.088149727160776704e+18,7.525579904034671616e+18,7.973817303936252928e+18,8.432531257241858048e+18,8.901389678971255808e+18,9.380060736151883776e+18,9.868214322285551616e+18,1.036552334644099482e+19,1.087166484715256422e+19,1.138632094300895027e+19,1.190917963277363405e+19,1.243993545826426880e+19,1.297829004317489357e+19
2.121212121212120993e-03,1.540931722600518494e+11,1.433910435025103711e+13,2.161246919166383125e+14,1.332003726633147500e+15,4.912331612760289000e+15,1.313326950020410200e+16,2.834454225672294400e+16,5.268746237401457600e+16,8.789750726644038400e+16,1.352598434822957920e+17,1.956528750249788160e+17,2.696289557388857280e+17,3.575018644209157120e+17,4.594255331815429760e+17,5.754574939018184960e+17,7.056055532514745600e+17,8.498589232935610880e+17,1.008206359737534592e+18,1.180644322150490112e+18,1.367178100185100544e+18,1.567818478144277760e+18,1.782576003231070720e+18,2.011454393934288384e+18,2.254444142962879232e+18,2.511516968092282880e+18,2.782621454155280384e+18,3.067680005293570560e+18,3.366587075988216320e+18,3.679208557177206784e+18,4.005382145171765760e+18,4.344918503216132608e+18,4.697603027975448576e+18,5.063198048026967040e+18,5.441445302797561856e+18,5.832068574350147584e+18,6.234776368371990528e+18,6.649264563084318720e+18,7.075218964724814848e+18,7.512317725398333440e+18,7.960233593409886208e+18,8.418635977844939776e+18,8.887192818407804928e+18,9.365572258677835776e+18,9.853444126312548352e+18,1.035048122761867264e+19,1.085636046660212531e+19,1.137076380033818829e+19,1.189337904348118426e+19,1.242390053513432883e+19,1.296202968126845952e+19
2.727272727272727487e-03,1.882670028647518921e+11,1.658401014047377734e+13,2.406305005995474375e+14,1.444687079554111000e+15,5.231723394872075000e+15,1.380779789576879200e+16,2.952282774951144400e+16,5.449810180970700000e+16,9.044076002850356800e+16,1.386075446514258080e+17,1.998525414086071360e+17,2.747093493699065600e+17,3.634784938193629440e+17,4.663053666848094720e+17,5.832426193251069440e+17,7.142957724048736000e+17,8.594534032405198080e+17,1.018704522564425216e+18,1.192046168963621120e+18,1.379484151230388480e+18,1.581029482410699776e+18,1.796692536942245888e+18,2.026476434046339840e+18,2.270370672634357504e+18,2.528345647570447872e+18,2.800348372823596032e+18,3.086299518186591232e+18,3.386091719997298688e+18,3.699589037459434496e+18,4.026627380024034304e+18,4.367015715117293056e+18,4.720537869025341440e+18,5.086954749168516096e+18,5.466006837674245120e+18,5.857416830208044032e+18,6.260892317925015552e+18,6.676128432642010112e+18,7.102810395094327296e+18,7.540615923102186496e+18,7.989217470612074496e+18,8.448284280063820800e+18,8.917484239632749568e+18,9.396485543918749696e+18,9.884958161916719104e+18,1.038257511990722560e+19,1.088901360952519270e+19,1.140395593293856768e+19,1.192709029800350925e+19,1.245811147663041536e+19,1.299672133953900544e+19
2.424242424242424240e-03,1.695684056989995728e+11,1.536706175761627734e+13,2.274279008092538438e+14,1.384224410700776500e+15,5.060807146898109000e+15,1.344749261950033000e+16,2.889422784085099200e+16,5.353301260701064000e+16,8.908606202454507200e+16,1.368252081967843840e+17,1.976174313984905600e+17,2.720062663116357760e+17,3.602992535035079680e+17,4.626463008692755840e+17,5.791026368491106560e+17,7.096749858756858880e+17,8.543522560651155200e+17,1.013123319578136320e+18,1.185984906681551872e+18,1.372942551195802112e+18,1.574007146323744768e+18,1.789189160303733504e+18,2.018492032722513664e+18,2.261905792211226624e+18,2.519401537833352704e+18,2.790927119072688640e+18,3.076404127682941440e+18,3.375726166108983808e+18,3.688758266565123072e+18,4.015337287416809984e+18,4.355273096441577984e+18,4.708350353496043520e+18,5.074330720204414976e+18,5.452955345797803008e+18,5.843947502236534784e+18,6.247015265676520448e+18,6.661854163647059968e+18,7.088149727160765440e+18,7.525579904034656256e+18,7.973817303936239616e+18,8.432531257241851904e+18,8.901389678971242496e+18,9.380060736151867392e+18,9.868214322285541376e+18,1.036552334644098662e+19,1.087166484715255194e+19,1.138632094300894618e+19,1.190917963277362381e+19,1.243993545826425037e+19,1.297829004317488128e+19
3.030303030303030300e-03,2.106969172279657288e+11,1.801151950116152344e+13,2.558900108197906562e+14,1.513894932339944000e+15,5.426108280447917000e+15,1.421580304919199600e+16,3.023251071540407600e+16,5.558535407658266400e+16,9.196456923944400000e+16,1.406100616220796480e+17,2.023615707678933440e+17,2.777416653680397440e+17,3.670430982995438720e+17,4.704062700818935680e+17,5.878809935306672640e+17,7.194714722791742720e+17,8.651659309397623040e+17,1.024953543299609984e+18,1.198831694397803264e+18,1.386806498114332672e+18,1.588889096924418048e+18,1.805089755003155456e+18,2.035411228126825728e+18,2.279842418414846464e+18,2.538352929896754688e+18,2.810888840033016832e+18,3.097369786572624896e+18,3.397687325456628736e+18,3.711704428622640128e+18,4.039255945874258944e+18,4.380149839795381248e+18,4.734169006848245760e+18,5.101073513583756288e+18,5.480603098747514880e+18,5.872479816165753856e+18,6.276410717168043008e+18,6.692090493464125440e+18,7.119204021055058944e+18,7.557428762612059136e+18,8.006436999790262272e+18,8.465897878332390400e+18,8.935479257829091328e+18,9.414849364950044672e+18,9.903678254160054272e+18,1.040163908368643072e+19,1.090840921708184986e+19,1.142367116236738150e+19,1.194711336164944691e+19,1.247843084445282099e+19,1.301732575794106982e+19
2.727272727272727487e-03,1.882670028647519226e+11,1.658401014047377148e+13,2.406305005995472812e+14,1.444687079554111500e+15,5.231723394872075000e+15,1.380779789576879000e+16,2.952282774951142400e+16,5.449810180970696800e+16,9.044076002850360000e+16,1.386075446514257920e+17,1.998525414086071360e+17,2.747093493699066240e+17,3.634784938193630080e+17,4.663053666848092800e+17,5.832426193251072000e+17,7.142957724048729600e+17,8.594534032405199360e+17,1.018704522564423808e+18,1.192046168963622144e+18,1.379484151230388224e+18,1.581029482410699008e+18,1.796692536942245120e+18,2.026476434046340608e+18,2.270370672634356736e+18,2.528345647570447872e+18,2.800348372823595520e+18,3.086299518186590208e+18,3.386091719997296640e+18,3.699589037459433472e+18,4.026627380024033280e+18,4.367015715117293056e+18,4.720537869025343488e+18,5.086954749168516096e+18,5.466006837674246144e+18,5.857416830208045056e+18,6.260892317925017600e+18,6.676128432642011136e+18,7.102810395094327296e+18,7.540615923102181376e+18,7.989217470612072448e+18,8.448284280063822848e+18,8.917484239632747520e+18,9.396485543918747648e+18,9.884958161916721152e+18,1.038257511990723174e+19,1.088901360952519475e+19,1.140395593293856973e+19,1.192709029800350106e+19,1.245811147663040922e+19,1.299672133953900339e+19
