x,t=1.00e+01s,t=2.00e+01s,t=3.00e+01s,t=4.00e+01s,t=5.00e+01s,t=6.00e+01s,t=7.00e+01s,t=8.00e+01s,t=9.00e+01s,t=1.00e+02s,t=1.10e+02s,t=1.20e+02s,t=1.30e+02s,t=1.40e+02s,t=1.50e+02s,t=1.60e+02s,t=1.70e+02s,t=1.80e+02s,t=1.90e+02s,t=2.00e+02s,t=2.10e+02s,t=2.20e+02s,t=2.30e+02s,t=2.40e+02s,t=2.50e+02s,t=2.60e+02s,t=2.70e+02s,t=2.80e+02s,t=2.90e+02s,t=3.00e+02s,t=3.10e+02s,t=3.20e+02s,t=3.30e+02s,t=3.40e+02s,t=3.50e+02s,t=3.60e+02s,t=3.70e+02s,t=3.80e+02s,t=3.90e+02s,t=4.00e+02s,t=4.10e+02s,t=4.20e+02s,t=4.30e+02s,t=4.40e+02s,t=4.50e+02s,t=4.60e+02s,t=4.70e+02s,t=4.80e+02s,t=4.90e+02s,t=5.00e+02s
3.030303030303030300e-04,1.103120849786767426e+11,1.130762763338048242e+13,1.818711583272540312e+14,1.170922039887968250e+15,4.448958788881368000e+15,1.214485139796290000e+16,2.660575025639860000e+16,5.000079019374932000e+16,8.410343147689027200e+16,1.302296336177722080e+17,1.892671981189935680e+17,2.617439556402371520e+17,3.479040717868096640e+17,4.477778634438856960e+17,5.612398723462736640e+17,6.880546013726516480e+17,8.279112939281952000e+17,9.804497435565552640e+17,1.145279100103168128e+18,1.321991372558091776e+18,1.510171000632114688e+18,1.709401557388798976e+18,1.919270383065712640e+18,2.139371740981859584e+18,2.369308925489508352e+18,2.608695631229677568e+18,2.857156804095563776e+18,3.114329129827315712e+18,3.379861269904051712e+18,3.653413921527788032e+18,3.934659755320101888e+18,4.223283268123971072e+18,4.518980577001602560e+18,4.821459172683712512e+18,5.130437645310541824e+18,5.445645391569394688e+18,5.766822309756316672e+18,6.093718487507374080e+18,6.426093885706050560e+18,6.763718021204305920e+18,7.106369650377265152e+18,7.453836455084634112e+18,7.805914732281784320e+18,8.162409088272571392e+18,8.523132138400757760e+18,8.887904212820316160e+18,9.256553068856627200e+18,9.628913610362830848e+18,1.000482761438414029e+19,1.038414346536418714e+19
0.000000000000000000e+00,1.100636950396241150e+11,1.128983266200297266e+13,1.816656554289978125e+14,1.169942040871319750e+15,4.446113948942955500e+15,1.213874640070138800e+16,2.659496789134455600e+16,4.998409279179067200e+16,8.407984972381344000e+16,1.301984757805146560e+17,1.892280186224486080e+17,2.616965094322073600e+17,3.478482685576083200e+17,4.477137277354624000e+17,5.611675112594172160e+17,6.879741795634745600e+17,8.278230148140008960e+17,9.803538354870122240e+17,1.145175806351191424e+18,1.321880944173924608e+18,1.510053691404294400e+18,1.709277620334113792e+18,1.919140068016947968e+18,2.139235292957061120e+18,2.369166583613886976e+18,2.608547628046226944e+18,2.857003365147937280e+18,3.114170473432829440e+18,3.379697607059158528e+18,3.653245455905706496e+18,3.934486683332479488e+18,4.223105779026935296e+18,4.518798853032586240e+18,4.821273389219366912e+18,5.130247971039015936e+18,5.445451988672125952e+18,5.766625334095895552e+18,6.093518088818907136e+18,6.425890207790135296e+18,6.763511202120204288e+18,7.106159822635107328e+18,7.453623745835874304e+18,7.805699263507144704e+18,8.162190976966953984e+18,8.522911496754673664e+18,8.887681148397484032e+18,9.256327684767438848e+18,9.628686005433452544e+18,1.000459788332122931e+19,1.038391169891472179e+19
6.060606060606060601e-04,1.129522781762781982e+11,1.149644706966647461e+13,1.840492983916450000e+14,1.181301743611998750e+15,4.479076104554175500e+15,1.220946289766827600e+16,2.671983993470098400e+16,5.017744126324750400e+16,8.435288887283043200e+16,1.305592074030300320e+17,1.896815961700496320e+17,2.622457662849924160e+17,3.484942478238537600e+17,4.484561438291214720e+17,5.620051235300842240e+17,6.889050815739066880e+17,8.288448517705358080e+17,9.814639642217776640e+17,1.146371411112690176e+18,1.323159119293033472e+18,1.511411499586304512e+18,1.710712133262482176e+18,1.920648394257461504e+18,2.140814596821085952e+18,2.370814097628578816e+18,2.610260660928178176e+18,2.858779306627190272e+18,3.116006796877567488e+18,3.381591870567983104e+18,3.655195302333889536e+18,3.936489839577508864e+18,4.225160054800258560e+18,4.520902139275902464e+18,4.823423656276619264e+18,5.132443266662339584e+18,5.447690435917600768e+18,5.768905129149278208e+18,6.095837498780792832e+18,6.428247568442469376e+18,6.765904915690710016e+18,7.108588355572506624e+18,7.456085626605861888e+18,7.808193080417166336e+18,8.164715376026141696e+18,8.525465179574053888e+18,8.890262870134632448e+18,9.258936252118816768e+18,9.631320274677055488e+18,1.000725675841136230e+19,1.038659412963067085e+19
3.030303030303030300e-04,1.103120849786766205e+11,1.130762763338047070e+13,1.818711583272538750e+14,1.170922039887967250e+15,4.448958788881365000e+15,1.214485139796288200e+16,2.660575025639856400e+16,5.000079019374931200e+16,8.410343147689022400e+16,1.302296336177721440e+17,1.892671981189934400e+17,2.617439556402368640e+17,3.479040717868094720e+17,4.477778634438853760e+17,5.612398723462732800e+17,6.880546013726510080e+17,8.279112939281945600e+17,9.804497435565542400e+17,1.145279100103167744e+18,1.321991372558090496e+18,1.510171000632113152e+18,1.709401557388797184e+18,1.919270383065712384e+18,2.139371740981857792e+18,2.369308925489506304e+18,2.608695631229674496e+18,2.857156804095561216e+18,3.114329129827313152e+18,3.379861269904047104e+18,3.653413921527780352e+18,3.934659755320100864e+18,4.223283268123966976e+18,4.518980577001597440e+18,4.821459172683708416e+18,5.130437645310537728e+18,5.445645391569390592e+18,5.766822309756313600e+18,6.093718487507369984e+18,6.426093885706040320e+18,6.763718021204301824e+18,7.106369650377255936e+18,7.453836455084626944e+18,7.805914732281773056e+18,8.162409088272563200e+18,8.523132138400751616e+18,8.887904212820315136e+18,9.256553068856621056e+18,9.628913610362810368e+18,1.000482761438413005e+19,1.038414346536417280e+19
9.090909090909090901e-04,1.171795442375413208e+11,1.179699419514700391e+13,1.875032005525415625e+14,1.197721079032008250e+15,4.526642482580869000e+15,1.231140061929446800e+16,2.689970898488333600e+16,5.045579939745216800e+16,8.474582574496464000e+16,1.310781978215524800e+17,1.903340256321052160e+17,2.630356906246204160e+17,3.494231541953612160e+17,4.495236133404983680e+17,5.632093674537271040e+17,6.902433564173555200e+17,8.303137712141299200e+17,9.830597286143500800e+17,1.148089973560399360e+18,1.324996304226237696e+18,1.513363086361597184e+18,1.712773914392304896e+18,1.922816215424153088e+18,2.143084383923697152e+18,2.373181874660582400e+18,2.612722561406196736e+18,2.861331580502665728e+18,3.118645814294219264e+18,3.384314123421654528e+18,3.657997404303524352e+18,3.939368525093918720e+18,4.228112177277986816e+18,4.523924668835449856e+18,4.826513677116227584e+18,5.135597974191776768e+18,5.450907133733906432e+18,5.772181225912190976e+18,6.099170505030059008e+18,6.431635093388495872e+18,6.769344664002356224e+18,7.112078124180398080e+18,7.459623301535699968e+18,7.811776633664392192e+18,8.168342862481166336e+18,8.529134734005447680e+18,8.893972704236156928e+18,9.262684651625013248e+18,9.635105596551086080e+18,1.001107742810793984e+19,1.039044863843614720e+19
6.060606060606060601e-04,1.129522781762780762e+11,1.149644706966646289e+13,1.840492983916448438e+14,1.181301743611998000e+15,4.479076104554173500e+15,1.220946289766826800e+16,2.671983993470095600e+16,5.017744126324746400e+16,8.435288887283038400e+16,1.305592074030299520e+17,1.896815961700495040e+17,2.622457662849921600e+17,3.484942478238532480e+17,4.484561438291212160e+17,5.620051235300839040e+17,6.889050815739063040e+17,8.288448517705351680e+17,9.814639642217765120e+17,1.146371411112689152e+18,1.323159119293031424e+18,1.511411499586303232e+18,1.710712133262479360e+18,1.920648394257460224e+18,2.140814596821083904e+18,2.370814097628576768e+18,2.610260660928174592e+18,2.858779306627185664e+18,3.116006796877563904e+18,3.381591870567977984e+18,3.655195302333885952e+18,3.936489839577507840e+18,4.225160054800253952e+18,4.520902139275898880e+18,4.823423656276614144e+18,5.132443266662336512e+18,5.447690435917596672e+18,5.768905129149273088e+18,6.095837498780789760e+18,6.428247568442463232e+18,6.765904915690703872e+18,7.108588355572496384e+18,7.456085626605852672e+18,7.808193080417160192e+18,8.164715376026135552e+18,8.525465179574046720e+18,8.890262870134629376e+18,9.258936252118814720e+18,9.631320274677041152e+18,1.000725675841135002e+19,1.038659412963066061e+19
1.212121212121212120e-03,1.232113996275823364e+11,1.222216806670127734e+13,1.923623373470830312e+14,1.220738597447665500e+15,4.593168866251858000e+15,1.245374954167925400e+16,2.715061562773660400e+16,5.084379978199595200e+16,8.529323677478828800e+16,1.318009239035484960e+17,1.912422938606173760e+17,2.641351078533159360e+17,3.507157642526360960e+17,4.510088168950696960e+17,5.648846660482313600e+17,6.921049282461510400e+17,8.323569037510094080e+17,9.852791368540181760e+17,1.150480030306467840e+18,1.327551204471573760e+18,1.516076963182563072e+18,1.715640919662171904e+18,1.925830575271212544e+18,2.146240436211732480e+18,2.376474093758062080e+18,2.616145574015471616e+18,2.864880175227462656e+18,3.122314946834831872e+18,3.388098918723800576e+18,3.661893156588003840e+18,3.943370696413839872e+18,4.232216395054596096e+18,4.528126722687519232e+18,4.830809515203780608e+18,5.139983699229935616e+18,5.455378998787816448e+18,5.776735630052982784e+18,6.103803988910451712e+18,6.436344334781591552e+18,6.774126473336674304e+18,7.116929440096728064e+18,7.464541186485655552e+18,7.816758269566667776e+18,8.173385546448140288e+18,8.534235874150380544e+18,8.899129815569201152e+18,9.267895352044564480e+18,9.640367602935631872e+18,1.001638855251226624e+19,1.039580678439482573e+19
9.090909090909090901e-04,1.171795442375412140e+11,1.179699419514698633e+13,1.875032005525413750e+14,1.197721079032007250e+15,4.526642482580864000e+15,1.231140061929445800e+16,2.689970898488329600e+16,5.045579939745213600e+16,8.474582574496460800e+16,1.310781978215523680e+17,1.903340256321050560e+17,2.630356906246203200e+17,3.494231541953607680e+17,4.495236133404979840e+17,5.632093674537266560e+17,6.902433564173551360e+17,8.303137712141290240e+17,9.830597286143490560e+17,1.148089973560398720e+18,1.324996304226236160e+18,1.513363086361595904e+18,1.712773914392302080e+18,1.922816215424150784e+18,2.143084383923695872e+18,2.373181874660577792e+18,2.612722561406194176e+18,2.861331580502662656e+18,3.118645814294215680e+18,3.384314123421649920e+18,3.657997404303521280e+18,3.939368525093915648e+18,4.228112177277985280e+18,4.523924668835446784e+18,4.826513677116226560e+18,5.135597974191772672e+18,5.450907133733900288e+18,5.772181225912183808e+18,6.099170505030055936e+18,6.431635093388491776e+18,6.769344664002350080e+18,7.112078124180390912e+18,7.459623301535694848e+18,7.811776633664386048e+18,8.168342862481152000e+18,8.529134734005442560e+18,8.893972704236153856e+18,9.262684651625005056e+18,9.635105596551065600e+18,1.001107742810793165e+19,1.039044863843613901e+19
1.515151515151515150e-03,1.312209172690666656e+11,1.278045701981524414e+13,1.986968359753148438e+14,1.250605408899340250e+15,4.679229024065501000e+15,1.263752079956282600e+16,2.747408044077753600e+16,5.134350843211184800e+16,8.599774513195824000e+16,1.327305631395417760e+17,1.924101217114730880e+17,2.655482669711902400e+17,3.523768378598592640e+17,4.529170071132361600e+17,5.670367464301664000e+17,6.944959806245989120e+17,8.349808717468515840e+17,9.881292329581455360e+17,1.153549030409067008e+18,1.330831658069833216e+18,1.519561341566138880e+18,1.719321719102004736e+18,1.929700387909752320e+18,2.150291997963765504e+18,2.380700315957593088e+18,2.620539563631656960e+18,2.869435247074423296e+18,3.127024630191242240e+18,3.392956960057699328e+18,3.666893519572156928e+18,3.948507560058667520e+18,4.237484150535234560e+18,4.533519969267778048e+18,4.836323055539283968e+18,5.145612534249630720e+18,5.461118322295771136e+18,5.782580823152769024e+18,6.109750614326992896e+18,6.442388131136291840e+18,6.780263349418141696e+18,7.123155469159658496e+18,7.470852600603623424e+18,7.823151454058971136e+18,8.179857034397149184e+18,8.540782341022427136e+18,8.905748073949480960e+18,9.274582346494521344e+18,9.647120404979245056e+18,1.002320435575642317e+19,1.040268289978726810e+19
1.212121212121212120e-03,1.232113996275822296e+11,1.222216806670126367e+13,1.923623373470829062e+14,1.220738597447664500e+15,4.593168866251854000e+15,1.245374954167924400e+16,2.715061562773657200e+16,5.084379978199590400e+16,8.529323677478822400e+16,1.318009239035484320e+17,1.912422938606171840e+17,2.641351078533156480e+17,3.507157642526357760e+17,4.510088168950693120e+17,5.648846660482309760e+17,6.921049282461504000e+17,8.323569037510080000e+17,9.852791368540177920e+17,1.150480030306467072e+18,1.327551204471573504e+18,1.516076963182561024e+18,1.715640919662171136e+18,1.925830575271209984e+18,2.146240436211730176e+18,2.376474093758059008e+18,2.616145574015469568e+18,2.864880175227461632e+18,3.122314946834831360e+18,3.388098918723796480e+18,3.661893156587998208e+18,3.943370696413833728e+18,4.232216395054592000e+18,4.528126722687515136e+18,4.830809515203779584e+18,5.139983699229930496e+18,5.455378998787807232e+18,5.776735630052973568e+18,6.103803988910449664e+18,6.436344334781583360e+18,6.774126473336666112e+18,7.116929440096719872e+18,7.464541186485650432e+18,7.816758269566660608e+18,8.173385546448132096e+18,8.534235874150372352e+18,8.899129815569197056e+18,9.267895352044552192e+18,9.640367602935615488e+18,1.001638855251225190e+19,1.039580678439482163e+19
