x,t=1.00e+01s,t=2.00e+01s,t=3.00e+01s,t=4.00e+01s,t=5.00e+01s,t=6.00e+01s,t=7.00e+01s,t=8.00e+01s,t=9.00e+01s,t=1.00e+02s,t=1.10e+02s,t=1.20e+02s,t=1.30e+02s,t=1.40e+02s,t=1.50e+02s,t=1.60e+02s,t=1.70e+02s,t=1.80e+02s,t=1.90e+02s
3.333333333333333114e-03,1.276719261762856157e+24,1.276668195347034941e+24,1.276466601396129405e+24,1.275920118215710274e+24,1.274742132628801827e+24,1.272579064348785372e+24,1.269053561033042025e+24,1.263811603120513817e+24,1.256561678329681541e+24,1.247099681205924135e+24,1.235318566575975868e+24,1.221205316211759047e+24,1.204829262659773641e+24,1.186325810685999168e+24,1.165878808555643516e+24,1.143703794823638637e+24,1.120033401182719673e+24,1.095105463301039200e+24,1.069153899911204928e+24
3.939393939393939607e-03,1.276718530999535477e+24,1.276658724780253993e+24,1.276428529743298870e+24,1.275815613329451950e+24,1.274514449800856259e+24,1.272157027038400694e+24,1.268359926745066704e+24,1.262772606471123012e+24,1.255115290746130625e+24,1.245201141828481760e+24,1.232942827139361468e+24,1.218346811857020941e+24,1.201499785044732601e+24,1.182551307071868610e+24,1.161695796659386107e+24,1.139155882794234625e+24,1.115168207013816222e+24,1.089972071995525749e+24,1.063800888014264469e+24
3.636363636363636360e-03,1.276718931632433702e+24,1.276663782358026329e+24,1.276448773038271113e+24,1.275871016447259498e+24,1.274634858290204646e+24,1.272379742018681709e+24,1.268725285425043391e+24,1.263318989402738405e+24,1.255874835774025564e+24,1.246196903200427342e+24,1.234187549220902734e+24,1.219843090525954851e+24,1.203241206108786577e+24,1.184524131435163968e+24,1.163880834720062553e+24,1.141530306173770863e+24,1.117707147350697782e+24,1.092649937243314569e+24,1.066592382583815614e+24
4.242424242424241987e-03,1.276718047218315597e+24,1.276652945861804634e+24,1.276405623316160767e+24,1.275753338597932964e+24,1.274379860148627542e+24,1.271909281933415170e+24,1.267955214723574720e+24,1.262169587620300972e+24,1.254279682580316208e+24,1.244108687561661725e+24,1.231580504209041280e+24,1.216712555524234305e+24,1.199601185283779418e+24,1.180403745992414176e+24,1.159320407964915490e+24,1.136577597920525286e+24,1.112414042852172593e+24,1.087069729330714083e+24,1.060777671200764466e+24
3.939393939393939607e-03,1.276718530999535746e+24,1.276658724780254261e+24,1.276428529743299139e+24,1.275815613329451413e+24,1.274514449800856259e+24,1.272157027038401768e+24,1.268359926745066168e+24,1.262772606471124355e+24,1.255115290746131698e+24,1.245201141828482029e+24,1.232942827139362273e+24,1.218346811857021478e+24,1.201499785044732869e+24,1.182551307071868207e+24,1.161695796659385973e+24,1.139155882794234893e+24,1.115168207013816624e+24,1.089972071995525749e+24,1.063800888014264737e+24
4.545454545454545234e-03,1.276717465655950136e+24,1.276646357677122991e+24,1.276379771997861959e+24,1.275683550169836946e+24,1.274229919155126815e+24,1.271634688691508802e+24,1.267508643627845384e+24,1.261506785377394306e+24,1.253364338595551617e+24,1.242915503182865469e+24,1.230096355726636366e+24,1.214936079920416162e+24,1.197541297040256146e+24,1.178077589048002668e+24,1.156751146822730345e+24,1.133792323410985052e+24,1.109441950384090755e+24,1.083940637023828009e+24,1.057520884411748261e+24
4.242424242424241987e-03,1.276718047218315865e+24,1.276652945861804365e+24,1.276405623316161573e+24,1.275753338597934037e+24,1.274379860148628079e+24,1.271909281933415439e+24,1.267955214723575257e+24,1.262169587620301509e+24,1.254279682580316208e+24,1.244108687561661457e+24,1.231580504209041280e+24,1.216712555524235110e+24,1.199601185283780223e+24,1.180403745992415115e+24,1.159320407964915893e+24,1.136577597920526226e+24,1.112414042852172862e+24,1.087069729330714485e+24,1.060777671200764869e+24
4.848484848484848481e-03,1.276716769409748311e+24,1.276638859719152163e+24,1.276350656765290479e+24,1.275605527305402192e+24,1.274063323506675139e+24,1.271331236591353886e+24,1.267017459392556799e+24,1.260780759527646518e+24,1.252365264305091714e+24,1.241617216968454239e+24,1.228485824835258281e+24,1.213012826039615750e+24,1.195315717133237723e+24,1.175568713868583532e+24,1.153984261859839746e+24,1.130796736558255892e+24,1.106249065263526880e+24,1.080582396249254746e+24,1.054028584391326642e+24
4.545454545454545234e-03,1.276717465655949868e+24,1.276646357677122722e+24,1.276379771997861154e+24,1.275683550169836678e+24,1.274229919155126278e+24,1.271634688691507460e+24,1.267508643627844579e+24,1.261506785377394306e+24,1.253364338595551349e+24,1.242915503182864932e+24,1.230096355726635561e+24,1.214936079920416162e+24,1.197541297040256146e+24,1.178077589048001997e+24,1.156751146822730210e+24,1.133792323410985052e+24,1.109441950384090218e+24,1.083940637023827204e+24,1.057520884411747589e+24
5.151515151515151728e-03,1.276715938978906109e+24,1.276630337287336820e+24,1.276317917147535493e+24,1.275518462968333504e+24,1.273878625745710019e+24,1.270996708915241093e+24,1.266478645736307583e+24,1.259987764367028648e+24,1.251278133170194092e+24,1.240209115746817423e+24,1.226744019131605589e+24,1.210937917434318496e+24,1.192919751810369676e+24,1.172872739932023571e+24,1.151015778812135979e+24,1.127587327757659507e+24,1.102832371438350043e+24,1.076992489820906978e+24,1.050298740374041379e+24
4.848484848484848481e-03,1.276716769409746969e+24,1.276638859719150821e+24,1.276350656765290210e+24,1.275605527305402460e+24,1.274063323506673529e+24,1.271331236591353618e+24,1.267017459392555726e+24,1.260780759527646518e+24,1.252365264305091714e+24,1.241617216968453970e+24,1.228485824835257744e+24,1.213012826039615750e+24,1.195315717133237588e+24,1.175568713868582593e+24,1.153984261859839746e+24,1.130796736558255892e+24,1.106249065263527283e+24,1.080582396249253941e+24,1.054028584391326508e+24
5.454545454545454974e-03,1.276714951884037417e+24,1.276620659644845204e+24,1.276281146505353176e+24,1.275421455313028841e+24,1.273674222151387882e+24,1.270628668494641367e+24,1.265888909243119370e+24,1.259123735190476971e+24,1.250098275927255006e+24,1.238686137870918873e+24,1.224865707486813234e+24,1.208706160623259467e+24,1.190348420191644304e+24,1.169985034360541118e+24,1.147841507975489959e+24,1.124160408975021844e+24,1.099188710095750041e+24,1.073168291187819794e+24,1.046329242811456679e+24
5.151515151515151728e-03,1.276715938978905035e+24,1.276630337287336283e+24,1.276317917147535761e+24,1.275518462968333504e+24,1.273878625745708945e+24,1.270996708915240824e+24,1.266478645736306777e+24,1.259987764367028648e+24,1.251278133170193555e+24,1.240209115746815544e+24,1.226744019131605321e+24,1.210937917434318228e+24,1.192919751810369274e+24,1.172872739932023973e+24,1.151015778812135173e+24,1.127587327757659104e+24,1.102832371438349640e+24,1.076992489820905905e+24,1.050298740374041111e+24
5.757575757575757354e-03,1.276713782226532927e+24,1.276609677914598063e+24,1.276239886714302406e+24,1.275313498220468283e+24,1.273448339434800285e+24,1.270224442038975956e+24,1.265244663395228829e+24,1.258184274036877485e+24,1.248820669534336025e+24,1.237042866162296731e+24,1.222845317137253756e+24,1.206312045995564049e+24,1.187596458362590403e+24,1.166900718455304701e+24,1.144457052432471987e+24,1.120512122989629141e+24,1.095314789356230647e+24,1.069107074135197613e+24,1.042117912751706198e+24
5.454545454545454974e-03,1.276714951884037954e+24,1.276620659644845741e+24,1.276281146505353444e+24,1.275421455313028573e+24,1.273674222151388688e+24,1.270628668494642172e+24,1.265888909243120175e+24,1.259123735190477239e+24,1.250098275927255811e+24,1.238686137870919141e+24,1.224865707486813503e+24,1.208706160623260138e+24,1.190348420191644304e+24,1.169985034360541252e+24,1.147841507975490496e+24,1.124160408975022112e+24,1.099188710095750175e+24,1.073168291187819928e+24,1.046329242811457350e+24
6.060606060606060601e-03,1.276712400178543774e+24,1.276597222679545064e+24,1.276193622185140971e+24,1.275193470797595330e+24,1.273199020170186068e+24,1.269781103198885321e+24,1.264542011549642530e+24,1.257164634722077698e+24,1.247439925795768402e+24,1.235273520898035740e+24,1.220676931116453400e+24,1.203749749272225862e+24,1.184658324162074378e+24,1.163614674996355148e+24,1.140857817064057898e+24,1.116638453405784216e+24,1.091207194696270098e+24,1.064806023160393747e+24,1.037662511833502242e+24
5.757575757575757354e-03,1.276713782226534000e+24,1.276609677914598600e+24,1.276239886714302942e+24,1.275313498220468552e+24,1.273448339434801358e+24,1.270224442038976493e+24,1.265244663395228561e+24,1.258184274036878559e+24,1.248820669534336562e+24,1.237042866162296731e+24,1.222845317137253488e+24,1.206312045995565123e+24,1.187596458362590806e+24,1.166900718455305372e+24,1.144457052432472792e+24,1.120512122989629812e+24,1.095314789356231721e+24,1.069107074135198821e+24,1.042117912751707003e+24
6.363636363636363848e-03,1.276710771392853030e+24,1.276583101247754441e+24,1.276141773147425508e+24,1.275060125747399887e+24,1.272924106879429146e+24,1.269295454316365489e+24,1.263776728856790091e+24,1.256059707200493012e+24,1.245950279734613059e+24,1.233371952923739945e+24,1.218354286110322354e+24,1.201013133596341448e+24,1.181528202719757146e+24,1.160121556344540357e+24,1.137039018365263702e+24,1.112535235436119247e+24,1.086862400089752676e+24,1.060262244503732890e+24,1.032960752866963256e+24
6.060606060606060601e-03,1.276712400178544311e+24,1.276597222679544527e+24,1.276193622185140434e+24,1.275193470797594793e+24,1.273199020170185531e+24,1.269781103198885053e+24,1.264542011549640919e+24,1.257164634722077967e+24,1.247439925795768670e+24,1.235273520898034398e+24,1.220676931116452595e+24,1.203749749272226264e+24,1.184658324162073707e+24,1.163614674996355148e+24,1.140857817064057629e+24,1.116638453405784216e+24,1.091207194696270098e+24,1.064806023160394016e+24,1.037662511833501571e+24
6.666666666666666227e-03,1.276708856320224209e+24,1.276567094537547824e+24,1.276083688113903331e+24,1.274912076509002087e+24,1.272621224683094579e+24,1.268764006815596110e+24,1.262944243126079270e+24,1.254864001305409319e+24,1.244345577793239478e+24,1.231331636985628979e+24,1.215870770826849315e+24,1.198095752331184023e+24,1.178200012804784736e+24,1.156415793387936739e+24,1.132995695088925619e+24,1.108198167465001189e+24,1.082276779863564377e+24,1.055472777819568407e+24,1.028010310979393929e+24
6.363636363636363848e-03,1.276710771392853299e+24,1.276583101247754709e+24,1.276141773147426582e+24,1.275060125747400961e+24,1.272924106879429952e+24,1.269295454316366563e+24,1.263776728856789822e+24,1.256059707200492207e+24,1.245950279734613328e+24,1.233371952923739676e+24,1.218354286110322891e+24,1.201013133596342119e+24,1.181528202719757280e+24,1.160121556344540492e+24,1.137039018365262628e+24,1.112535235436119650e+24,1.086862400089753213e+24,1.060262244503733024e+24,1.032960752866962585e+24
6.969696969696969474e-03,1.276706609419819841e+24,1.276548953531751873e+24,1.276018635433979285e+24,1.274747783058537650e+24,1.272287762427367047e+24,1.268182960190472774e+24,1.262039614650238502e+24,1.253571629927926126e+24,1.242619265952694269e+24,1.229145665384228086e+24,1.213219424979119275e+24,1.194990852651116243e+24,1.174667414051772671e+24,1.152491605378598718e+24,1.128722719744623538e+24,1.103622823402826015e+24,1.077446621265094964e+24,1.050434608475456181e+24,1.022808835306834446e+24
6.666666666666666227e-03,1.276708856320224477e+24,1.276567094537548898e+24,1.276083688113904137e+24,1.274912076509002624e+24,1.272621224683095384e+24,1.268764006815596915e+24,1.262944243126080343e+24,1.254864001305409051e+24,1.244345577793238942e+24,1.231331636985629248e+24,1.215870770826850121e+24,1.198095752331184426e+24,1.178200012804785676e+24,1.156415793387937410e+24,1.132995695088926022e+24,1.108198167465002397e+24,1.082276779863565048e+24,1.055472777819568810e+24,1.028010310979394331e+24
