x,t=1.73e+06s,t=3.46e+06s,t=5.18e+06s,t=6.91e+06s,t=8.64e+06s,t=1.04e+07s,t=1.21e+07s,t=1.38e+07s,t=1.56e+07s
3.030303030303030300e-04,1.225213313473809106e+24,2.468031253929091154e+24,3.711127402690952399e+24,4.954227968628192109e+24,6.197328604718453211e+24,7.440429241923062905e+24,8.683529879145192844e+24,9.926630516367754428e+24,1.116973115359037185e+25
0.000000000000000000e+00,1.225213309156586632e+24,2.468031249549835662e+24,3.711127398310716044e+24,4.954227964247937500e+24,6.197328600338195380e+24,7.440429237542804001e+24,8.683529874764940383e+24,9.926630511987493377e+24,1.116973114921011079e+25
6.060606060606060601e-04,1.225213359122884313e+24,2.468031300234082223e+24,3.711127449006308298e+24,4.954228014943709606e+24,6.197328651033970708e+24,7.440429288238581476e+24,8.683529925460717858e+24,9.926630562683270851e+24,1.116973119990590115e+25
3.030303030303030300e-04,1.225213313473806690e+24,2.468031253929087933e+24,3.711127402690947567e+24,4.954227968628186740e+24,6.197328604718449990e+24,7.440429241923055389e+24,8.683529879145189623e+24,9.926630516367741543e+24,1.116973115359035681e+25
9.090909090909090901e-04,1.225213430918607752e+24,2.468031373061407952e+24,3.711127521849935575e+24,4.954228087787598339e+24,6.197328723877865883e+24,7.440429361082477725e+24,8.683529998304606591e+24,9.926630635527159585e+24,1.116973127274978559e+25
6.060606060606060601e-04,1.225213359122882971e+24,2.468031300234078465e+24,3.711127449006304540e+24,4.954228014943707458e+24,6.197328651033967487e+24,7.440429288238576107e+24,8.683529925460713563e+24,9.926630562683266556e+24,1.116973119990588397e+25
1.212121212121212120e-03,1.225213530715394100e+24,2.468031474292129798e+24,3.711127623103317669e+24,4.954228189041339599e+24,6.197328825131613586e+24,7.440429462336224354e+24,8.683530099558355367e+24,9.926630736780914804e+24,1.116973137400352793e+25
9.090909090909090901e-04,1.225213430918605873e+24,2.468031373061404731e+24,3.711127521849931280e+24,4.954228087787590823e+24,6.197328723877861588e+24,7.440429361082468061e+24,8.683529998304606591e+24,9.926630635527150995e+24,1.116973127274977915e+25
1.515151515151515150e-03,1.225213658774039408e+24,2.468031604190784461e+24,3.711127753031049797e+24,4.954228318969537732e+24,6.197328955059813866e+24,7.440429592264426782e+24,8.683530229486555647e+24,9.926630866709112936e+24,1.116973150393173465e+25
1.212121212121212120e-03,1.225213530715392490e+24,2.468031474292125503e+24,3.711127623103313911e+24,4.954228189041332083e+24,6.197328825131611439e+24,7.440429462336212543e+24,8.683530099558349999e+24,9.926630736780899771e+24,1.116973137400351934e+25
