x,t=8.64e+05s,t=1.73e+06s,t=2.59e+06s,t=3.46e+06s,t=4.32e+06s,t=5.18e+06s,t=6.05e+06s,t=6.91e+06s,t=7.78e+06s
3.030303030303030300e-04,6.039412734971452640e+23,1.224943733746462586e+24,1.846476927630839990e+24,2.468026710956193985e+24,3.089577012986475432e+24,3.711127331235594917e+24,4.332677649991783611e+24,4.954227968763916297e+24,5.575778287536354999e+24
0.000000000000000000e+00,6.039412692409924599e+23,1.224943729370073716e+24,1.846476923250710740e+24,2.468026706575945818e+24,3.089577008606222970e+24,3.711127326855345677e+24,4.332677645611530612e+24,4.954227964383663835e+24,5.575778283156103611e+24
6.060606060606060601e-04,6.039413185005104566e+23,1.224943780021160714e+24,1.846476973945086177e+24,2.468026757271676586e+24,3.089577059301996687e+24,3.711127377551118857e+24,4.332677696307304329e+24,4.954228015079440236e+24,5.575778333851878938e+24
3.030303030303030300e-04,6.039412734971447943e+23,1.224943733746460975e+24,1.846476927630838916e+24,2.468026710956191301e+24,3.089577012986471137e+24,3.711127331235593307e+24,4.332677649991779853e+24,4.954227968763912002e+24,5.575778287536350704e+24
9.090909090909090901e-04,6.039413892806781415e+23,1.224943852800845592e+24,1.846477046786971576e+24,2.468026830115506263e+24,3.089577132145885420e+24,3.711127450395010274e+24,4.332677769151195747e+24,4.954228087923327896e+24,5.575778406695770893e+24
6.060606060606060601e-04,6.039413185005099868e+23,1.224943780021159372e+24,1.846476973945085103e+24,2.468026757271672827e+24,3.089577059301993466e+24,3.711127377551114562e+24,4.332677696307300571e+24,4.954228015079437015e+24,5.575778333851871422e+24
1.212121212121212120e-03,6.039414876658364475e+23,1.224943953965343874e+24,1.846477148037929429e+24,2.468026931369166456e+24,3.089577233399630438e+24,3.711127551648756903e+24,4.332677870404946134e+24,4.954228189177080967e+24,5.575778507949516448e+24
9.090909090909090901e-04,6.039413892806776046e+23,1.224943852800844249e+24,1.846477046786969697e+24,2.468026830115501968e+24,3.089577132145883809e+24,3.711127450395007053e+24,4.332677769151191452e+24,4.954228087923327896e+24,5.575778406695762303e+24
1.515151515151515150e-03,6.039416139130962098e+23,1.224944083779023146e+24,1.846477277962551196e+24,2.468027061297254530e+24,3.089577363327828571e+24,3.711127681576957720e+24,4.332678000333145877e+24,4.954228319105280173e+24,5.575778637877718876e+24
1.212121212121212120e-03,6.039414876658360448e+23,1.224943953965342800e+24,1.846477148037927282e+24,2.468026931369163234e+24,3.089577233399626680e+24,3.711127551648754756e+24,4.332677870404940765e+24,4.954228189177074525e+24,5.575778507949512153e+24
1.818181818181818180e-03,6.039417680993605627e+23,1.224944242320947582e+24,1.846477436639969502e+24,2.468027219978910089e+24,3.089577522009614590e+24,3.711127840258751793e+24,4.332678159014936191e+24,4.954228477787071024e+24,5.575778796559507579e+24
1.515151515151515150e-03,6.039416139130956730e+23,1.224944083779021535e+24,1.846477277962548780e+24,2.468027061297252919e+24,3.089577363327826423e+24,3.711127681576955573e+24,4.332678000333142119e+24,4.954228319105275878e+24,5.575778637877716728e+24
2.121212121212120993e-03,6.039419502558912310e+23,1.224944429623248637e+24,1.846477624102344257e+24,2.468027407446286870e+24,3.089577709477150822e+24,3.711128027726289635e+24,4.332678346482475644e+24,4.954228665254609940e+24,5.575778984027048643e+24
1.818181818181818180e-03,6.039417680993606299e+23,1.224944242320946240e+24,1.846477436639969771e+24,2.468027219978909016e+24,3.089577522009613516e+24,3.711127840258748571e+24,4.332678159014936191e+24,4.954228477787072098e+24,5.575778796559510800e+24
