x,t=1.00e+07s,t=2.00e+07s,t=3.00e+07s,t=4.00e+07s,t=5.00e+07s,t=6.00e+07s,t=7.00e+07s,t=8.00e+07s,t=9.00e+07s
3.030303030303030300e-04,3.680564427397234688e+19,6.870036044153765000e+14,6.870036044153765000e+14,6.870036044153765000e+14,6.870036044153765000e+14,6.870036044153765000e+14,6.870036044153765000e+14,6.870036044153765000e+14,6.870036044153765000e+14
0.000000000000000000e+00,3.680678502161761894e+19,6.870340229822450000e+14,6.870340229822450000e+14,6.870340229822450000e+14,6.870340229822450000e+14,6.870340229822450000e+14,6.870340229822450000e+14,6.870340229822450000e+14,6.870340229822450000e+14
6.060606060606060601e-04,3.679358232649736192e+19,6.866819907859252500e+14,6.866819907859252500e+14,6.866819907859252500e+14,6.866819907859252500e+14,6.866819907859252500e+14,6.866819907859252500e+14,6.866819907859252500e+14,6.866819907859252500e+14
3.030303030303030300e-04,3.680564427397235917e+19,6.870036044153770000e+14,6.870036044153770000e+14,6.870036044153770000e+14,6.870036044153770000e+14,6.870036044153770000e+14,6.870036044153770000e+14,6.870036044153770000e+14,6.870036044153770000e+14
9.090909090909090901e-04,3.677461159757106790e+19,6.861762931179628750e+14,6.861762931179628750e+14,6.861762931179628750e+14,6.861762931179628750e+14,6.861762931179628750e+14,6.861762931179628750e+14,6.861762931179628750e+14,6.861762931179628750e+14
6.060606060606060601e-04,3.679358232649736192e+19,6.866819907859257500e+14,6.866819907859257500e+14,6.866819907859257500e+14,6.866819907859257500e+14,6.866819907859257500e+14,6.866819907859257500e+14,6.866819907859257500e+14,6.866819907859257500e+14
1.212121212121212120e-03,3.674824209073845862e+19,6.854736312777842500e+14,6.854736312777842500e+14,6.854736312777842500e+14,6.854736312777842500e+14,6.854736312777842500e+14,6.854736312777842500e+14,6.854736312777842500e+14,6.854736312777842500e+14
9.090909090909090901e-04,3.677461159757108429e+19,6.861762931179630000e+14,6.861762931179630000e+14,6.861762931179630000e+14,6.861762931179630000e+14,6.861762931179630000e+14,6.861762931179630000e+14,6.861762931179630000e+14,6.861762931179630000e+14
1.515151515151515150e-03,3.671440489548344525e+19,6.845724249296948750e+14,6.845724249296948750e+14,6.845724249296948750e+14,6.845724249296948750e+14,6.845724249296948750e+14,6.845724249296948750e+14,6.845724249296948750e+14,6.845724249296948750e+14
1.212121212121212120e-03,3.674824209073846272e+19,6.854736312777838750e+14,6.854736312777838750e+14,6.854736312777838750e+14,6.854736312777838750e+14,6.854736312777838750e+14,6.854736312777838750e+14,6.854736312777838750e+14,6.854736312777838750e+14
1.818181818181818180e-03,3.667307940174771405e+19,6.834724551703666250e+14,6.834724551703666250e+14,6.834724551703666250e+14,6.834724551703666250e+14,6.834724551703666250e+14,6.834724551703666250e+14,6.834724551703666250e+14,6.834724551703666250e+14
1.515151515151515150e-03,3.671440489548345754e+19,6.845724249296951250e+14,6.845724249296951250e+14,6.845724249296951250e+14,6.845724249296951250e+14,6.845724249296951250e+14,6.845724249296951250e+14,6.845724249296951250e+14,6.845724249296951250e+14
2.121212121212120993e-03,3.662425723162524467e+19,6.821739028261416250e+14,6.821739028261416250e+14,6.821739028261416250e+14,6.821739028261416250e+14,6.821739028261416250e+14,6.821739028261416250e+14,6.821739028261416250e+14,6.821739028261416250e+14
1.818181818181818180e-03,3.667307940174772634e+19,6.834724551703668750e+14,6.834724551703668750e+14,6.834724551703668750e+14,6.834724551703668750e+14,6.834724551703668750e+14,6.834724551703668750e+14,6.834724551703668750e+14,6.834724551703668750e+14
2.424242424242424240e-03,3.656793432471601562e+19,6.806771373673336250e+14,6.806771373673336250e+14,6.806771373673336250e+14,6.806771373673336250e+14,6.806771373673336250e+14,6.806771373673336250e+14,6.806771373673336250e+14,6.806771373673336250e+14
2.121212121212120993e-03,3.662425723162520781e+19,6.821739028261411250e+14,6.821739028261411250e+14,6.821739028261411250e+14,6.821739028261411250e+14,6.821739028261411250e+14,6.821739028261411250e+14,6.821739028261411250e+14,6.821739028261411250e+14
2.727272727272727487e-03,3.650410847006427955e+19,6.789826510903305000e+14,6.789826510903305000e+14,6.789826510903305000e+14,6.789826510903305000e+14,6.789826510903305000e+14,6.789826510903305000e+14,6.789826510903305000e+14,6.789826510903305000e+14
2.424242424242424240e-03,3.656793432471599514e+19,6.806771373673336250e+14,6.806771373673336250e+14,6.806771373673336250e+14,6.806771373673336250e+14,6.806771373673336250e+14,6.806771373673336250e+14,6.806771373673336250e+14,6.806771373673336250e+14
