x,t=1.00e+00s,t=2.00e+00s,t=3.00e+00s,t=4.00e+00s,t=5.00e+00s,t=6.00e+00s,t=7.00e+00s,t=8.00e+00s,t=9.00e+00s
3.030303030303030300e-04,4.177290385087696816e+24,4.177290691659334058e+24,4.177290999421779973e+24,4.177291307740549245e+24,4.177291616383640623e+24,4.177291925241888925e+24,4.177292234254812958e+24,4.177292543385006779e+24,4.177292852607491393e+24
0.000000000000000000e+00,4.177290380746764243e+24,4.177290687323691811e+24,4.177290995069503318e+24,4.177291303380322068e+24,4.177291612018797967e+24,4.177291920873989327e+24,4.177292229884715947e+24,4.177292539013250299e+24,4.177292848234422264e+24
6.060606060606060601e-04,4.177290430451917712e+24,4.177290737515696465e+24,4.177291045447272824e+24,4.177291353847101550e+24,4.177291662537888004e+24,4.177291971427925506e+24,4.177292280463763190e+24,4.177292589611362365e+24,4.177292898847551146e+24
3.030303030303030300e-04,4.177290385087694132e+24,4.177290691659334058e+24,4.177290999421779973e+24,4.177291307740546560e+24,4.177291616383639013e+24,4.177291925241887315e+24,4.177292234254811348e+24,4.177292543385005168e+24,4.177292852607489782e+24
9.090909090909090901e-04,4.177290502129509686e+24,4.177290809717395783e+24,4.177291117864134971e+24,4.177291426376596530e+24,4.177291735136608729e+24,4.177292044073847386e+24,4.177292353144147887e+24,4.177292662318135878e+24,4.177292971575233634e+24
6.060606060606060601e-04,4.177290430451913954e+24,4.177290737515697539e+24,4.177291045447272287e+24,4.177291353847099940e+24,4.177291662537886930e+24,4.177291971427923896e+24,4.177292280463759969e+24,4.177292589611356997e+24,4.177292898847550073e+24
1.212121212121212120e-03,4.177290602185596632e+24,4.177290910201437565e+24,4.177291218574719635e+24,4.177291527219766297e+24,4.177291836065861452e+24,4.177292145063539962e+24,4.177292454178760990e+24,4.177292763387522110e+24,4.177293072672379850e+24
9.090909090909090901e-04,4.177290502129510223e+24,4.177290809717395783e+24,4.177291117864133897e+24,4.177291426376594382e+24,4.177291735136608729e+24,4.177292044073847386e+24,4.177292353144147887e+24,4.177292662318133731e+24,4.177292971575232023e+24
1.515151515151515150e-03,4.177290730919897472e+24,4.177291039284288423e+24,4.177291347874843762e+24,4.177291656660331560e+24,4.177291965602855173e+24,4.177292274670519101e+24,4.177292583838816798e+24,4.177292893089245543e+24,4.177293202407689390e+24
1.212121212121212120e-03,4.177290602185597706e+24,4.177290910201437565e+24,4.177291218574719635e+24,4.177291527219767371e+24,4.177291836065859842e+24,4.177292145063539425e+24,4.177292454178756695e+24,4.177292763387521573e+24,4.177293072672379850e+24
1.818181818181818180e-03,4.177290888435637988e+24,4.177291197083953658e+24,4.177291505873080904e+24,4.177291814797908715e+24,4.177292123841299099e+24,4.177292432984679006e+24,4.177292742211715211e+24,4.177293051508971985e+24,4.177293360865578228e+24
1.515151515151515150e-03,4.177290730919896935e+24,4.177291039284289497e+24,4.177291347874840540e+24,4.177291656660329412e+24,4.177291965602855173e+24,4.177292274670513733e+24,4.177292583838812503e+24,4.177292893089246080e+24,4.177293202407685095e+24
2.121212121212120993e-03,4.177291074781959586e+24,4.177291383661725674e+24,4.177291692627162401e+24,4.177292001684364326e+24,4.177292310828307947e+24,4.177292620049720967e+24,4.177292929338714760e+24,4.177293238686196345e+24,4.177293548084227547e+24
1.818181818181818180e-03,4.177290888435640136e+24,4.177291197083955268e+24,4.177291505873080904e+24,4.177291814797908178e+24,4.177292123841300173e+24,4.177292432984677395e+24,4.177292742211715211e+24,4.177293051508973596e+24,4.177293360865577691e+24
2.424242424242424240e-03,4.177291289986039206e+24,4.177291599054820900e+24,4.177291908173955179e+24,4.177292217353187325e+24,4.177292526593892264e+24,4.177292835892823002e+24,4.177293145244810007e+24,4.177293454644242442e+24,4.177293764085681268e+24
2.121212121212120993e-03,4.177291074781956901e+24,4.177291383661721916e+24,4.177291692627158106e+24,4.177292001684360031e+24,4.177292310828304726e+24,4.177292620049718819e+24,4.177292929338712613e+24,4.177293238686194197e+24,4.177293548084225399e+24
2.727272727272727487e-03,4.177291534064053308e+24,4.177291843287630991e+24,4.177292152539151195e+24,4.177292461828472480e+24,4.177292771159858674e+24,4.177293080533613647e+24,4.177293389947803590e+24,4.177293699399427931e+24,4.177294008885053380e+24
2.424242424242424240e-03,4.177291289986036522e+24,4.177291599054816605e+24,4.177291908173952495e+24,4.177292217353183567e+24,4.177292526593892264e+24,4.177292835892820854e+24,4.177293145244805712e+24,4.177293454644239757e+24,4.177293764085680731e+24
