x,t=6.32e+02s,t=1.26e+03s,t=1.90e+03s,t=2.53e+03s
3.030303030303030300e-04,6.113830920068077745e+24,1.079583594790504070e+24,1.718407268618281723e+23,2.644828532731560329e+22
0.000000000000000000e+00,6.114004402866121922e+24,1.079629463461101245e+24,1.718489976919968564e+23,2.644961006511234377e+22
6.060606060606060601e-04,6.111996521676201154e+24,1.079098621600705968e+24,1.717532820491269319e+23,2.643427951506838520e+22
3.030303030303030300e-04,6.113830920068074524e+24,1.079583594790503668e+24,1.718407268618280381e+23,2.644828532731558651e+22
9.090909090909090901e-04,6.109111211006131266e+24,1.078336026033593403e+24,1.716157976110560686e+23,2.641226012778054445e+22
6.060606060606060601e-04,6.111996521676197933e+24,1.079098621600705699e+24,1.717532820491267977e+23,2.643427951506837262e+22
1.212121212121212120e-03,6.105100158865128095e+24,1.077276334973063195e+24,1.714247884060764490e+23,2.638167060638870589e+22
9.090909090909090901e-04,6.109111211006129118e+24,1.078336026033593269e+24,1.716157976110560350e+23,2.641226012778052767e+22
1.515151515151515150e-03,6.099952454367741244e+24,1.075917094970489938e+24,1.711798481963895384e+23,2.634244816960759215e+22
1.212121212121212120e-03,6.105100158865128095e+24,1.077276334973062792e+24,1.714247884060763819e+23,2.638167060638870169e+22
1.818181818181818180e-03,6.093664408710290185e+24,1.074257885557042883e+24,1.708809475751926185e+23,2.629459103742539963e+22
1.515151515151515150e-03,6.099952454367742318e+24,1.075917094970489938e+24,1.711798481963894041e+23,2.634244816960758376e+22
2.121212121212120993e-03,6.086234070084565231e+24,1.072298869192207735e+24,1.705281724454690777e+23,2.623811653695256396e+22
1.818181818181818180e-03,6.093664408710291258e+24,1.074257885557043554e+24,1.708809475751925514e+23,2.629459103742541640e+22
2.424242424242424240e-03,6.077660019694630351e+24,1.070040473088065567e+24,1.701216665738706304e+23,2.617305189308561569e+22
2.121212121212120993e-03,6.086234070084562010e+24,1.072298869192207333e+24,1.705281724454691112e+23,2.623811653695254299e+22
2.727272727272727487e-03,6.067940996421901057e+24,1.067483290164547723e+24,1.696616136444676586e+23,2.609943134443559243e+22
2.424242424242424240e-03,6.077660019694630351e+24,1.070040473088064896e+24,1.701216665738705633e+23,2.617305189308560310e+22
3.030303030303030300e-03,6.057075752665315516e+24,1.064628041164565462e+24,1.691482303277148332e+23,2.601729502214818785e+22
2.727272727272727487e-03,6.067940996421907500e+24,1.067483290164547992e+24,1.696616136444676250e+23,2.609943134443559662e+22
3.333333333333333114e-03,6.045062990527509326e+24,1.061475558047509111e+24,1.685817631731336453e+23,2.592668843975334534e+22
3.030303030303030300e-03,6.057075752665316590e+24,1.064628041164565462e+24,1.691482303277147661e+23,2.601729502214819624e+22
3.636363636363636360e-03,6.031901330454732780e+24,1.058026775997100174e+24,1.679624870420103540e+23,2.582766222827035243e+22
3.333333333333333114e-03,6.045062990527507179e+24,1.061475558047508976e+24,1.685817631731334104e+23,2.592668843975332436e+22
3.939393939393939607e-03,6.017589294516061063e+24,1.054282729332752119e+24,1.672907042305640529e+23,2.572027198050701358e+22
3.636363636363636360e-03,6.031901330454731706e+24,1.058026775997100576e+24,1.679624870420103540e+23,2.582766222827032727e+22
4.242424242424241987e-03,6.002125296871441271e+24,1.050244549354275792e+24,1.665667439282243901e+23,2.560457814765044813e+22
3.939393939393939607e-03,6.017589294516062137e+24,1.054282729332752790e+24,1.672907042305640529e+23,2.572027198050698841e+22
4.545454545454545234e-03,5.985507638015817754e+24,1.045913463217414168e+24,1.657909618482024400e+23,2.548064596208738370e+22
4.242424242424241987e-03,6.002125296871440197e+24,1.050244549354275792e+24,1.665667439282243901e+23,2.560457814765045652e+22
4.848484848484848481e-03,5.967734501117706858e+24,1.041290793395578521e+24,1.649637399500916838e+23,2.534854537361762130e+22
4.545454545454545234e-03,5.985507638015816681e+24,1.045913463217413899e+24,1.657909618482023728e+23,2.548064596208737531e+22
5.151515151515151728e-03,5.948803949572408813e+24,1.036377957495185103e+24,1.640854862124647249e+23,2.520835099234986151e+22
4.848484848484848481e-03,5.967734501117702563e+24,1.041290793395578789e+24,1.649637399500916838e+23,2.534854537361761711e+22
5.454545454545454974e-03,5.928713925285730220e+24,1.031176468296622286e+24,1.631566344323065373e+23,2.506014203459224260e+22
5.151515151515151728e-03,5.948803949572403445e+24,1.036377957495184701e+24,1.640854862124647585e+23,2.520835099234985312e+22
5.757575757575757354e-03,5.907462247410289772e+24,1.025687933947456441e+24,1.621776440379447485e+23,2.490400226962679477e+22
5.454545454545454974e-03,5.928713925285728072e+24,1.031176468296621347e+24,1.631566344323065037e+23,2.506014203459223001e+22
6.060606060606060601e-03,5.885046611368680566e+24,1.019914058264174330e+24,1.611489999074961717e+23,2.474001996611520247e+22
5.757575757575757354e-03,5.907462247410286551e+24,1.025687933947456038e+24,1.621776440379447150e+23,2.490400226962679058e+22
6.363636363636363848e-03,5.861464588061516778e+24,1.013856641115546926e+24,1.600712121878717158e+23,2.456828783737046460e+22
6.060606060606060601e-03,5.885046611368680566e+24,1.019914058264173659e+24,1.611489999074960374e+23,2.474001996611520247e+22
6.666666666666666227e-03,5.836713623195827489e+24,1.007517578870736093e+24,1.589448161111732115e+23,2.438890298501704869e+22
6.363636363636363848e-03,5.861464588061514630e+24,1.013856641115547060e+24,1.600712121878714809e+23,2.456828783737045202e+22
6.969696969696969474e-03,5.810791036691842238e+24,1.000898864901135482e+24,1.577703718063804021e+23,2.420196684073460459e+22
6.666666666666666227e-03,5.836713623195826415e+24,1.007517578870736227e+24,1.589448161111731444e+23,2.438890298501704031e+22
7.272727272727272721e-03,5.783694022140285401e+24,9.940025901287018909e+23,1.565484641048971046e+23,2.400758510588957347e+22
6.969696969696969474e-03,5.810791036691841165e+24,1.000898864901134676e+24,1.577703718063803686e+23,2.420196684073460459e+22
7.575757575757575968e-03,5.755419646291299774e+24,9.868309436159782761e+23,1.552797023389465182e+23,2.380586768892852332e+22
7.272727272727272721e-03,5.783694022140284327e+24,9.940025901287014882e+23,1.565484641048969704e+23,2.400758510588956928e+22
7.878787878787879215e-03,5.725964848561923352e+24,9.793862131944327028e+23,1.539647201320804370e+23,2.359692864045201752e+22
7.575757575757575968e-03,5.755419646291299774e+24,9.868309436159778735e+23,1.552797023389463840e+23,2.380586768892850654e+22
8.181818181818182462e-03,5.695326440552964559e+24,9.716707861289099193e+23,1.526041751812454283e+23,2.338088608591973764e+22
7.878787878787879215e-03,5.725964848561920131e+24,9.793862131944325686e+23,1.539647201320802357e+23,2.359692864045200074e+22
8.484848484848483974e-03,5.663501105568685320e+24,9.636871498165774230e+23,1.511987490299684952e+23,2.315786215595658183e+22
8.181818181818182462e-03,5.695326440552965633e+24,9.716707861289101878e+23,1.526041751812453612e+23,2.338088608591973764e+22
8.787878787878787221e-03,5.630485398134568576e+24,9.554378925193120082e+23,1.497491468323083424e+23,2.292798291424703834e+22
8.484848484848483974e-03,5.663501105568681025e+24,9.636871498165770204e+23,1.511987490299684617e+23,2.315786215595657344e+22
9.090909090909090468e-03,5.596275743509610788e+24,9.469257041287608135e+23,1.482560971072664607e+23,2.269137828301267534e+22
8.787878787878787221e-03,5.630485398134564281e+24,9.554378925193110686e+23,1.497491468323083424e+23,2.292798291424701737e+22
9.393939393939393714e-03,5.560868437190610768e+24,9.381533769635873790e+23,1.467203514833984406e+23,2.244818196607872795e+22
9.090909090909090468e-03,5.596275743509607566e+24,9.469257041287601424e+23,1.482560971072664775e+23,2.269137828301265856e+22
9.696969696969696961e-03,5.524259644406450170e+24,9.291238065985664959e+23,1.451426844333827613e+23,2.219853136953880032e+22
9.393939393939393714e-03,5.560868437190609694e+24,9.381533769635869764e+23,1.467203514833984238e+23,2.244818196607871536e+22
1.000000000000000021e-02,5.486445399600815141e+24,9.198399927253461180e+23,1.435238929983245921e+23,2.194256752003364631e+22
9.696969696969696961e-03,5.524259644406451243e+24,9.291238065985658248e+23,1.451426844333826942e+23,2.219853136953879193e+22
1.030303030303030346e-02,5.447421605902295069e+24,9.103050400447574196e+23,1.418647965015837487e+23,2.168043498066254653e+22
1.000000000000000021e-02,5.486445399600816215e+24,9.198399927253455811e+23,1.435238929983245921e+23,2.194256752003363792e+22
1.060606060606060670e-02,5.407184034580764276e+24,9.005221591906476307e+23,1.401662362519155801e+23,2.141228176454868533e+22
1.030303030303030346e-02,5.447421605902289700e+24,9.103050400447568827e+23,1.418647965015836816e+23,2.168043498066253814e+22
1.090909090909090995e-02,5.365728324489574217e+24,8.904946676852787354e+23,1.384290752357272671e+23,2.113825924608399979e+22
1.060606060606060670e-02,5.407184034580759981e+24,9.005221591906468254e+23,1.401662362519154459e+23,2.141228176454867275e+22
