x,t=6.32e+03s,t=1.26e+04s,t=1.90e+04s,t=2.53e+04s
3.030303030303030300e-04,2.343172979173898584e+23,4.608019621913744114e+21,8.187480839447222682e+19,1.412389454954835712e+18
0.000000000000000000e+00,2.343244963582108185e+23,4.608222803815135445e+21,8.187881188542896538e+19,1.412460626255059712e+18
6.060606060606060601e-04,2.342411834578526525e+23,4.605871389245324657e+21,8.183248104014461338e+19,1.411636997172914176e+18
3.030303030303030300e-04,2.343172979173897913e+23,4.608019621913747259e+21,8.187480839447222682e+19,1.412389454954835712e+18
9.090909090909090901e-04,2.341214716798219909e+23,4.602493544031347278e+21,8.176593358817216102e+19,1.410454023238426880e+18
6.060606060606060601e-04,2.342411834578527196e+23,4.605871389245326230e+21,8.183248104014461338e+19,1.411636997172913408e+18
1.212121212121212120e-03,2.339550693182455813e+23,4.597800031384958403e+21,8.167348109419575706e+19,1.408810647453689600e+18
9.090909090909090901e-04,2.341214716798219573e+23,4.602493544031347278e+21,8.176593358817216102e+19,1.410454023238427904e+18
1.515151515151515150e-03,2.337415397974962717e+23,4.591780265439786435e+21,8.155492973058469069e+19,1.406703518067533056e+18
1.212121212121212120e-03,2.339550693182454807e+23,4.597800031384956830e+21,8.167348109419575706e+19,1.408810647453690624e+18
1.818181818181818180e-03,2.334807508340290512e+23,4.584432745646380286e+21,8.141026886677966029e+19,1.404132566552874752e+18
1.515151515151515150e-03,2.337415397974963053e+23,4.591780265439788007e+21,8.155492973058469069e+19,1.406703518067533056e+18
2.121212121212120993e-03,2.331726468449915351e+23,4.575758633104421945e+21,8.123954447210397696e+19,1.401098756775065600e+18
1.818181818181818180e-03,2.334807508340293197e+23,4.584432745646385005e+21,8.141026886677967667e+19,1.404132566552876544e+18
2.424242424242424240e-03,2.328171989934353196e+23,4.565760340542771692e+21,8.104283129866012262e+19,1.397603590125102592e+18
2.121212121212120993e-03,2.331726468449914679e+23,4.575758633104421421e+21,8.123954447210386227e+19,1.401098756775065088e+18
2.727272727272727487e-03,2.324143896180382048e+23,4.554441092864870973e+21,8.082022418233827328e+19,1.393648950459811072e+18
2.424242424242424240e-03,2.328171989934352860e+23,4.565760340542770119e+21,8.104283129866007347e+19,1.397603590125102592e+18
3.030303030303030300e-03,2.319642062560016487e+23,4.541804758504294580e+21,8.057183467394260992e+19,1.389237043736643328e+18
2.727272727272727487e-03,2.324143896180383390e+23,4.554441092864875692e+21,8.082022418233832243e+19,1.393648950459812608e+18
3.333333333333333114e-03,2.314666390005681456e+23,4.527855774927959884e+21,8.029778951941603328e+19,1.384370370459520768e+18
3.030303030303030300e-03,2.319642062560019171e+23,4.541804758504300347e+21,8.057183467394262630e+19,1.389237043736643328e+18
3.636363636363636360e-03,2.309216792058880317e+23,4.512599112187632943e+21,7.999822988373255782e+19,1.379051711284962560e+18
3.333333333333333114e-03,2.314666390005679443e+23,4.527855774927961981e+21,8.029778951941596774e+19,1.384370370459519744e+18
