x,t=1.12e+01s,t=2.25e+01s,t=3.37e+01s,t=4.50e+01s
3.030303030303030300e-04,8.368501678328158949e+24,8.347962395975479164e+24,8.293830107983765844e+24,8.189908998657780807e+24
0.000000000000000000e+00,8.368504164360619781e+24,8.347974402762213199e+24,8.293861754585864122e+24,8.189969755951754232e+24
6.060606060606060601e-04,8.368475354961607760e+24,8.347835299179513629e+24,8.293495196130384881e+24,8.189266138959268513e+24
3.030303030303030300e-04,8.368501678328156801e+24,8.347962395975481312e+24,8.293830107983758328e+24,8.189908998657773291e+24
9.090909090909090901e-04,8.368433755719301199e+24,8.347634646087455644e+24,8.292966891577069244e+24,8.188252748949210322e+24
6.060606060606060601e-04,8.368475354961602392e+24,8.347835299179510408e+24,8.293495196130381660e+24,8.189266138959263144e+24
1.212121212121212120e-03,8.368375523244031938e+24,8.347354174958836382e+24,8.292229327125609867e+24,8.186839366284714644e+24
9.090909090909090901e-04,8.368433755719297978e+24,8.347634646087453496e+24,8.292966891577069244e+24,8.188252748949207101e+24
1.515151515151515150e-03,8.368300103323316497e+24,8.346991622700044191e+24,8.291277430892590900e+24,8.185017651777058166e+24
1.212121212121212120e-03,8.368375523244035159e+24,8.347354174958838529e+24,8.292229327125609867e+24,8.186839366284714644e+24
1.818181818181818180e-03,8.368206925805387407e+24,8.346544779033832384e+24,8.290106544783129598e+24,8.182780483016541178e+24
1.515151515151515150e-03,8.368300103323321866e+24,8.346991622700044191e+24,8.291277430892596268e+24,8.185017651777058166e+24
2.121212121212120993e-03,8.368095321600607002e+24,8.346011094552040226e+24,8.288711406242179423e+24,8.180120016837762030e+24
1.818181818181818180e-03,8.368206925805392776e+24,8.346544779033835605e+24,8.290106544783132820e+24,8.182780483016544399e+24
2.424242424242424240e-03,8.367964500052690262e+24,8.345387582480304229e+24,8.287085907554805674e+24,8.177027248370387301e+24
2.121212121212120993e-03,8.368095321600602707e+24,8.346011094552039152e+24,8.288711406242179423e+24,8.180120016837760956e+24
2.727272727272727487e-03,8.367813537085048199e+24,8.344670774848423698e+24,8.285223002278713417e+24,8.173491856733429039e+24
2.424242424242424240e-03,8.367964500052689189e+24,8.345387582480304229e+24,8.287085907554804601e+24,8.177027248370384080e+24
3.030303030303030300e-03,8.367641365502094565e+24,8.343856691612880919e+24,8.283114649753652262e+24,8.169502128145300338e+24
2.727272727272727487e-03,8.367813537085049272e+24,8.344670774848429067e+24,8.285223002278720933e+24,8.173491856733427965e+24
3.333333333333333114e-03,8.367446765217545651e+24,8.342940812181777066e+24,8.280751770116837297e+24,8.165044903677800558e+24
