x,t=1.12e+05s,t=2.25e+05s,t=3.37e+05s,t=4.50e+05s
3.030303030303030300e-04,2.255153446665278036e+22,6.388484370368575898e+19,1.635603363870016000e+17,4.067270378396216250e+14
0.000000000000000000e+00,2.255223275014297380e+22,6.388767144334157414e+19,1.635683491763943040e+17,4.067475540560248750e+14
6.060606060606060601e-04,2.254415101019248447e+22,6.385494617927889715e+19,1.634756203274462080e+17,4.065101304287385000e+14
3.030303030303030300e-04,2.255153446665280134e+22,6.388484370368570982e+19,1.635603363870016000e+17,4.067270378396215000e+14
9.090909090909090901e-04,2.253253848314841714e+22,6.380793599255118643e+19,1.633424292334748800e+17,4.061691205023613750e+14
6.060606060606060601e-04,2.254415101019248027e+22,6.385494617927888077e+19,1.634756203274462080e+17,4.065101304287385625e+14
1.212121212121212120e-03,2.251639692829207088e+22,6.374261575695346893e+19,1.631573911578788480e+17,4.056953935134068125e+14
9.090909090909090901e-04,2.253253848314841714e+22,6.380793599255115366e+19,1.633424292334748480e+17,4.061691205023613125e+14
1.515151515151515150e-03,2.249568414015651473e+22,6.365883851012136960e+19,1.629201186966220160e+17,4.050879839066436875e+14
1.212121212121212120e-03,2.251639692829207088e+22,6.374261575695341978e+19,1.631573911578788800e+17,4.056953935134065625e+14
1.818181818181818180e-03,2.247038747236678762e+22,6.355658383578145587e+19,1.626305912556999680e+17,4.043468727459985000e+14
1.515151515151515150e-03,2.249568414015651473e+22,6.365883851012131226e+19,1.629201186966220480e+17,4.050879839066432500e+14
2.121212121212120993e-03,2.244050176020150904e+22,6.343586846314895770e+19,1.622889016716314240e+17,4.034723388759853750e+14
1.818181818181818180e-03,2.247038747236680440e+22,6.355658383578152960e+19,1.626305912556999680e+17,4.043468727459985000e+14
2.424242424242424240e-03,2.240602447472717778e+22,6.329672664246353920e+19,1.618952005349798720e+17,4.024648162660876875e+14
2.121212121212120993e-03,2.244050176020150066e+22,6.343586846314889216e+19,1.622889016716314240e+17,4.034723388759848125e+14
2.727272727272727487e-03,2.236695421241577911e+22,6.313920402804151091e+19,1.614496787776304000e+17,4.013248493095479375e+14
2.424242424242424240e-03,2.240602447472717778e+22,6.329672664246345728e+19,1.618952005349798080e+17,4.024648162660874375e+14
3.030303030303030300e-03,2.232329011532984117e+22,6.296335533008117760e+19,1.609525609274985920e+17,4.000530754185820625e+14
2.727272727272727487e-03,2.236695421241577492e+22,6.313920402804146995e+19,1.614496787776304000e+17,4.013248493095481250e+14
3.333333333333333114e-03,2.227503161479582135e+22,6.276924327662596915e+19,1.604041020640069440e+17,3.986502170774953750e+14
3.030303030303030300e-03,2.232329011532983697e+22,6.296335533008118579e+19,1.609525609274985600e+17,4.000530754185822500e+14
3.636363636363636360e-03,2.222217830577438353e+22,6.255693810493852877e+19,1.598045862615096000e+17,3.971170776893411250e+14
3.333333333333333114e-03,2.227503161479581716e+22,6.276924327662595277e+19,1.604041020640067840e+17,3.986502170774951875e+14
3.939393939393939607e-03,2.216472988022385462e+22,6.232651729179932262e+19,1.591543256978977600e+17,3.954545391083830625e+14
3.636363636363636360e-03,2.222217830577437934e+22,6.255693810493852058e+19,1.598045862615094400e+17,3.971170776893407500e+14
4.242424242424241987e-03,2.210268608946469287e+22,6.207806540135018496e+19,1.584536600840825600e+17,3.936635599775218125e+14
3.939393939393939607e-03,2.216472988022385043e+22,6.232651729179924890e+19,1.591543256978976320e+17,3.954545391083827500e+14
4.545454545454545234e-03,2.203604672180933519e+22,6.181167399476177306e+19,1.577029562566495040e+17,3.917451744674748125e+14
4.242424242424241987e-03,2.210268608946469706e+22,6.207806540135016038e+19,1.584536600840826240e+17,3.936635599775218750e+14
4.848484848484848481e-03,2.196481158868333756e+22,6.152744157435682816e+19,1.569026078558930880e+17,3.897004912185213125e+14
4.545454545454545234e-03,2.203604672180932680e+22,6.181167399476175667e+19,1.577029562566494400e+17,3.917451744674745000e+14
