x,t=3.56e+00s,t=7.11e+00s,t=1.07e+01s,t=1.42e+01s
3.030303030303030300e-04,6.974267289214462143e+24,6.974255451402122469e+24,6.974190691117929958e+24,6.973970495548599245e+24
0.000000000000000000e+00,6.974267287772905762e+24,6.974255473263463056e+24,6.974190810749871711e+24,6.973970902372572300e+24
6.060606060606060601e-04,6.974267304253083972e+24,6.974255219157565218e+24,6.974189421595771657e+24,6.973966180493955950e+24
3.030303030303030300e-04,6.974267289214465364e+24,6.974255451402121396e+24,6.974190691117922441e+24,6.973970495548591729e+24
9.090909090909090901e-04,6.974267327223124195e+24,6.974254847987719858e+24,6.974187400181319444e+24,6.973959321271356694e+24
6.060606060606060601e-04,6.974267304253082898e+24,6.974255219157561996e+24,6.974189421595767362e+24,6.973966180493958098e+24
1.212121212121212120e-03,6.974267357692192350e+24,6.974254319805392480e+24,6.974184539107832527e+24,6.973949636566154822e+24
9.090909090909090901e-04,6.974267327223124195e+24,6.974254847987716637e+24,6.974187400181324813e+24,6.973959321271354547e+24
1.515151515151515150e-03,6.974267394212741650e+24,6.974253620971359311e+24,6.974180779778739225e+24,6.973936951730327796e+24
1.212121212121212120e-03,6.974267357692185908e+24,6.974254319805388185e+24,6.974184539107836822e+24,6.973949636566153748e+24
1.818181818181818180e-03,6.974267434759576902e+24,6.974252734768421150e+24,6.974176052234266444e+24,6.973921062032462253e+24
1.515151515151515150e-03,6.974267394212737355e+24,6.974253620971358237e+24,6.974180779778738152e+24,6.973936951730320280e+24
2.121212121212120993e-03,6.974267476721459997e+24,6.974251640332935764e+24,6.974170270009271819e+24,6.973901716374149998e+24
1.818181818181818180e-03,6.974267434759580123e+24,6.974252734768424371e+24,6.974176052234270739e+24,6.973921062032460105e+24
2.424242424242424240e-03,6.974267516841654674e+24,6.974250312026008907e+24,6.974163327594284542e+24,6.973878610195304409e+24
2.121212121212120993e-03,6.974267476721459997e+24,6.974251640332937912e+24,6.974170270009264303e+24,6.973901716374142482e+24
2.727272727272727487e-03,6.974267551134382962e+24,6.974248718795350225e+24,6.974155098075083674e+24,6.973851379372987586e+24
2.424242424242424240e-03,6.974267516841657895e+24,6.974250312026006760e+24,6.974163327594281321e+24,6.973878610195297966e+24
3.030303030303030300e-03,6.974267574779463195e+24,6.974246823438175265e+24,6.974145430495405690e+24,6.973819593623598635e+24
2.727272727272727487e-03,6.974267551134389404e+24,6.974248718795348078e+24,6.974155098075085821e+24,6.973851379372988660e+24
3.333333333333333114e-03,6.974267581993531858e+24,6.974244581728534691e+24,6.974134146786884678e+24,6.973782748948849752e+24
3.030303030303030300e-03,6.974267574779468564e+24,6.974246823438174191e+24,6.974145430495409985e+24,6.973819593623598635e+24
3.636363636363636360e-03,6.974267565874300552e+24,6.974241941381792301e+24,6.974121038171077700e+24,6.973740258888067817e+24
3.333333333333333114e-03,6.974267581993528636e+24,6.974244581728531469e+24,6.974134146786880383e+24,6.973782748948842236e+24
3.939393939393939607e-03,6.974267518213626142e+24,6.974238840828769421e+24,6.974105860948057163e+24,6.973691444388747031e+24
3.636363636363636360e-03,6.974267565874299479e+24,6.974241941381792301e+24,6.974121038171074478e+24,6.973740258888069964e+24
4.242424242424241987e-03,6.974267429273851398e+24,6.974235207768438636e+24,6.974088331580238778e+24,6.973635522108181134e+24
3.939393939393939607e-03,6.974267518213625068e+24,6.974238840828771569e+24,6.974105860948056089e+24,6.973691444388747031e+24
4.545454545454545234e-03,6.974267287520987677e+24,6.974230957463198656e+24,6.974068120968836202e+24,6.973571590942973867e+24
4.242424242424241987e-03,6.974267429273849251e+24,6.974235207768440784e+24,6.974088331580237704e+24,6.973635522108176839e+24
4.848484848484848481e-03,6.974267079306952835e+24,6.974225990734501126e+24,6.974044847804891959e+24,6.973498616558696689e+24
4.545454545454545234e-03,6.974267287520985529e+24,6.974230957463194361e+24,6.974068120968831907e+24,6.973571590942970645e+24
5.151515151515151728e-03,6.974266788491346747e+24,6.974220191609333104e+24,6.974018070859185155e+24,6.973415413662044052e+24
4.848484848484848481e-03,6.974267079306944245e+24,6.974225990734496831e+24,6.974044847804890885e+24,6.973498616558692394e+24
5.454545454545454974e-03,6.974266395991809032e+24,6.974213424559444292e+24,6.973987280053937210e+24,6.973320625723469227e+24
5.151515151515151728e-03,6.974266788491343526e+24,6.974220191609330957e+24,6.974018070859183007e+24,6.973415413662041904e+24
5.757575757575757354e-03,6.974265879249437359e+24,6.974205531265123540e+24,6.973951886135665004e+24,6.973212701819389591e+24
5.454545454545454974e-03,6.974266395991805811e+24,6.974213424559442144e+24,6.973987280053932915e+24,6.973320625723466005e+24
6.060606060606060601e-03,6.974265211593410384e+24,6.974196326823632858e+24,6.973911208740636068e+24,6.973089870219250154e+24
