x,t=6.32e+00s,t=1.26e+01s,t=1.90e+01s,t=2.53e+01s
3.030303030303030300e-04,2.235758249850603998e+25,2.235714299036385090e+25,2.235534140754751603e+25,2.235014229397806006e+25
0.000000000000000000e+00,2.235758257358191370e+25,2.235714359685942118e+25,2.235534389390152818e+25,2.235014946992167204e+25
6.060606060606060601e-04,2.235758170185280702e+25,2.235713655891617932e+25,2.235531505199915392e+25,2.235006625411635131e+25
3.030303030303030300e-04,2.235758249850603998e+25,2.235714299036383372e+25,2.235534140754751173e+25,2.235014229397804288e+25
9.090909090909090901e-04,2.235758043392860526e+25,2.235712634336901305e+25,2.235527324605350069e+25,2.234994577659739250e+25
6.060606060606060601e-04,2.235758170185281990e+25,2.235713655891617073e+25,2.235531505199915392e+25,2.235006625411635561e+25
1.212121212121212120e-03,2.235757864044973819e+25,2.235711193603111561e+25,2.235521440249629536e+25,2.234977648687886818e+25
9.090909090909090901e-04,2.235758043392860096e+25,2.235712634336900446e+25,2.235527324605349210e+25,2.234994577659739250e+25
1.515151515151515150e-03,2.235757628574728839e+25,2.235709309313297664e+25,2.235513764231247021e+25,2.234955614190962836e+25
1.212121212121212120e-03,2.235757864044972101e+25,2.235711193603110272e+25,2.235521440249627818e+25,2.234977648687885530e+25
1.818181818181818180e-03,2.235757332738582363e+25,2.235706953150272940e+25,2.235504196601790085e+25,2.234928224914175541e+25
1.515151515151515150e-03,2.235757628574727121e+25,2.235709309313296805e+25,2.235513764231245303e+25,2.234955614190962836e+25
2.121212121212120993e-03,2.235756971297919402e+25,2.235704090483174055e+25,2.235492616159333772e+25,2.234895181187344903e+25
1.818181818181818180e-03,2.235757332738581075e+25,2.235706953150273369e+25,2.235504196601790515e+25,2.234928224914175111e+25
2.424242424242424240e-03,2.235756537864961367e+25,2.235700679377231830e+25,2.235478877054136969e+25,2.234856124523411445e+25
2.121212121212120993e-03,2.235756971297917254e+25,2.235704090483172767e+25,2.235492616159334631e+25,2.234895181187343185e+25
2.727272727272727487e-03,2.235756024760917049e+25,2.235696669766201042e+25,2.235462806222416628e+25,2.234810631931150495e+25
2.424242424242424240e-03,2.235756537864960938e+25,2.235700679377229682e+25,2.235478877054137828e+25,2.234856124523412304e+25
3.030303030303030300e-03,2.235755422857803263e+25,2.235692002566374822e+25,2.235444200763463210e+25,2.234758210425871986e+25
2.727272727272727487e-03,2.235756024760917908e+25,2.235696669766200612e+25,2.235462806222417057e+25,2.234810631931151783e+25
3.333333333333333114e-03,2.235754721394186460e+25,2.235686608664936887e+25,2.235422825010617726e+25,2.234698291062529762e+25
3.030303030303030300e-03,2.235755422857802404e+25,2.235692002566374392e+25,2.235444200763464498e+25,2.234758210425872845e+25
3.636363636363636360e-03,2.235753907758871421e+25,2.235680407748616583e+25,2.235398407188129756e+25,2.234630222232559251e+25
3.333333333333333114e-03,2.235754721394184742e+25,2.235686608664936457e+25,2.235422825010618155e+25,2.234698291062528903e+25
3.939393939393939607e-03,2.235752967237125815e+25,2.235673306946144217e+25,2.235370635582652804e+25,2.234553262081118282e+25
3.636363636363636360e-03,2.235753907758871421e+25,2.235680407748616154e+25,2.235398407188129756e+25,2.234630222232559251e+25
4.242424242424241987e-03,2.235751882713618354e+25,2.235665199258194403e+25,2.235339154166136615e+25,2.234466569934777327e+25
3.939393939393939607e-03,2.235752967237123668e+25,2.235673306946141640e+25,2.235370635582653234e+25,2.234553262081117423e+25
4.545454545454545234e-03,2.235750634325544350e+25,2.235655961746233574e+25,2.235303557605064864e+25,2.234369196636372484e+25
