x,t=1.00e+00s,t=2.00e+00s,t=3.00e+00s,t=4.00e+00s,t=5.00e+00s,t=6.00e+00s,t=7.00e+00s,t=8.00e+00s,t=9.00e+00s
3.030303030303030300e-04,1.380314251094017274e+24,1.380314859564792810e+24,1.380315469571317654e+24,1.380316080264461739e+24,1.380316691330280406e+24,1.380317302555467860e+24,1.380317913628330005e+24,1.380318523863360531e+24,1.380319131676562346e+24
0.000000000000000000e+00,1.380314246750263981e+24,1.380314855210517115e+24,1.380315465206055702e+24,1.380316075894257622e+24,1.380316686957398108e+24,1.380317298181436927e+24,1.380317909255378719e+24,1.380318519496380055e+24,1.380319127326860792e+24
6.060606060606060601e-04,1.380314296756702695e+24,1.380314905611179334e+24,1.380315515730305336e+24,1.380316126474651874e+24,1.380316737568384070e+24,1.380317348805433956e+24,1.380317959866478498e+24,1.380318570037469719e+24,1.380319177665935864e+24
3.030303030303030300e-04,1.380314251094015663e+24,1.380314859564791199e+24,1.380315469571316311e+24,1.380316080264461471e+24,1.380316691330280137e+24,1.380317302555465981e+24,1.380317913628328663e+24,1.380318523863358383e+24,1.380319131676561004e+24
9.090909090909090901e-04,1.380314368765602810e+24,1.380314978064111958e+24,1.380315588338000396e+24,1.380316199157503762e+24,1.380316810293049343e+24,1.380317421547286883e+24,1.380318032587555862e+24,1.380318642652981083e+24,1.380319249979688463e+24
6.060606060606060601e-04,1.380314296756701890e+24,1.380314905611177455e+24,1.380315515730303188e+24,1.380316126474652411e+24,1.380316737568383533e+24,1.380317348805432614e+24,1.380317959866477424e+24,1.380318570037468646e+24,1.380319177665934791e+24
1.212121212121212120e-03,1.380314469112327776e+24,1.380315078827132536e+24,1.380315689281827285e+24,1.380316300196362171e+24,1.380316911386057089e+24,1.380317522661240379e+24,1.380318133668056396e+24,1.380318743576510762e+24,1.380319350460096702e+24
9.090909090909090901e-04,1.380314368765602273e+24,1.380314978064109274e+24,1.380315588337998785e+24,1.380316199157503225e+24,1.380316810293047196e+24,1.380317421547285809e+24,1.380318032587554789e+24,1.380318642652979472e+24,1.380319249979687121e+24
1.515151515151515150e-03,1.380314598097825147e+24,1.380315208192378299e+24,1.380315818839493220e+24,1.380316429862859625e+24,1.380317041115967319e+24,1.380317652413148358e+24,1.380318263369098271e+24,1.380318873058122490e+24,1.380319479331380693e+24
1.212121212121212120e-03,1.380314469112327239e+24,1.380315078827130657e+24,1.380315689281825406e+24,1.380316300196361366e+24,1.380316911386056821e+24,1.380317522661239306e+24,1.380318133668054517e+24,1.380318743576510225e+24,1.380319350460094555e+24
1.818181818181818180e-03,1.380314755828723929e+24,1.380315366263533785e+24,1.380315977104361932e+24,1.380316588244549300e+24,1.380317199566851870e+24,1.380317810883654467e+24,1.380318421764971271e+24,1.380319031157206538e+24,1.380319636618314879e+24
1.515151515151515150e-03,1.380314598097824074e+24,1.380315208192377225e+24,1.380315818839491878e+24,1.380316429862859356e+24,1.380317041115966783e+24,1.380317652413147821e+24,1.380318263369097466e+24,1.380318873058121148e+24,1.380319479331378814e+24
2.121212121212120993e-03,1.380314942358146693e+24,1.380315553093866790e+24,1.380316164122606467e+24,1.380316775382530543e+24,1.380317386776221376e+24,1.380317998106123086e+24,1.380318608880743775e+24,1.380319217879029341e+24,1.380319822280199347e+24
1.818181818181818180e-03,1.380314755828724466e+24,1.380315366263532712e+24,1.380315977104361127e+24,1.380316588244549300e+24,1.380317199566851333e+24,1.380317810883654735e+24,1.380318421764971002e+24,1.380319031157206538e+24,1.380319636618314879e+24
2.424242424242424240e-03,1.380315157717405093e+24,1.380315768716710822e+24,1.380316379922941902e+24,1.380316991301327081e+24,1.380317602765024270e+24,1.380318214096583838e+24,1.380318824721743692e+24,1.380319433202969151e+24,1.380320036236265087e+24
2.121212121212120993e-03,1.380314942358146962e+24,1.380315553093865984e+24,1.380316164122605930e+24,1.380316775382529469e+24,1.380317386776220302e+24,1.380317998106122281e+24,1.380318608880741896e+24,1.380319217879028804e+24,1.380319822280198810e+24
2.727272727272727487e-03,1.380315401926607897e+24,1.380316013155198307e+24,1.380316624525749735e+24,1.380317236017980003e+24,1.380317847546771716e+24,1.380318458862689013e+24,1.380319069281910553e+24,1.380319677089248933e+24,1.380320278368784094e+24
2.424242424242424240e-03,1.380315157717405361e+24,1.380315768716709480e+24,1.380316379922941902e+24,1.380316991301327081e+24,1.380317602765024270e+24,1.380318214096583838e+24,1.380318824721742349e+24,1.380319433202969956e+24,1.380320036236265355e+24
3.030303030303030300e-03,1.380315674999229759e+24,1.380316286426249806e+24,1.380316897946531311e+24,1.380317509545395684e+24,1.380318121130830231e+24,1.380318732406749571e+24,1.380319342545970383e+24,1.380319949478982807e+24,1.380320548518423819e+24
2.727272727272727487e-03,1.380315401926607628e+24,1.380316013155198039e+24,1.380316624525748662e+24,1.380317236017980003e+24,1.380317847546771716e+24,1.380318458862689281e+24,1.380319069281910822e+24,1.380319677089249738e+24,1.380320278368783826e+24
3.333333333333333114e-03,1.380315976944460300e+24,1.380316588542539768e+24,1.380317200197482724e+24,1.380317811893749439e+24,1.380318423523688438e+24,1.380319034726599776e+24,1.380319644489178262e+24,1.380320250291125813e+24,1.380320846475145865e+24
3.030303030303030300e-03,1.380315674999228685e+24,1.380316286426249001e+24,1.380316897946531311e+24,1.380317509545394610e+24,1.380318121130828889e+24,1.380318732406749839e+24,1.380319342545969846e+24,1.380319949478983344e+24,1.380320548518424624e+24
3.636363636363636360e-03,1.380316307768548696e+24,1.380316919513641136e+24,1.380317531288295031e+24,1.380318143071123860e+24,1.380318754729395147e+24,1.380319365815475590e+24,1.380319975075661820e+24,1.380320579417186540e+24,1.380321171965103923e+24
