x,t=2.00e+03s,t=4.00e+03s,t=6.00e+03s
1.757575757575757444e-02,1.820543988725310376e+23,2.177916336722707218e+22,2.624812813874944279e+21
1.818181818181818094e-02,1.756613249273826629e+23,2.074521788123315175e+22,2.491083136627945505e+21
1.787878787878787942e-02,1.788875494113549148e+23,2.126442990266351826e+22,2.558120320489592717e+21
1.848484848484848592e-02,1.723754525441173697e+23,2.022175857984767472e+22,2.423737491683359064e+21
1.818181818181818094e-02,1.756613249273825958e+23,2.074521788123313917e+22,2.491083136627945505e+21
1.878787878787878743e-02,1.690296542564320448e+23,1.969428815496369878e+22,2.356119854697178202e+21
1.848484848484848592e-02,1.723754525441174368e+23,2.022175857984767892e+22,2.423737491683361161e+21
1.909090909090909241e-02,1.656236469026846451e+23,1.916304769426240464e+22,2.288266914081701626e+21
1.878787878787878743e-02,1.690296542564320113e+23,1.969428815496370717e+22,2.356119854697178202e+21
1.939393939393939392e-02,1.621571421363126707e+23,1.862828326935630499e+22,2.220215556854073000e+21
1.909090909090909241e-02,1.656236469026847457e+23,1.916304769426241723e+22,2.288266914081702937e+21
1.969696969696969543e-02,1.586298463969052522e+23,1.809024598953307406e+22,2.152002847373228769e+21
1.939393939393939392e-02,1.621571421363126372e+23,1.862828326935631757e+22,2.220215556854074049e+21
2.000000000000000042e-02,1.550414608807478952e+23,1.754919205654423509e+22,2.083666005571508371e+21
1.969696969696969543e-02,1.586298463969051180e+23,1.809024598953307616e+22,2.152002847373228245e+21
2.030303030303030193e-02,1.513916815108383074e+23,1.700538282044910102e+22,2.015242384672698401e+21
2.000000000000000042e-02,1.550414608807479287e+23,1.754919205654424139e+22,2.083666005571510206e+21
2.060606060606060691e-02,1.476801989063674681e+23,1.645908483652215164e+22,1.946769448387848962e+21
2.030303030303030193e-02,1.513916815108382067e+23,1.700538282044909892e+22,2.015242384672697876e+21
2.090909090909090842e-02,1.439066983516642633e+23,1.591056992323413790e+22,1.878284747580207530e+21
2.060606060606060691e-02,1.476801989063675184e+23,1.645908483652215793e+22,1.946769448387849486e+21
2.121212121212121340e-02,1.400708597646005318e+23,1.536011522131654554e+22,1.809825896390326485e+21
2.090909090909090842e-02,1.439066983516641123e+23,1.591056992323413161e+22,1.878284747580207530e+21
2.151515151515151492e-02,1.361723576644517075e+23,1.480800325391860158e+22,1.741430547812274930e+21
2.121212121212121340e-02,1.400708597646005486e+23,1.536011522131653296e+22,1.809825896390326485e+21
2.181818181818181990e-02,1.322108611392091990e+23,1.425452198786800130e+22,1.673136368711668335e+21
2.151515151515151492e-02,1.361723576644516404e+23,1.480800325391858690e+22,1.741430547812274405e+21
2.212121212121212141e-02,1.281860338123435336e+23,1.369996489604466527e+22,1.604981014276119200e+21
2.181818181818181990e-02,1.322108611392092661e+23,1.425452198786799501e+22,1.673136368711667548e+21
2.242424242424242292e-02,1.240975338090105647e+23,1.314463102087834318e+22,1.537002101888391315e+21
2.212121212121212141e-02,1.281860338123436175e+23,1.369996489604467576e+22,1.604981014276120248e+21
2.272727272727272790e-02,1.199450137217012796e+23,1.258882503898069729e+22,1.469237184412511633e+21
2.242424242424242292e-02,1.240975338090106150e+23,1.314463102087834318e+22,1.537002101888391315e+21
2.303030303030302942e-02,1.157281205753288998e+23,1.203285732692261129e+22,1.401723722882773418e+21
2.272727272727272790e-02,1.199450137217013803e+23,1.258882503898070778e+22,1.469237184412512158e+21
2.333333333333333440e-02,1.114464957917480217e+23,1.147704402816775120e+22,1.334499058585447432e+21
2.303030303030302942e-02,1.157281205753289166e+23,1.203285732692261129e+22,1.401723722882774467e+21
2.363636363636363591e-02,1.070997751537067717e+23,1.092170712117346409e+22,1.267600384522795614e+21
2.333333333333333440e-02,1.114464957917480217e+23,1.147704402816774911e+22,1.334499058585449005e+21
2.393939393939394089e-02,1.026875887682213212e+23,1.036717448867041667e+22,1.201064716248742625e+21
2.363636363636363591e-02,1.070997751537067549e+23,1.092170712117347457e+22,1.267600384522796138e+21
2.424242424242424240e-02,9.820956102937595085e+22,9.813779988132789223e+21,1.134928862065485677e+21
2.393939393939394089e-02,1.026875887682213716e+23,1.036717448867042715e+22,1.201064716248743412e+21
2.454545454545454392e-02,9.366531058053846086e+22,9.261863523450435404e+21,1.069229392569961546e+21
2.424242424242424240e-02,9.820956102937603473e+22,9.813779988132789223e+21,1.134928862065486201e+21
2.484848484848484890e-02,8.905445027599093019e+22,8.711771117815130489e+21,1.004002609538992308e+21
2.454545454545454392e-02,9.366531058053846086e+22,9.261863523450430161e+21,1.069229392569961415e+21
2.515151515151515041e-02,8.437658714196912846e+22,8.163854987833315951e+21,9.392845141416669348e+20
2.484848484848484890e-02,8.905445027599101408e+22,8.711771117815134683e+21,1.004002609538992308e+21
2.545454545454545539e-02,7.963132233710732680e+22,7.618473618877105308e+21,8.751107744673662239e+20
2.515151515151515041e-02,8.437658714196916201e+22,8.163854987833311756e+21,9.392845141416668037e+20
2.575757575757575690e-02,7.481825111228364200e+22,7.075991841686781166e+21,8.115166923575368090e+20
2.545454545454545539e-02,7.963132233710734357e+22,7.618473618877106356e+21,8.751107744673667482e+20
2.606060606060606188e-02,6.993696276986338895e+22,6.536780910237110501e+21,7.485371695291798651e+20
2.575757575757575690e-02,7.481825111228360006e+22,7.075991841686778020e+21,8.115166923575368090e+20
2.636363636363636340e-02,6.498704062233355433e+22,6.001218580880782524e+21,6.862066729777759519e+20
2.606060606060606188e-02,6.993696276986343090e+22,6.536780910237112599e+21,7.485371695291799962e+20
2.666666666666666491e-02,5.996806195032194076e+22,5.469689192781771178e+21,6.245591996470992568e+20
2.636363636363636340e-02,6.498704062233353755e+22,6.001218580880784622e+21,6.862066729777759519e+20
2.696969696969696989e-02,5.487959796000504991e+22,4.942583749652441465e+21,5.636282403532531958e+20
2.666666666666666491e-02,5.996806195032192398e+22,5.469689192781772227e+21,6.245591996470993879e+20
2.727272727272727140e-02,4.972121373989029282e+22,4.420300002807762125e+21,5.034467429499122483e+20
2.696969696969696989e-02,5.487959796000504152e+22,4.942583749652444611e+21,5.636282403532537201e+20
2.757575757575757638e-02,4.449246821697134474e+22,3.903242535550476878e+21,4.440470747215943434e+20
2.727272727272727140e-02,4.972121373989026765e+22,4.420300002807763173e+21,5.034467429499119206e+20
2.787878787878787790e-02,3.919291411225448022e+22,3.391822848901413601e+21,3.854609839915624694e+20
2.757575757575757638e-02,4.449246821697135313e+22,3.903242535550478975e+21,4.440470747215944745e+20
2.818181818181818288e-02,3.382209789564622471e+22,2.886459448688981311e+21,3.277195609306401997e+20
2.787878787878787790e-02,3.919291411225447183e+22,3.391822848901415698e+21,3.854609839915621417e+20
2.848484848484848439e-02,2.837955974020314903e+22,2.387577934012644065e+21,2.708531975530914120e+20
2.818181818181818288e-02,3.382209789564622891e+22,2.886459448688982884e+21,3.277195609306401997e+20
2.878787878787878937e-02,2.286483347573321603e+22,1.895611087094798352e+21,2.148915468853682504e+20
2.848484848484848439e-02,2.837955974020314064e+22,2.387577934012644590e+21,2.708531975530914775e+20
2.909090909090909088e-02,1.727744654174508286e+22,1.410998964536127521e+21,1.598634812933537137e+20
2.878787878787878937e-02,2.286483347573321603e+22,1.895611087094798877e+21,2.148915468853683814e+20
2.939393939393939240e-02,1.161691993974338748e+22,9.341889899896006246e+20,1.057970499534374339e+20
2.909090909090909088e-02,1.727744654174508496e+22,1.410998964536128307e+21,1.598634812933538120e+20
2.969696969696969738e-02,5.882768184861105586e+21,4.656360482684806758e+20,5.271943545252964762e+19
2.939393939393939240e-02,1.161691993974338119e+22,9.341889899895999693e+20,1.057970499534374502e+20
2.999999999999999889e-02,7.449925682597162189e+19,5.802580904038647808e+18,6.569095018463473920e+17
2.969696969696969738e-02,5.882768184861096149e+21,4.656360482684804137e+20,5.271943545252966400e+19
