x,t=1.12e+04s,t=2.25e+04s,t=3.37e+04s,t=4.50e+04s
3.030303030303030300e-04,2.282952497088174144e+23,2.618056008008547172e+21,2.713009097889251328e+19,2.730097761254627520e+17
0.000000000000000000e+00,2.283022887039462843e+23,2.618171638087128973e+21,2.713141850183056179e+19,2.730235370381908480e+17
6.060606060606060601e-04,2.282208212529806364e+23,2.616833457293355909e+21,2.711605559836108390e+19,2.728642890439317760e+17
3.030303030303030300e-04,2.282952497088171795e+23,2.618056008008544551e+21,2.713009097889249280e+19,2.730097761254627520e+17
9.090909090909090901e-04,2.281037615547926058e+23,2.614911142485406777e+21,2.709398906515465830e+19,2.726355621097507200e+17
6.060606060606060601e-04,2.282208212529804686e+23,2.616833457293353812e+21,2.711605559836106752e+19,2.728642890439317760e+17
1.212121212121212120e-03,2.279410463817480997e+23,2.612240095194728890e+21,2.706333269509975654e+19,2.723178170701093120e+17
9.090909090909090901e-04,2.281037615547925387e+23,2.614911142485402059e+21,2.709398906515462963e+19,2.726355621097504640e+17
1.515151515151515150e-03,2.277322495433374737e+23,2.608814298134689612e+21,2.702402225637249843e+19,2.719104060355785920e+17
1.212121212121212120e-03,2.279410463817478649e+23,2.612240095194725745e+21,2.706333269509972378e+19,2.723178170701093120e+17
1.818181818181818180e-03,2.274772426054138446e+23,2.604632906448516415e+21,2.697605427491114189e+19,2.714133159728789120e+17
1.515151515151515150e-03,2.277322495433372053e+23,2.608814298134689612e+21,2.702402225637247386e+19,2.719104060355785600e+17
2.121212121212120993e-03,2.271759723400498596e+23,2.599696592010946806e+21,2.691944405576096973e+19,2.708267335077908160e+17
1.818181818181818180e-03,2.274772426054136098e+23,2.604632906448515367e+21,2.697605427491114189e+19,2.714133159728790080e+17
2.424242424242424240e-03,2.268284118772531541e+23,2.594006740974712652e+21,2.685421645902324531e+19,2.701509492422996160e+17
2.121212121212120993e-03,2.271759723400495240e+23,2.599696592010945233e+21,2.691944405576094925e+19,2.708267335077906560e+17
2.727272727272727487e-03,2.264345454795606574e+23,2.587565203659330945e+21,2.678040301516535808e+19,2.693863277730100800e+17
2.424242424242424240e-03,2.268284118772529192e+23,2.594006740974714225e+21,2.685421645902323712e+19,2.701509492422994560e+17
3.030303030303030300e-03,2.259943626973806246e+23,2.580374198554396197e+21,2.669804080773499290e+19,2.685332960185931520e+17
2.727272727272727487e-03,2.264345454795605903e+23,2.587565203659331994e+21,2.678040301516537037e+19,2.693863277730099840e+17
3.333333333333333114e-03,2.255078557850288437e+23,2.572436269898300654e+21,2.660717196918823322e+19,2.675923378909912320e+17
3.030303030303030300e-03,2.259943626973806917e+23,2.580374198554395673e+21,2.669804080773498470e+19,2.685332960185931520e+17
3.636363636363636360e-03,2.249750184343479653e+23,2.563754266908582478e+21,2.650784342329144525e+19,2.665639915111391040e+17
3.333333333333333114e-03,2.255078557850286424e+23,2.572436269898300654e+21,2.660717196918820864e+19,2.675923378909910720e+17
3.939393939393939607e-03,2.243958451029353588e+23,2.554331332785785012e+21,2.640010673773867418e+19,2.654488475557254720e+17
3.636363636363636360e-03,2.249750184343477640e+23,2.563754266908580905e+21,2.650784342329142477e+19,2.665639915111390080e+17
4.242424242424241987e-03,2.237703306347409016e+23,2.544170898525793550e+21,2.628401802995871744e+19,2.642475481440023680e+17
3.939393939393939607e-03,2.243958451029352582e+23,2.554331332785784488e+21,2.640010673773867418e+19,2.654488475557254720e+17
4.545454545454545234e-03,2.230984700345419710e+23,2.533276679264760496e+21,2.615963789998430208e+19,2.629607859940920000e+17
4.242424242424241987e-03,2.237703306347408681e+23,2.544170898525793026e+21,2.628401802995870515e+19,2.642475481440025280e+17
4.848484848484848481e-03,2.223802583280402196e+23,2.521652672034482160e+21,2.602703137751239885e+19,2.615893037154578240e+17
4.545454545454545234e-03,2.230984700345418032e+23,2.533276679264758399e+21,2.615963789998428570e+19,2.629607859940919040e+17
5.151515151515151728e-03,2.216156904719241550e+23,2.509303154343699546e+21,2.588626787641796198e+19,2.601338931679445760e+17
4.848484848484848481e-03,2.223802583280400518e+23,2.521652672034479014e+21,2.602703137751237837e+19,2.615893037154575680e+17
5.454545454545454974e-03,2.208047612941885222e+23,2.496232683259952628e+21,2.573742115301106893e+19,2.585953948491791360e+17
5.151515151515151728e-03,2.216156904719237859e+23,2.509303154343696925e+21,2.588626787641795379e+19,2.601338931679443200e+17
5.757575757575757354e-03,2.199474654534836127e+23,2.482446094808856396e+21,2.558056926591476122e+19,2.569746972885078720e+17
5.454545454545454974e-03,2.208047612941881196e+23,2.496232683259951055e+21,2.573742115301107302e+19,2.585953948491790080e+17
6.060606060606060601e-03,2.190437974107849553e+23,2.467948503579380154e+21,2.541579453628931686e+19,2.552727364346561600e+17
5.757575757575757354e-03,2.199474654534834449e+23,2.482446094808854823e+21,2.558056926591477760e+19,2.569746972885078400e+17
6.363636363636363848e-03,2.180937514091750265e+23,2.452745302467032908e+21,2.524318350762607821e+19,2.534904950290944640e+17
6.060606060606060601e-03,2.190437974107848547e+23,2.467948503579379630e+21,2.541579453628932096e+19,2.552727364346560000e+17
6.666666666666666227e-03,2.170973214592097594e+23,2.436842162512434561e+21,2.506282690461395763e+19,2.516290019605146240e+17
6.363636363636363848e-03,2.180937514091750265e+23,2.452745302467033432e+21,2.524318350762607411e+19,2.534904950290943360e+17
6.969696969696969474e-03,2.160545013280989847e+23,2.420245032806988644e+21,2.487481959075287450e+19,2.496893315971772160e+17
6.666666666666666227e-03,2.170973214592095245e+23,2.436842162512434037e+21,2.506282690461395763e+19,2.516290019605144960e+17
7.272727272727272721e-03,2.149652845315919624e+23,2.402960140446777999e+21,2.467926052450616115e+19,2.476726030953347520e+17
