x,t=3.56e+01s,t=7.11e+01s,t=1.07e+02s,t=1.42e+02s
3.030303030303030300e-04,1.950751438120196151e+25,1.930088811402882846e+25,1.885430693048940437e+25,1.813883608964399921e+25
0.000000000000000000e+00,1.950753550843493138e+25,1.930097026002925972e+25,1.885448448224240711e+25,1.813912055872700988e+25
6.060606060606060601e-04,1.950729077585814175e+25,1.930001891354780477e+25,1.885242859178538416e+25,1.813582712184183570e+25
3.030303030303030300e-04,1.950751438120195292e+25,1.930088811402882846e+25,1.885430693048939363e+25,1.813883608964400565e+25
9.090909090909090901e-04,1.950693795047451603e+25,1.929864855407970218e+25,1.884946922657778363e+25,1.813108891151284851e+25
6.060606060606060601e-04,1.950729077585812886e+25,1.930001891354780262e+25,1.885242859178536698e+25,1.813582712184184214e+25
1.212121212121212120e-03,1.950644516413176310e+25,1.929673694989191037e+25,1.884534507601955430e+25,1.812449088291570527e+25
9.090909090909090901e-04,1.950693795047449455e+25,1.929864855407969574e+25,1.884946922657778363e+25,1.813108891151284851e+25
1.515151515151515150e-03,1.950580882190875547e+25,1.929427247023122390e+25,1.884003502350608030e+25,1.811600424116460706e+25
1.212121212121212120e-03,1.950644516413173733e+25,1.929673694989190393e+25,1.884534507601956504e+25,1.812449088291569883e+25
1.818181818181818180e-03,1.950502553842060295e+25,1.929124501475214017e+25,1.883352246459179196e+25,1.810560890611863845e+25
1.515151515151515150e-03,1.950580882190874688e+25,1.929427247023121961e+25,1.884003502350609104e+25,1.811600424116460706e+25
2.121212121212120993e-03,1.950409145266170982e+25,1.928764338395581280e+25,1.882578966523133039e+25,1.809328450825672578e+25
1.818181818181818180e-03,1.950502553842060295e+25,1.929124501475214661e+25,1.883352246459180485e+25,1.810560890611863845e+25
2.424242424242424240e-03,1.950300206063639690e+25,1.928345467070506544e+25,1.881681649737068621e+25,1.807900840474252130e+25
2.121212121212120993e-03,1.950409145266170123e+25,1.928764338395581065e+25,1.882578966523132609e+25,1.809328450825671075e+25
2.727272727272727487e-03,1.950175214478534323e+25,1.927866403674078287e+25,1.880658001664913584e+25,1.806275505260476842e+25
2.424242424242424240e-03,1.950300206063638831e+25,1.928345467070505471e+25,1.881681649737068621e+25,1.807900840474250627e+25
3.030303030303030300e-03,1.950033572729396583e+25,1.927325459116158165e+25,1.879505427077006929e+25,1.804449575948476315e+25
2.727272727272727487e-03,1.950175214478535612e+25,1.927866403674078502e+25,1.880658001664913584e+25,1.806275505260477701e+25
3.333333333333333114e-03,1.949874602874839447e+25,1.926720729933721745e+25,1.878221018428805008e+25,1.802419856488207170e+25
3.030303030303030300e-03,1.950033572729395295e+25,1.927325459116157521e+25,1.879505427077006929e+25,1.804449575948476745e+25
3.636363636363636360e-03,1.949697542610849515e+25,1.926050089943308031e+25,1.876801547089696947e+25,1.800182817362182345e+25
3.333333333333333114e-03,1.949874602874838159e+25,1.926720729933720242e+25,1.878221018428803505e+25,1.802419856488206740e+25
3.939393939393939607e-03,1.949501540759717573e+25,1.925311181793557311e+25,1.875243455508471699e+25,1.797734591259887771e+25
3.636363636363636360e-03,1.949697542610847367e+25,1.926050089943307387e+25,1.876801547089695014e+25,1.800182817362179983e+25
4.242424242424241987e-03,1.949285652333608484e+25,1.924501408045190935e+25,1.873542849563328235e+25,1.795070969887010367e+25
3.939393939393939607e-03,1.949501540759715855e+25,1.925311181793557096e+25,1.875243455508469981e+25,1.797734591259886698e+25
4.545454545454545234e-03,1.949048833101645314e+25,1.923617921594884156e+25,1.871695490758774669e+25,1.792187401381271532e+25
4.242424242424241987e-03,1.949285652333608055e+25,1.924501408045191150e+25,1.873542849563328665e+25,1.795070969887010796e+25
4.848484848484848481e-03,1.948789933607021174e+25,1.922657615339512800e+25,1.869696788110574453e+25,1.789078988093597869e+25
4.545454545454545234e-03,1.949048833101644025e+25,1.923617921594882652e+25,1.871695490758774239e+25,1.792187401381270673e+25
5.151515151515151728e-03,1.948507692586879117e+25,1.921617111013511794e+25,1.867541789644057905e+25,1.785740484628132612e+25
4.848484848484848481e-03,1.948789933607019456e+25,1.922657615339512156e+25,1.869696788110574882e+25,1.789078988093596151e+25
5.454545454545454974e-03,1.948200729748559823e+25,1.920492747149018611e+25,1.865225173473758168e+25,1.782166296102841091e+25
5.151515151515151728e-03,1.948507692586877399e+25,1.921617111013510720e+25,1.867541789644057905e+25,1.785740484628130250e+25
5.757575757575757354e-03,1.947867537854365569e+25,1.919280566116786992e+25,1.862741238456202596e+25,1.778350476630020447e+25
