x,t=3.56e+02s,t=7.11e+02s,t=1.07e+03s,t=1.42e+03s
3.030303030303030300e-04,9.700244212517007121e+24,3.408598747726556988e+24,1.078937360136947550e+24,3.285783335392219538e+23
0.000000000000000000e+00,9.700488239752062423e+24,3.408735117348560339e+24,1.078987855548290840e+24,3.285945976663354880e+23
6.060606060606060601e-04,9.697663803537538087e+24,3.407156872305489876e+24,1.078403482685259920e+24,3.284063799038391678e+23
3.030303030303030300e-04,9.700244212517013564e+24,3.408598747726556451e+24,1.078937360136947953e+24,3.285783335392220209e+23
9.090909090909090901e-04,9.693604681863410496e+24,3.404889444177228973e+24,1.077564066674988158e+24,3.281360363988960600e+23
6.060606060606060601e-04,9.697663803537531645e+24,3.407156872305490413e+24,1.078403482685260054e+24,3.284063799038391678e+23
1.212121212121212120e-03,9.687960985442202063e+24,3.401738347724817557e+24,1.076397789217490192e+24,3.277604631262050931e+23
9.090909090909090901e-04,9.693604681863412643e+24,3.404889444177227899e+24,1.077564066674987890e+24,3.281360363988959929e+23
1.515151515151515150e-03,9.680716529613627684e+24,3.397695983036468436e+24,1.074902107640776161e+24,3.272788798008635173e+23
1.212121212121212120e-03,9.687960985442206358e+24,3.401738347724817557e+24,1.076397789217490192e+24,3.277604631262047576e+23
1.818181818181818180e-03,9.671865048736732174e+24,3.392760707582730810e+24,1.073076762292299147e+24,3.266912523955320935e+23
1.515151515151515150e-03,9.680716529613629832e+24,3.397695983036467362e+24,1.074902107640776429e+24,3.272788798008635844e+23
2.121212121212120993e-03,9.661402480089335129e+24,3.386932525558402063e+24,1.070922180055050970e+24,3.259977788287870745e+23
1.818181818181818180e-03,9.671865048736732174e+24,3.392760707582731884e+24,1.073076762292299684e+24,3.266912523955321606e+23
2.424242424242424240e-03,9.649325269764817927e+24,3.380212142496651808e+24,1.068439123840764622e+24,3.251987759420434735e+23
2.121212121212120993e-03,9.661402480089337277e+24,3.386932525558403674e+24,1.070922180055050970e+24,3.259977788287869402e+23
2.727272727272727487e-03,9.635629844060737699e+24,3.372600671467036989e+24,1.065628583276854783e+24,3.242946441405767845e+23
2.424242424242424240e-03,9.649325269764814706e+24,3.380212142496650197e+24,1.068439123840764488e+24,3.251987759420432051e+23
3.030303030303030300e-03,9.620312405931137025e+24,3.364099521202683766e+24,1.062491732681161410e+24,3.232858536851862056e+23
2.727272727272727487e-03,9.635629844060738773e+24,3.372600671467037526e+24,1.065628583276854783e+24,3.242946441405764490e+23
3.333333333333333114e-03,9.603368844345635714e+24,3.354710347589548876e+24,1.059029912418771368e+24,3.221729384927600585e+23
3.030303030303030300e-03,9.620312405931148836e+24,3.364099521202685913e+24,1.062491732681162215e+24,3.232858536851860714e+23
3.636363636363636360e-03,9.584794689190333952e+24,3.344435030868633376e+24,1.055244619698271410e+24,3.209564929549457980e+23
3.333333333333333114e-03,9.603368844345635714e+24,3.354710347589549413e+24,1.059029912418770831e+24,3.221729384927597901e+23
3.939393939393939607e-03,9.564585086653432034e+24,3.333275664547151782e+24,1.051137503620554568e+24,3.196371701043581587e+23
3.636363636363636360e-03,9.584794689190326436e+24,3.344435030868631229e+24,1.055244619698270873e+24,3.209564929549453954e+23
4.242424242424241987e-03,9.542734784615956018e+24,3.321234550162268470e+24,1.046710362310299546e+24,3.182156804295717741e+23
3.939393939393939607e-03,9.564585086653428813e+24,3.333275664547148561e+24,1.051137503620554300e+24,3.196371701043579574e+23
4.545454545454545234e-03,9.519238123246637260e+24,3.308314195215459461e+24,1.041965141135727981e+24,3.166927910187724775e+23
4.242424242424241987e-03,9.542734784615960313e+24,3.321234550162271691e+24,1.046710362310299546e+24,3.182156804295717741e+23
4.848484848484848481e-03,9.494089028435593549e+24,3.294517312956601731e+24,1.036903931526164781e+24,3.150693248742946148e+23
4.545454545454545234e-03,9.519238123246638334e+24,3.308314195215457850e+24,1.041965141135727981e+24,3.166927910187724104e+23
5.151515151515151728e-03,9.467281006828696218e+24,3.279846823327571082e+24,1.031528970130365331e+24,3.133461603154680516e+23
4.848484848484848481e-03,9.494089028435595697e+24,3.294517312956599047e+24,1.036903931526164647e+24,3.150693248742944135e+23
5.454545454545454974e-03,9.438807141781176230e+24,3.264305854686200141e+24,1.025842638173636062e+24,3.115242304242963395e+23
5.151515151515151728e-03,9.467281006828689776e+24,3.279846823327571082e+24,1.031528970130364526e+24,3.133461603154677161e+23
5.757575757575757354e-03,9.408660089839014096e+24,3.247897746093642648e+24,1.019847460931840678e+24,3.096045225078400232e+23
5.454545454545454974e-03,9.438807141781176230e+24,3.264305854686200141e+24,1.025842638173634854e+24,3.115242304242960711e+23
6.060606060606060601e-03,9.376832077514225819e+24,3.230626050036675664e+24,1.013546107272882872e+24,3.075880775616818766e+23
5.757575757575757354e-03,9.408660089839019465e+24,3.247897746093645333e+24,1.019847460931840678e+24,3.096045225078399561e+23
6.363636363636363848e-03,9.343314898210097950e+24,3.212494535506558152e+24,1.006941389234857587e+24,3.054759897248534092e+23
6.060606060606060601e-03,9.376832077514225819e+24,3.230626050036674591e+24,1.013546107272882737e+24,3.075880775616818095e+23
6.666666666666666227e-03,9.308099909204867491e+24,3.193507191385771064e+24,1.000036261620784080e+24,3.032694057200898969e+23
6.363636363636363848e-03,9.343314898210097950e+24,3.212494535506557615e+24,1.006941389234856245e+24,3.054759897248531407e+23
6.969696969696969474e-03,9.271178028633913591e+24,3.173668230111613711e+24,9.928338215964406155e+23,3.009695242754138833e+23
6.666666666666666227e-03,9.308099909204873933e+24,3.193507191385771601e+24,1.000036261620784214e+24,3.032694057200898969e+23
7.272727272727272721e-03,9.232539732430551125e+24,3.152982091597043435e+24,9.853373082817438302e+23,2.985775955243560149e+23
6.969696969696969474e-03,9.271178028633908222e+24,3.173668230111612637e+24,9.928338215964402128e+23,3.009695242754137826e+23
7.575757575757575968e-03,9.192175051198076880e+24,3.131453447396201180e+24,9.775501023287426930e+23,2.960949203829757061e+23
7.272727272727272721e-03,9.232539732430547904e+24,3.152982091597043435e+24,9.853373082817431591e+23,2.985775955243561155e+23
7.878787878787879215e-03,9.150073566993623955e+24,3.109087205106776594e+24,9.694757254808681568e+23,2.935228499023840821e+23
7.575757575757575968e-03,9.192175051198081175e+24,3.131453447396199569e+24,9.775501023287418877e+23,2.960949203829755384e+23
8.181818181818182462e-03,9.106224410010022496e+24,3.085888513004555840e+24,9.611178401091259476e+23,2.908627845958365537e+23
7.878787878787879215e-03,9.150073566993615365e+24,3.109087205106774446e+24,9.694757254808670831e+23,2.935228499023838472e+23
8.484848484848483974e-03,9.060616255145595082e+24,3.061862764907703988e+24,9.524802487216511627e+23,2.881161737397168578e+23
8.181818181818182462e-03,9.106224410010016054e+24,3.085888513004553693e+24,9.611178401091250081e+23,2.908627845958363523e+23
8.787878787878787221e-03,9.013237318453976478e+24,3.037015605269778571e+24,9.435668934434218375e+23,2.852845146478943802e+23
8.484848484848483974e-03,9.060616255145590787e+24,3.061862764907703988e+24,9.524802487216515653e+23,2.881161737397166565e+23
9.090909090909090468e-03,8.964075353468057575e+24,3.011352934501714296e+24,9.343818554632588210e+23,2.823693519190695566e+23
8.787878787878787221e-03,9.013237318453976478e+24,3.037015605269782329e+24,9.435668934434210322e+23,2.852845146478941454e+23
9.393939393939393714e-03,8.913117647393248497e+24,2.984880914523710906e+24,9.249293544453992843e+23,2.793722766567995909e+23
9.090909090909090468e-03,8.964075353468053280e+24,3.011352934501715370e+24,9.343818554632580157e+23,2.823693519190693889e+23
9.696969696969696961e-03,8.860351017166188982e+24,2.957605974548662196e+24,9.152137479030154765e+23,2.762949256619645427e+23
9.393939393939393714e-03,8.913117647393242055e+24,2.984880914523711443e+24,9.249293544453987474e+23,2.793722766567993896e+23
1.000000000000000021e-02,8.805761805375434608e+24,2.929534817099284935e+24,9.052395305311222838e+23,2.731389805974803427e+23
