x,t=1.12e+02s,t=2.25e+02s,t=3.37e+02s,t=4.50e+02s
3.030303030303030300e-04,1.756502905894562370e+25,1.160236325847387726e+25,6.974077504733461051e+24,4.000417269886652739e+24
0.000000000000000000e+00,1.756532914579275010e+25,1.160273662046612959e+25,6.974367318216369955e+24,4.000603476296934483e+24
6.060606060606060601e-04,1.756185555106309837e+25,1.159841531767247871e+25,6.971013229909683393e+24,3.998448538880156929e+24
3.030303030303030300e-04,1.756502905894562155e+25,1.160236325847387726e+25,6.974077504733455682e+24,4.000417269886651665e+24
9.090909090909090901e-04,1.755686178200455041e+25,1.159220547220319668e+25,6.966194527023279190e+24,3.995353050242497435e+24
6.060606060606060601e-04,1.756185555106308978e+25,1.159841531767247871e+25,6.971013229909676950e+24,3.998448538880154244e+24
1.212121212121212120e-03,1.754991514556009492e+25,1.158357244680389335e+25,6.959497942930090017e+24,3.991052100100464415e+24
9.090909090909090901e-04,1.755686178200455471e+25,1.159220547220319668e+25,6.966194527023273821e+24,3.995353050242495824e+24
1.515151515151515150e-03,1.754099237940149623e+25,1.157249244326464649e+25,6.950907402699491347e+24,3.985536210469765859e+24
1.212121212121212120e-03,1.754991514556009492e+25,1.158357244680388476e+25,6.959497942930085722e+24,3.991052100100460120e+24
1.818181818181818180e-03,1.753008145190582430e+25,1.155895712215690611e+25,6.940419515652673204e+24,3.978804293926235207e+24
1.515151515151515150e-03,1.754099237940148979e+25,1.157249244326463790e+25,6.950907402699488126e+24,3.985536210469764249e+24
2.121212121212120993e-03,1.751717206787637356e+25,1.154296180261578090e+25,6.928034415633654190e+24,3.970857766983114978e+24
1.818181818181818180e-03,1.753008145190583289e+25,1.155895712215690181e+25,6.940419515652676426e+24,3.978804293926236281e+24
2.424242424242424240e-03,1.750225357910425668e+25,1.152450287682093925e+25,6.913753753446592719e+24,3.961699258263844275e+24
2.121212121212120993e-03,1.751717206787635638e+25,1.154296180261576587e+25,6.928034415633649895e+24,3.970857766983114978e+24
2.727272727272727487e-03,1.748531432696343801e+25,1.150357700890595346e+25,6.897580074324623484e+24,3.951332206219308734e+24
2.424242424242424240e-03,1.750225357910424594e+25,1.152450287682093066e+25,6.913753753446586276e+24,3.961699258263841590e+24
3.030303030303030300e-03,1.746634138353359846e+25,1.148018083245474445e+25,6.879516582313580156e+24,3.939760705093526413e+24
2.727272727272727487e-03,1.748531432696344660e+25,1.150357700890595346e+25,6.897580074324623484e+24,3.951332206219313566e+24
3.333333333333333114e-03,1.744532043036604209e+25,1.145431082199592402e+25,6.859567039586971142e+24,3.926989437229324982e+24
3.030303030303030300e-03,1.746634138353361779e+25,1.148018083245475304e+25,6.879516582313582303e+24,3.939760705093531781e+24
3.636363636363636360e-03,1.742223569205307616e+25,1.142596323544312275e+25,6.837735720675047836e+24,3.913023640296974610e+24
3.333333333333333114e-03,1.744532043036603564e+25,1.145431082199591543e+25,6.859567039586964699e+24,3.926989437229324445e+24
3.939393939393939607e-03,1.739706989378214862e+25,1.139513408916412004e+25,6.814027391841357359e+24,3.897869090315550880e+24
3.636363636363636360e-03,1.742223569205305898e+25,1.142596323544311201e+25,6.837735720675038173e+24,3.913023640296971926e+24
4.242424242424241987e-03,1.736980422997729751e+25,1.136181914966777603e+25,6.788447303154755841e+24,3.881532092462126758e+24
3.939393939393939607e-03,1.739706989378212929e+25,1.139513408916411145e+25,6.814027391841349843e+24,3.897869090315549270e+24
4.545454545454545234e-03,1.734041833811250565e+25,1.132601393459054044e+25,6.761001187550637020e+24,3.864019475998040211e+24
4.242424242424241987e-03,1.736980422997729751e+25,1.136181914966778032e+25,6.788447303154752620e+24,3.881532092462126221e+24
4.848484848484848481e-03,1.730889027477301104e+25,1.128771371939161298e+25,6.731695264067071987e+24,3.845338591499506820e+24
4.545454545454545234e-03,1.734041833811248847e+25,1.132601393459053185e+25,6.761001187550631651e+24,3.864019475998036990e+24
5.151515151515151728e-03,1.727519649242671713e+25,1.124691354789476019e+25,6.700536243780859862e+24,3.825497309440213992e+24
4.848484848484848481e-03,1.730889027477300460e+25,1.128771371939160224e+25,6.731695264067064470e+24,3.845338591499504673e+24
5.454545454545454974e-03,1.723931181604961285e+25,1.120360824566816505e+25,6.667531337629110995e+24,3.804504019597673269e+24
5.151515151515151728e-03,1.727519649242670425e+25,1.124691354789474946e+25,6.700536243780854493e+24,3.825497309440211845e+24
5.757575757575757354e-03,1.720120941910479576e+25,1.115779243568033010e+25,6.632688265645637482e+24,3.782367630975974265e+24
5.454545454545454974e-03,1.723931181604958708e+25,1.120360824566815432e+25,6.667531337629105627e+24,3.804504019597670048e+24
6.060606060606060601e-03,1.716086079856743478e+25,1.110946055591424729e+25,6.596015267328819536e+24,3.759097572057494449e+24
5.757575757575757354e-03,1.720120941910478717e+25,1.115779243568031507e+25,6.632688265645638556e+24,3.782367630975973192e+24
6.363636363636363848e-03,1.711823574879613481e+25,1.105860687876182743e+25,6.557521112962952447e+24,3.734703791263956364e+24
6.060606060606060601e-03,1.716086079856742189e+25,1.110946055591423011e+25,6.596015267328813093e+24,3.759097572057492302e+24
6.666666666666666227e-03,1.707330233411526566e+25,1.100522553210403781e+25,6.517215115777387046e+24,3.709196757546814908e+24
6.363636363636363848e-03,1.711823574879611548e+25,1.105860687876181669e+25,6.557521112962944930e+24,3.734703791263952606e+24
6.969696969696969474e-03,1.702602686000967079e+25,1.094931052203329135e+25,6.475107144864248363e+24,3.682587461050633822e+24
6.666666666666666227e-03,1.707330233411525707e+25,1.100522553210403136e+25,6.517215115777385972e+24,3.709196757546813297e+24
7.272727272727272721e-03,1.697637384285634273e+25,1.089085575720852039e+25,6.431207638798619810e+24,3.654887413807577609e+24
6.969696969696969474e-03,1.702602686000965361e+25,1.094931052203328705e+25,6.475107144864244068e+24,3.682587461050630601e+24
7.575757575757575968e-03,1.692430597813178668e+25,1.082985507485498454e+25,6.385527619919092543e+24,3.626108650430281560e+24
7.272727272727272721e-03,1.697637384285632985e+25,1.089085575720851824e+25,6.431207638798616588e+24,3.654887413807574925e+24
7.878787878787879215e-03,1.686978410704196065e+25,1.076630226843689098e+25,6.338078709235196445e+24,3.596263728775911147e+24
7.575757575757575968e-03,1.692430597813177164e+25,1.082985507485497809e+25,6.385527619919088248e+24,3.626108650430278876e+24
8.181818181818182462e-03,1.681276718152696362e+25,1.070019111704245263e+25,6.288873141933925349e+24,3.565365730557824418e+24
7.878787878787879215e-03,1.686978410704193488e+25,1.076630226843687809e+25,6.338078709235194297e+24,3.596263728775906315e+24
8.484848484848483974e-03,1.675321222759579948e+25,1.063151541652955861e+25,6.237923783460649725e+24,3.533428261883505380e+24
8.181818181818182462e-03,1.681276718152695933e+25,1.070019111704244834e+25,6.288873141933923201e+24,3.565365730557822270e+24
8.787878787878787221e-03,1.669107430694745338e+25,1.056026901248796886e+25,6.185244146151785551e+24,3.500465453698651267e+24
8.484848484848483974e-03,1.675321222759578445e+25,1.063151541652955217e+25,6.237923783460646503e+24,3.533428261883500548e+24
9.090909090909090468e-03,1.662630647683549392e+25,1.048644583507957350e+25,6.130848406397116412e+24,3.466491962118155608e+24
8.787878787878787221e-03,1.669107430694743190e+25,1.056026901248795598e+25,6.185244146151781256e+24,3.500465453698648046e+24
9.393939393939393714e-03,1.655885974813315497e+25,1.041003993582420571e+25,6.074751422310154389e+24,3.431522968624989903e+24
9.090909090909090468e-03,1.662630647683548318e+25,1.048644583507955846e+25,6.130848406397112117e+24,3.466491962118150239e+24
9.696969696969696961e-03,1.648868304155474045e+25,1.033104552640334630e+25,6.016968751884214506e+24,3.395574180118117747e+24
9.393939393939393714e-03,1.655885974813313779e+25,1.041003993582419712e+25,6.074751422310147946e+24,3.431522968624983997e+24
1.000000000000000021e-02,1.641572314198897866e+25,1.024945701955871995e+25,5.957516671611460888e+24,3.358661828790420582e+24
9.696969696969696961e-03,1.648868304155473401e+25,1.033104552640333341e+25,6.016968751884213433e+24,3.395574180118113989e+24
1.030303030303030346e-02,1.633992465089773012e+25,1.016526907216769265e+25,5.896412195540747168e+24,3.320802671817426387e+24
1.000000000000000021e-02,1.641572314198897007e+25,1.024945701955870492e+25,5.957516671611456593e+24,3.358661828790417898e+24
1.060606060606060670e-02,1.626122993673294591e+25,1.007847663058192785e+25,5.833673094749101983e+24,3.282013990837253560e+24
1.030303030303030346e-02,1.633992465089772583e+25,1.016526907216768191e+25,5.896412195540741799e+24,3.320802671817424240e+24
1.090909090909090995e-02,1.617957908332235989e+25,9.989074978320045488e+24,5.769317917199867822e+24,3.242313591201854776e+24
1.060606060606060670e-02,1.626122993673293303e+25,1.007847663058190852e+25,5.833673094749099836e+24,3.282013990837251949e+24
1.121212121212121146e-02,1.609490983617318696e+25,9.897059786210254938e+24,5.703366007958951025e+24,3.201719800979110863e+24
1.090909090909090995e-02,1.617957908332235345e+25,9.989074978320045488e+24,5.769317917199866748e+24,3.242313591201852092e+24
1.151515151515151471e-02,1.600715754664088968e+25,9.802427165082914310e+24,5.635837529738549087e+24,3.160251469685018734e+24
