x,t=1.00e+01s,t=2.00e+01s,t=3.00e+01s,t=4.00e+01s,t=5.00e+01s,t=6.00e+01s,t=7.00e+01s,t=8.00e+01s,t=9.00e+01s
3.030303030303030300e-04,1.380198557618912811e+24,1.379506634577862497e+24,1.377334723265480054e+24,1.372450842940348391e+24,1.363576560144029294e+24,1.349679756235918702e+24,1.330161711257508985e+24,1.304906707911842107e+24,1.274224130447031528e+24
0.000000000000000000e+00,1.380198651487439284e+24,1.379507198999539613e+24,1.377336495103173810e+24,1.372454827466255575e+24,1.363583800665695790e+24,1.349691095173612079e+24,1.330177637418366702e+24,1.304927315947078099e+24,1.274249168057238311e+24
6.060606060606060601e-04,1.380197563026667871e+24,1.379500656853307395e+24,1.377315963498089884e+24,1.372408666146902288e+24,1.363499933907500329e+24,1.349559777178482417e+24,1.329993218145483552e+24,1.304688708036163344e+24,1.273959298683984408e+24
3.030303030303030300e-04,1.380198557618913080e+24,1.379506634577862766e+24,1.377334723265480054e+24,1.372450842940349197e+24,1.363576560144028489e+24,1.349679756235919508e+24,1.330161711257509790e+24,1.304906707911843181e+24,1.274224130447030991e+24
9.090909090909090901e-04,1.380195987842401179e+24,1.379491202871334086e+24,1.377286324327723058e+24,1.372342085613019223e+24,1.363379056378309136e+24,1.349370622034696190e+24,1.329727707227509890e+24,1.304345323786521872e+24,1.273542286556849940e+24
6.060606060606060601e-04,1.380197563026667335e+24,1.379500656853308200e+24,1.377315963498089348e+24,1.372408666146902288e+24,1.363499933907500866e+24,1.349559777178484832e+24,1.329993218145484358e+24,1.304688708036163881e+24,1.273959298683984945e+24
1.212121212121212120e-03,1.380193775772668143e+24,1.379477953776040660e+24,1.377244849029107325e+24,1.372249031951359049e+24,1.363210291693467910e+24,1.349106759389995495e+24,1.329357598752537548e+24,1.303866949900736976e+24,1.272961627383775535e+24
9.090909090909090901e-04,1.380195987842401716e+24,1.379491202871335697e+24,1.377286324327722789e+24,1.372342085613018954e+24,1.363379056378309941e+24,1.349370622034698069e+24,1.329727707227509622e+24,1.304345323786522140e+24,1.273542286556850209e+24
1.515151515151515150e-03,1.380190898763710364e+24,1.379460768738462935e+24,1.377191157870708050e+24,1.372128766570399885e+24,1.362992472138299545e+24,1.348766587503620301e+24,1.328880906948124831e+24,1.303251298808279048e+24,1.272214824015927223e+24
1.212121212121212120e-03,1.380193775772668680e+24,1.379477953776041197e+24,1.377244849029107862e+24,1.372249031951358781e+24,1.363210291693467910e+24,1.349106759389996300e+24,1.329357598752538085e+24,1.303866949900736976e+24,1.272961627383775535e+24
1.818181818181818180e-03,1.380187325892300988e+24,1.379439498655454447e+24,1.377124864922978053e+24,1.371980572835661969e+24,1.362724523245670123e+24,1.348348719038932135e+24,1.328296025690777290e+24,1.302496657142878715e+24,1.271300159163631328e+24
1.515151515151515150e-03,1.380190898763710901e+24,1.379460768738462398e+24,1.377191157870707782e+24,1.372128766570399080e+24,1.362992472138299814e+24,1.348766587503619764e+24,1.328880906948124831e+24,1.303251298808279048e+24,1.272214824015926686e+24
2.121212121212120993e-03,1.380183020057203353e+24,1.379413967024057219e+24,1.377045519523171482e+24,1.371803626677680896e+24,1.362405231338138756e+24,1.347851619698739618e+24,1.327601223280402811e+24,1.301601233792152132e+24,1.270215904540018323e+24
1.818181818181818180e-03,1.380187325892300720e+24,1.379439498655454179e+24,1.377124864922978859e+24,1.371980572835661432e+24,1.362724523245670660e+24,1.348348719038933208e+24,1.328296025690777290e+24,1.302496657142879521e+24,1.271300159163631059e+24
2.424242424242424240e-03,1.380177936906732148e+24,1.379383964456599819e+24,1.376952590927294825e+24,1.371596964843778216e+24,1.362033189102316964e+24,1.347273526237713465e+24,1.326794530086933362e+24,1.300563016651404506e+24,1.268960148256612850e+24
2.121212121212120993e-03,1.380183020057203084e+24,1.379413967024057487e+24,1.377045519523171751e+24,1.371803626677679822e+24,1.362405231338138756e+24,1.347851619698740155e+24,1.327601223280402811e+24,1.301601233792151864e+24,1.270215904540018055e+24
2.727272727272727487e-03,1.380172024125303518e+24,1.379349245570658930e+24,1.376845460820688965e+24,1.371359471395718535e+24,1.361606774970619936e+24,1.346612418043778662e+24,1.325873701960192658e+24,1.299379727798926351e+24,1.267530742045366024e+24
2.424242424242424240e-03,1.380177936906733759e+24,1.379383964456599819e+24,1.376952590927294557e+24,1.371596964843778753e+24,1.362033189102318038e+24,1.347273526237713465e+24,1.326794530086933362e+24,1.300563016651405043e+24,1.268960148256613386e+24
3.030303030303030300e-03,1.380165220749249721e+24,1.379309526292674315e+24,1.376723417562915547e+24,1.371089868715250741e+24,1.361124141373253220e+24,1.345866003250612865e+24,1.324836204575210403e+24,1.298048806142276916e+24,1.265925282097849629e+24
2.727272727272727487e-03,1.380172024125305129e+24,1.379349245570659736e+24,1.376845460820688697e+24,1.371359471395719608e+24,1.361606774970620205e+24,1.346612418043778393e+24,1.325873701960193464e+24,1.299379727798926620e+24,1.267530742045366829e+24
3.333333333333333114e-03,1.380157456422749598e+24,1.379264481064716836e+24,1.376585650602214553e+24,1.370786709538638039e+24,1.360583205569000863e+24,1.345031709544024356e+24,1.323679204897835847e+24,1.296567399651727567e+24,1.264141101782199001e+24
3.030303030303030300e-03,1.380165220749249989e+24,1.379309526292674315e+24,1.376723417562915011e+24,1.371089868715251009e+24,1.361124141373252415e+24,1.345866003250611522e+24,1.324836204575210940e+24,1.298048806142276379e+24,1.265925282097849629e+24
3.636363636363636360e-03,1.380148650559090719e+24,1.379213739775259195e+24,1.376431244541778809e+24,1.370448368902263634e+24,1.359981641058443321e+24,1.344106676553663369e+24,1.322399565406749690e+24,1.294932361526220186e+24,1.262175269355283005e+24
3.333333333333333114e-03,1.380157456422749061e+24,1.379264481064716299e+24,1.376585650602214284e+24,1.370786709538638576e+24,1.360583205569001131e+24,1.345031709544023283e+24,1.323679204897835310e+24,1.296567399651727030e+24,1.264141101782198733e+24
3.939393939393939607e-03,1.380138711387196306e+24,1.379156884329113307e+24,1.376259172643105661e+24,1.370073035569497515e+24,1.359316868838210853e+24,1.343087748688960798e+24,1.320993839471606830e+24,1.293140248212306523e+24,1.260024588129972609e+24
3.636363636363636360e-03,1.380148650559090450e+24,1.379213739775260268e+24,1.376431244541778809e+24,1.370448368902263366e+24,1.359981641058443590e+24,1.344106676553663369e+24,1.322399565406749690e+24,1.294932361526219918e+24,1.262175269355282200e+24
4.242424242424241987e-03,1.380127534867456572e+24,1.379093444801636864e+24,1.376068289653487484e+24,1.369658702744968839e+24,1.358586048188047545e+24,1.341971467958182063e+24,1.319458267241761590e+24,1.291187318430680438e+24,1.257685598055228215e+24
3.939393939393939607e-03,1.380138711387196843e+24,1.379156884329114381e+24,1.376259172643105661e+24,1.370073035569497784e+24,1.359316868838210853e+24,1.343087748688959725e+24,1.320993839471607903e+24,1.293140248212307060e+24,1.260024588129972341e+24
4.545454545454545234e-03,1.380115003461275079e+24,1.379022895131553566e+24,1.375857323881888024e+24,1.369203157973297309e+24,1.357786066852151269e+24,1.340754066576633766e+24,1.317788771774547444e+24,1.289069532847890732e+24,1.255154578251791171e+24
4.242424242424241987e-03,1.380127534867457646e+24,1.379093444801636327e+24,1.376068289653487484e+24,1.369658702744969376e+24,1.358586048188047545e+24,1.341971467958181794e+24,1.319458267241762395e+24,1.291187318430681511e+24,1.257685598055228215e+24
4.848484848484848481e-03,1.380100984737804707e+24,1.378944648308170607e+24,1.375624868461153823e+24,1.368703972157726160e+24,1.356913530550192188e+24,1.339431459286912671e+24,1.315980955295279351e+24,1.286782554240092954e+24,1.252427550298577591e+24
4.545454545454545234e-03,1.380115003461276153e+24,1.379022895131553566e+24,1.375857323881889635e+24,1.369203157973298382e+24,1.357786066852152074e+24,1.340754066576634303e+24,1.317788771774548249e+24,1.289069532847890732e+24,1.255154578251791439e+24
5.151515151515151728e-03,1.380085329799623358e+24,1.378858051006872989e+24,1.375369371738491706e+24,1.368158487651305545e+24,1.355964751789093139e+24,1.337999235370712400e+24,1.314030095559219160e+24,1.284321748094608149e+24,1.249500282183012909e+24
4.848484848484848481e-03,1.380100984737805512e+24,1.378944648308170875e+24,1.375624868461154897e+24,1.368703972157726696e+24,1.356913530550192993e+24,1.339431459286912940e+24,1.315980955295280156e+24,1.286782554240093491e+24,1.252427550298578396e+24
