x,t=1.00e+00s,t=2.00e+00s,t=3.00e+00s,t=4.00e+00s,t=5.00e+00s,t=6.00e+00s,t=7.00e+00s,t=8.00e+00s,t=9.00e+00s
3.030303030303030300e-04,1.536519638421724516e+25,1.536519694886155674e+25,1.536519751499982330e+25,1.536519808179668014e+25,1.536519864889724271e+25,1.536519921590705262e+25,1.536519978191470923e+25,1.536520034451560421e+25,1.536520089772215804e+25
0.000000000000000000e+00,1.536519637987423221e+25,1.536519694450895742e+25,1.536519751063571132e+25,1.536519807742747433e+25,1.536519864452566608e+25,1.536519921153616104e+25,1.536519977755150134e+25,1.536520034017857630e+25,1.536520089345729631e+25
6.060606060606060601e-04,1.536519642985094841e+25,1.536519699489077064e+25,1.536519756114680735e+25,1.536519812799650732e+25,1.536519869512143739e+25,1.536519926212341973e+25,1.536519982804840465e+25,1.536520039036900148e+25,1.536520094280330515e+25
3.030303030303030300e-04,1.536519638421724086e+25,1.536519694886155459e+25,1.536519751499982115e+25,1.536519808179668014e+25,1.536519864889723412e+25,1.536519921590705692e+25,1.536519978191469849e+25,1.536520034451560421e+25,1.536520089772215159e+25
9.090909090909090901e-04,1.536519650182645488e+25,1.536519706732018000e+25,1.536519763373688284e+25,1.536519820066354219e+25,1.536519876782404962e+25,1.536519933481053571e+25,1.536519990059799364e+25,1.536520046245794019e+25,1.536520101362841752e+25
6.060606060606060601e-04,1.536519642985094841e+25,1.536519699489076849e+25,1.536519756114680091e+25,1.536519812799650518e+25,1.536519869512143095e+25,1.536519926212342187e+25,1.536519982804839606e+25,1.536520039036900148e+25,1.536520094280330730e+25
1.212121212121212120e-03,1.536519660214207758e+25,1.536519716805582687e+25,1.536519773465838369e+25,1.536519830168133620e+25,1.536519886888598301e+25,1.536519943584430271e+25,1.536520000142471744e+25,1.536520056260233113e+25,1.536520111191158009e+25
9.090909090909090901e-04,1.536519650182645274e+25,1.536519706732017785e+25,1.536519763373687640e+25,1.536519820066354219e+25,1.536519876782404962e+25,1.536519933481054001e+25,1.536519990059798719e+25,1.536520046245793590e+25,1.536520101362841538e+25
1.515151515151515150e-03,1.536519673109934681e+25,1.536519729739205395e+25,1.536519786419037323e+25,1.536519843132211942e+25,1.536519899857506743e+25,1.536519956548585472e+25,1.536520013077251087e+25,1.536520069099991673e+25,1.536520123773579738e+25
1.212121212121212120e-03,1.536519660214207543e+25,1.536519716805582687e+25,1.536519773465838154e+25,1.536519830168134049e+25,1.536519886888598516e+25,1.536519943584430271e+25,1.536520000142471744e+25,1.536520056260232039e+25,1.536520111191157150e+25
1.818181818181818180e-03,1.536519688880506984e+25,1.536519745543409225e+25,1.536519802242747606e+25,1.536519858967399235e+25,1.536519915697425802e+25,1.536519972380920049e+25,1.536520028869184839e+25,1.536520084763828670e+25,1.536520139093320061e+25
1.515151515151515150e-03,1.536519673109934681e+25,1.536519729739205395e+25,1.536519786419037109e+25,1.536519843132212156e+25,1.536519899857507172e+25,1.536519956548584398e+25,1.536520013077251516e+25,1.536520069099991888e+25,1.536520123773579523e+25
2.121212121212120993e-03,1.536519707531232171e+25,1.536519764223623872e+25,1.536519820941689814e+25,1.536519877677844010e+25,1.536519934411924597e+25,1.536519991083838967e+25,1.536520047517508925e+25,1.536520103242487374e+25,1.536520157120256869e+25
1.818181818181818180e-03,1.536519688880508702e+25,1.536519745543410084e+25,1.536519802242748250e+25,1.536519858967400309e+25,1.536519915697426231e+25,1.536519972380919834e+25,1.536520028869186127e+25,1.536520084763828885e+25,1.536520139093321350e+25
2.424242424242424240e-03,1.536519729065222592e+25,1.536519785783248161e+25,1.536519842518814591e+25,1.536519899266009860e+25,1.536519956002824622e+25,1.536520012657662632e+25,1.536520069018316857e+25,1.536520124520758878e+25,1.536520177811557740e+25
2.121212121212120993e-03,1.536519707531232601e+25,1.536519764223624087e+25,1.536519820941688955e+25,1.536519877677844010e+25,1.536519934411922879e+25,1.536519991083838323e+25,1.536520047517508281e+25,1.536520103242487160e+25,1.536520157120257298e+25
2.727272727272727487e-03,1.536519753484464452e+25,1.536519810224631866e+25,1.536519866976211438e+25,1.536519923733569888e+25,1.536519980471069483e+25,1.536520037101392464e+25,1.536520093365023163e+25,1.536520148577129260e+25,1.536520201109458373e+25
2.424242424242424240e-03,1.536519729065222592e+25,1.536519785783247946e+25,1.536519842518813517e+25,1.536519899266008356e+25,1.536519956002823334e+25,1.536520012657661988e+25,1.536520069018315139e+25,1.536520124520758663e+25,1.536520177811557311e+25
3.030303030303030300e-03,1.536519780790276094e+25,1.536519837549482024e+25,1.536519894315455534e+25,1.536519951081736135e+25,1.536520007817015661e+25,1.536520064412860363e+25,1.536520120548087001e+25,1.536520175382428820e+25,1.536520226937474417e+25
2.727272727272727487e-03,1.536519753484464882e+25,1.536519810224631437e+25,1.536519866976211438e+25,1.536519923733568814e+25,1.536519980471069483e+25,1.536520037101392679e+25,1.536520093365022948e+25,1.536520148577130763e+25,1.536520201109458158e+25
3.333333333333333114e-03,1.536519810983551514e+25,1.536519867759066079e+25,1.536519924537769013e+25,1.536519981311386491e+25,1.536520038040495653e+25,1.536520094588597069e+25,1.536520150554314448e+25,1.536520204897718956e+25,1.536520255195090970e+25
3.030303030303030300e-03,1.536519780790277383e+25,1.536519837549481380e+25,1.536519894315455964e+25,1.536519951081736349e+25,1.536520007817016305e+25,1.536520064412861436e+25,1.536520120548087646e+25,1.536520175382430753e+25,1.536520226937475062e+25
3.636363636363636360e-03,1.536519844064889001e+25,1.536519900854330856e+25,1.536519957644097197e+25,1.536520014423106577e+25,1.536520071140774375e+25,1.536520127623520132e+25,1.536520183365797207e+25,1.536520237071356981e+25,1.536520285750669859e+25
3.333333333333333114e-03,1.536519810983551299e+25,1.536519867759065435e+25,1.536519924537768369e+25,1.536519981311386062e+25,1.536520038040495653e+25,1.536520094588596854e+25,1.536520150554314018e+25,1.536520204897719600e+25,1.536520255195091829e+25
3.939393939393939607e-03,1.536519880034681974e+25,1.536519936835979657e+25,1.536519993635156486e+25,1.536520050417194462e+25,1.536520107116445440e+25,1.536520163510465548e+25,1.536520218958435358e+25,1.536520271835062578e+25,1.536520318432081466e+25
3.636363636363636360e-03,1.536519844064887927e+25,1.536519900854330427e+25,1.536519957644096123e+25,1.536520014423105718e+25,1.536520071140773946e+25,1.536520127623518629e+25,1.536520183365795918e+25,1.536520237071356766e+25,1.536520285750669000e+25
4.242424242424241987e-03,1.536519918893171166e+25,1.536519975704523368e+25,1.536520032511464638e+25,1.536520089293642201e+25,1.536520145965244757e+25,1.536520202239522895e+25,1.536520257299946853e+25,1.536520309098688250e+25,1.536520353014443021e+25
3.939393939393939607e-03,1.536519880034681329e+25,1.536519936835978369e+25,1.536519993635155412e+25,1.536520050417193603e+25,1.536520107116443937e+25,1.536520163510464260e+25,1.536520218958434928e+25,1.536520271835062364e+25,1.536520318432081037e+25
4.545454545454545234e-03,1.536519960640495519e+25,1.536520017460323409e+25,1.536520074273363319e+25,1.536520131052093526e+25,1.536520187683804640e+25,1.536520243797135536e+25,1.536520298347188101e+25,1.536520348743300124e+25,1.536520389204044904e+25
4.242424242424241987e-03,1.536519918893172239e+25,1.536519975704522938e+25,1.536520032511465067e+25,1.536520089293642845e+25,1.536520145965244112e+25,1.536520202239523754e+25,1.536520257299946423e+25,1.536520309098688465e+25,1.536520353014442592e+25
4.848484848484848481e-03,1.536520005276702063e+25,1.536520062103612355e+25,1.536520118921009938e+25,1.536520175691754942e+25,1.536520232267288743e+25,1.536520288164852937e+25,1.536520342042563376e+25,1.536520390612024949e+25,1.536520426617336657e+25
4.545454545454545234e-03,1.536519960640495090e+25,1.536520017460321477e+25,1.536520074273362674e+25,1.536520131052091593e+25,1.536520187683803996e+25,1.536520243797134462e+25,1.536520298347186812e+25,1.536520348743299050e+25,1.536520389204043616e+25
5.151515151515151728e-03,1.536520052801778558e+25,1.536520109634524207e+25,1.536520166454385598e+25,1.536520223211301237e+25,1.536520279708904145e+25,1.536520335317680536e+25,1.536520388309266422e+25,1.536520434497988324e+25,1.536520464753498464e+25
4.848484848484848481e-03,1.536520005276701204e+25,1.536520062103611711e+25,1.536520118921008864e+25,1.536520175691753653e+25,1.536520232267288314e+25,1.536520288164851863e+25,1.536520342042563161e+25,1.536520390612024949e+25,1.536520426617336013e+25
5.454545454545454974e-03,1.536520103215662082e+25,1.536520160053100842e+25,1.536520216873273188e+25,1.536520273608710555e+25,1.536520329999227258e+25,1.536520385221828752e+25,1.536520437044888683e+25,1.536520480128380154e+25,1.536520502958595355e+25
5.151515151515151728e-03,1.536520052801777055e+25,1.536520109634523133e+25,1.536520166454384310e+25,1.536520223211300807e+25,1.536520279708903501e+25,1.536520335317679463e+25,1.536520388309265563e+25,1.536520434497987680e+25,1.536520464753496961e+25
5.757575757575757354e-03,1.536520156518251274e+25,1.536520213359303605e+25,1.536520270177226677e+25,1.536520326881039555e+25,1.536520383125281483e+25,1.536520437831680306e+25,1.536520488112933737e+25,1.536520527143447107e+25,1.536520540378829278e+25
5.454545454545454974e-03,1.536520103215660150e+25,1.536520160053099983e+25,1.536520216873272115e+25,1.536520273608709911e+25,1.536520329999227043e+25,1.536520385221827678e+25,1.536520437044887824e+25,1.536520480128379080e+25,1.536520502958594281e+25
6.060606060606060601e-03,1.536520212709417071e+25,1.536520269553017820e+25,1.536520326365519355e+25,1.536520383024109019e+25,1.536520439069277924e+25,1.536520493085712156e+25,1.536520541331486525e+25,1.536520575068810473e+25,1.536520575899570750e+25
5.757575757575757354e-03,1.536520156518250415e+25,1.536520213359303605e+25,1.536520270177226677e+25,1.536520326881039125e+25,1.536520383125281483e+25,1.536520437831680306e+25,1.536520488112933522e+25,1.536520527143447107e+25,1.536520540378829708e+25
6.363636363636363848e-03,1.536520271788999484e+25,1.536520328634045274e+25,1.536520385437057938e+25,1.536520442032067698e+25,1.536520497806882156e+25,1.536520550900965933e+25,1.536520596458106452e+25,1.536520623278966894e+25,1.536520608065873830e+25
6.060606060606060601e-03,1.536520212709416212e+25,1.536520269553016961e+25,1.536520326365518710e+25,1.536520383024108375e+25,1.536520439069276851e+25,1.536520493085710653e+25,1.536520541331485237e+25,1.536520575068808970e+25,1.536520575899569677e+25
6.666666666666666227e-03,1.536520333756819198e+25,1.536520390602094340e+25,1.536520447390273690e+25,1.536520503896773623e+25,1.536520559304873036e+25,1.536520611165635479e+25,1.536520653169731446e+25,1.536520670949240771e+25,1.536520634978986304e+25
6.363636363636363848e-03,1.536520271788998839e+25,1.536520328634043986e+25,1.536520385437057294e+25,1.536520442032066195e+25,1.536520497806882371e+25,1.536520550900965504e+25,1.536520596458105593e+25,1.536520623278964961e+25,1.536520608065873186e+25
6.969696969696969474e-03,1.536520398612678646e+25,1.536520455456772243e+25,1.536520512222951697e+25,1.536520568606964316e+25,1.536520623517926419e+25,1.536520673729044322e+25,1.536520711035893900e+25,1.536520716992544315e+25,1.536520654161631594e+25
6.666666666666666227e-03,1.536520333756819198e+25,1.536520390602094555e+25,1.536520447390273905e+25,1.536520503896774053e+25,1.536520559304873251e+25,1.536520611165635479e+25,1.536520653169731016e+25,1.536520670949241201e+25,1.536520634978986519e+25
7.272727272727272721e-03,1.536520466356353845e+25,1.536520523197536527e+25,1.536520579931985837e+25,1.536520636147063648e+25,1.536520690384214317e+25,1.536520738388143802e+25,1.536520769483064283e+25,1.536520759976162763e+25,1.536520662382801368e+25
