x,t=1.00e+01s,t=2.00e+01s,t=3.00e+01s,t=4.00e+01s,t=5.00e+01s,t=6.00e+01s,t=7.00e+01s,t=8.00e+01s,t=9.00e+01s
3.030303030303030300e-04,2.514749209740965099e+25,2.511082433168233192e+25,2.500822253435351210e+25,2.480007901806272783e+25,2.445583129465843406e+25,2.396120842869777041e+25,2.331901944178119377e+25,2.254551536560250033e+25,2.166510789739158578e+25
0.000000000000000000e+00,2.514749677875295226e+25,2.511084843832854875e+25,2.500828999311648898e+25,2.480021587666382491e+25,2.445605765563051190e+25,2.396153368225458564e+25,2.331944174544803486e+25,2.254602403549588028e+25,2.166568688110848605e+25
6.060606060606060601e-04,2.514744252042866665e+25,2.511056911255080154e+25,2.500750852538684816e+25,2.479863076294107260e+25,2.445343633350650781e+25,2.395776764963659598e+25,2.331455251277223935e+25,2.254013540150561724e+25,2.165898472071708662e+25
3.030303030303030300e-04,2.514749209740965099e+25,2.511082433168234051e+25,2.500822253435352069e+25,2.480007901806272783e+25,2.445583129465842117e+25,2.396120842869778329e+25,2.331901944178118518e+25,2.254551536560250892e+25,2.166510789739159437e+25
9.090909090909090901e-04,2.514736412676428227e+25,2.511016596936489196e+25,2.500638166714260416e+25,2.479634677114499889e+25,2.444966159038986912e+25,2.395234723366267817e+25,2.330751836172473920e+25,2.253166620949462729e+25,2.164934805940035057e+25
6.060606060606060601e-04,2.514744252042867524e+25,2.511056911255080584e+25,2.500750852538684816e+25,2.479863076294108119e+25,2.445343633350652499e+25,2.395776764963658739e+25,2.331455251277223935e+25,2.254013540150562583e+25,2.165898472071709091e+25
1.212121212121212120e-03,2.514725429229601521e+25,2.510960201070517531e+25,2.500480733357514246e+25,2.479315922744466748e+25,2.444439820688408877e+25,2.394479464032367086e+25,2.329772301432958074e+25,2.251987811367140216e+25,2.163594012266201945e+25
9.090909090909090901e-04,2.514736412676428227e+25,2.511016596936490484e+25,2.500638166714260845e+25,2.479634677114499889e+25,2.444966159038988201e+25,2.395234723366268676e+25,2.330751836172473920e+25,2.253166620949462299e+25,2.164934805940035487e+25
1.515151515151515150e-03,2.514711187743333805e+25,2.510887224466976206e+25,2.500277359015770837e+25,2.478904732521564966e+25,2.443761638422534805e+25,2.393507244949796432e+25,2.328512355713436268e+25,2.250472493040190960e+25,2.161871337744980546e+25
1.212121212121212120e-03,2.514725429229600662e+25,2.510960201070517961e+25,2.500480733357513817e+25,2.479315922744467607e+25,2.444439820688408018e+25,2.394479464032367086e+25,2.329772301432958504e+25,2.251987811367140216e+25,2.163594012266203234e+25
1.818181818181818180e-03,2.514693568227137739e+25,2.510797164687424712e+25,2.500026904349614478e+25,2.478399239429688853e+25,2.442929124250623833e+25,2.392315190725041523e+25,2.326968998980819050e+25,2.248617762763187653e+25,2.159764126286203368e+25
1.515151515151515150e-03,2.514711187743333376e+25,2.510887224466979212e+25,2.500277359015770407e+25,2.478904732521566684e+25,2.443761638422535664e+25,2.393507244949796002e+25,2.328512355713436698e+25,2.250472493040190960e+25,2.161871337744981405e+25
2.121212121212120993e-03,2.514672428808721162e+25,2.510689436552203869e+25,2.499728065560667362e+25,2.477797351646739923e+25,2.441939561923528188e+25,2.390900262077795460e+25,2.325139187577905294e+25,2.246420826388003609e+25,2.157269991764084812e+25
1.818181818181818180e-03,2.514693568227139027e+25,2.510797164687426859e+25,2.500026904349615337e+25,2.478399239429690571e+25,2.442929124250623833e+25,2.392315190725041953e+25,2.326968998980819909e+25,2.248617762763188941e+25,2.159764126286202939e+25
2.424242424242424240e-03,2.514647601197841498e+25,2.510563351431854582e+25,2.499379321227411508e+25,2.477096650783328087e+25,2.440789844741859215e+25,2.389259027893866127e+25,2.323019541868423540e+25,2.243878648803495340e+25,2.154386420544859083e+25
2.121212121212120993e-03,2.514672428808719874e+25,2.510689436552201721e+25,2.499728065560664785e+25,2.477797351646738205e+25,2.441939561923526040e+25,2.390900262077794601e+25,2.325139187577903576e+25,2.246420826388002321e+25,2.157269991764081376e+25
2.727272727272727487e-03,2.514618888119824850e+25,2.510418107258185701e+25,2.498978910135528799e+25,2.476294354222926445e+25,2.439476420567081276e+25,2.387387592266986356e+25,2.320606255766707000e+25,2.240987847455366551e+25,2.151110651369442280e+25
2.424242424242424240e-03,2.514647601197841068e+25,2.510563351431854153e+25,2.499379321227410649e+25,2.477096650783328517e+25,2.440789844741858356e+25,2.389259027893866127e+25,2.323019541868423111e+25,2.243878648803496199e+25,2.154386420544858224e+25
3.030303030303030300e-03,2.514586061090745454e+25,2.510252780920049453e+25,2.498524816841668926e+25,2.475387294424624032e+25,2.437995266097393976e+25,2.385281564546671928e+25,2.317895062745547267e+25,2.237744654247038408e+25,2.147439633204914286e+25
2.727272727272727487e-03,2.514618888119827856e+25,2.510418107258185701e+25,2.498978910135528799e+25,2.476294354222928163e+25,2.439476420567082565e+25,2.387387592266988074e+25,2.320606255766707859e+25,2.240987847455369128e+25,2.151110651369443139e+25
3.333333333333333114e-03,2.514548858109085630e+25,2.510066320911889017e+25,2.498014759077557573e+25,2.474371903291972019e+25,2.436341870761628851e+25,2.382936044164119295e+25,2.314881221656456425e+25,2.234144901635932871e+25,2.143370010751315266e+25
3.030303030303030300e-03,2.514586061090745454e+25,2.510252780920049023e+25,2.498524816841668926e+25,2.475387294424623602e+25,2.437995266097395265e+25,2.385281564546672787e+25,2.317895062745548555e+25,2.237744654247038408e+25,2.147439633204915145e+25
3.636363636363636360e-03,2.514506981113209628e+25,2.509857539526743402e+25,2.497446175097845245e+25,2.473244197829111068e+25,2.434511224015970481e+25,2.380345611308903607e+25,2.311559510755426813e+25,2.230184018922075919e+25,2.138898121643835682e+25
3.333333333333333114e-03,2.514548858109082623e+25,2.510066320911887729e+25,2.498014759077557573e+25,2.474371903291969442e+25,2.436341870761628421e+25,2.382936044164117148e+25,2.314881221656455137e+25,2.234144901635932441e+25,2.143370010751316554e+25
3.939393939393939607e-03,2.514460093131637797e+25,2.509625104296922224e+25,2.496816210239277272e+25,2.471999765676782633e+25,2.432497803754926123e+25,2.377504320171813177e+25,2.307924225652103031e+25,2.225857033546549487e+25,2.134019999428742010e+25
3.636363636363636360e-03,2.514506981113207910e+25,2.509857539526742543e+25,2.497446175097845245e+25,2.473244197829109350e+25,2.434511224015969193e+25,2.380345611308902319e+25,2.311559510755426813e+25,2.230184018922077208e+25,2.138898121643836112e+25
4.242424242424241987e-03,2.514407815077471547e+25,2.509367528523001095e+25,2.496121702357172242e+25,2.470633749938333189e+25,2.430295564903974606e+25,2.374405693417076250e+25,2.303969179426993326e+25,2.221158575258517268e+25,2.128731379851098477e+25
3.939393939393939607e-03,2.514460093131638656e+25,2.509625104296921365e+25,2.496816210239274695e+25,2.471999765676780485e+25,2.432497803754926553e+25,2.377504320171812318e+25,2.307924225652102172e+25,2.225857033546549487e+25,2.134019999428741151e+25
