x,t=6.32e+00s,t=1.26e+01s,t=1.90e+01s,t=2.53e+01s
3.030303030303030300e-04,2.235720596735532801e+25,2.235433716852283422e+25,2.234419559435792186e+25,2.231864653766188702e+25
0.000000000000000000e+00,2.235720641516565643e+25,2.235434014992169610e+25,2.234420613495645514e+25,2.231867309405549125e+25
6.060606060606060601e-04,2.235720122042608942e+25,2.235430557755645380e+25,2.234408394270218171e+25,2.231836531772190636e+25
3.030303030303030300e-04,2.235720596735533660e+25,2.235433716852282992e+25,2.234419559435793045e+25,2.231864653766189561e+25
9.090909090909090901e-04,2.235719369037131448e+25,2.235425553246101816e+25,2.234390726764309819e+25,2.231792075200745136e+25
6.060606060606060601e-04,2.235720122042608942e+25,2.235430557755645380e+25,2.234408394270218600e+25,2.231836531772191924e+25
1.212121212121212120e-03,2.235718309075670074e+25,2.235418522675345273e+25,2.234365947639026049e+25,2.231729812423578866e+25
9.090909090909090901e-04,2.235719369037131877e+25,2.235425553246102245e+25,2.234390726764311108e+25,2.231792075200746424e+25
1.515151515151515150e-03,2.235716926235383472e+25,2.235409374364176377e+25,2.234333774459340835e+25,2.231649121437916216e+25
1.212121212121212120e-03,2.235718309075670074e+25,2.235418522675344843e+25,2.234365947639026908e+25,2.231729812423580154e+25
1.818181818181818180e-03,2.235715202378587814e+25,2.235398006679748915e+25,2.234293903242585533e+25,2.231549354644245653e+25
1.515151515151515150e-03,2.235716926235383472e+25,2.235409374364177236e+25,2.234333774459343412e+25,2.231649121437917504e+25
2.121212121212120993e-03,2.235713115479556507e+25,2.235384297437019057e+25,2.234245972327413171e+25,2.231429750198450284e+25
1.818181818181818180e-03,2.235715202378587385e+25,2.235398006679751062e+25,2.234293903242586392e+25,2.231549354644246512e+25
2.424242424242424240e-03,2.235710638993340813e+25,2.235368100381478523e+25,2.234189551620275373e+25,2.231289407885921283e+25
2.121212121212120993e-03,2.235713115479554359e+25,2.235384297437017768e+25,2.234245972327411453e+25,2.231429750198448996e+25
2.727272727272727487e-03,2.235707741368066010e+25,2.235349242788954631e+25,2.234124136171946148e+25,2.231127276549580012e+25
2.424242424242424240e-03,2.235710638993340813e+25,2.235368100381478523e+25,2.234189551620273655e+25,2.231289407885920424e+25
3.030303030303030300e-03,2.235704385540111673e+25,2.235327523133656088e+25,2.234049140415694843e+25,2.230942143882952246e+25
2.727272727272727487e-03,2.235707741368066869e+25,2.235349242788955920e+25,2.234124136171947866e+25,2.231127276549580012e+25
3.333333333333333114e-03,2.235700528365837246e+25,2.235302708539822430e+25,2.233963892107041335e+25,2.230732626232325809e+25
3.030303030303030300e-03,2.235704385540112102e+25,2.235327523133657806e+25,2.234049140415697420e+25,2.230942143882951817e+25
3.636363636363636360e-03,2.235696119968614302e+25,2.235274531904408611e+25,2.233867625622855857e+25,2.230497157619583825e+25
3.333333333333333114e-03,2.235700528365837246e+25,2.235302708539822000e+25,2.233963892107040047e+25,2.230732626232326239e+25
3.939393939393939607e-03,2.235691102986094438e+25,2.235242688625256653e+25,2.233759474452761449e+25,2.230233977650003899e+25
3.636363636363636360e-03,2.235696119968613443e+25,2.235274531904409899e+25,2.233867625622856716e+25,2.230497157619586402e+25
4.242424242424241987e-03,2.235685411703727544e+25,2.235206832881635506e+25,2.233638462770694866e+25,2.229941118120540210e+25
3.939393939393939607e-03,2.235691102986094868e+25,2.235242688625257083e+25,2.233759474452760590e+25,2.230233977650004758e+25
4.545454545454545234e-03,2.235678971059556456e+25,2.235166573415438543e+25,2.233503495990934054e+25,2.229616388198544638e+25
4.242424242424241987e-03,2.235685411703728403e+25,2.235206832881635076e+25,2.233638462770695296e+25,2.229941118120541069e+25
4.848484848484848481e-03,2.235671695503669928e+25,2.235121468757987559e+25,2.233353350214558200e+25,2.229257358060136520e+25
4.545454545454545234e-03,2.235678971059557744e+25,2.235166573415438973e+25,2.233503495990933624e+25,2.229616388198546356e+25
5.151515151515151728e-03,2.235663487693473169e+25,2.235071021842059425e+25,2.233186660468053456e+25,2.228861340882398638e+25
4.848484848484848481e-03,2.235671695503671216e+25,2.235121468757987988e+25,2.233353350214557771e+25,2.229257358060136090e+25
5.454545454545454974e-03,2.235654237003274495e+25,2.235014673931888701e+25,2.233001907628353160e+25,2.228425373082520020e+25
5.151515151515151728e-03,2.235663487693474887e+25,2.235071021842059855e+25,2.233186660468053885e+25,2.228861340882397349e+25
5.757575757575757354e-03,2.235643817823652218e+25,2.234951797796083900e+25,2.232797403919489627e+25,2.227946192692946133e+25
5.454545454545454974e-03,2.235654237003275354e+25,2.235014673931889560e+25,2.233001907628353590e+25,2.228425373082519161e+25
6.060606060606060601e-03,2.235632087622551369e+25,2.234881690039409627e+25,2.232571276855682384e+25,2.227420215756379499e+25
5.757575757575757354e-03,2.235643817823651788e+25,2.234951797796083900e+25,2.232797403919490056e+25,2.227946192692946133e+25
6.363636363636363848e-03,2.235618884736079217e+25,2.234803562499528998e+25,2.232321451494372675e+25,2.226843510618610284e+25
6.060606060606060601e-03,2.235632087622551369e+25,2.234881690039408338e+25,2.232571276855681955e+25,2.227420215756379499e+25
6.666666666666666227e-03,2.235604025852418512e+25,2.234716532603753236e+25,2.232045630850552827e+25,2.226211769991282187e+25
6.363636363636363848e-03,2.235618884736078358e+25,2.234803562499530287e+25,2.232321451494373105e+25,2.226843510618610284e+25
6.969696969696969474e-03,2.235587303147077851e+25,2.234619612568583609e+25,2.231741274310728769e+25,2.225520280650849210e+25
6.666666666666666227e-03,2.235604025852418082e+25,2.234716532603753665e+25,2.232045630850552827e+25,2.226211769991282617e+25
7.272727272727272721e-03,2.235568481021821801e+25,2.234511697311380383e+25,2.231405573871090780e+25,2.224763890634649239e+25
6.969696969696969474e-03,2.235587303147078710e+25,2.234619612568581891e+25,2.231741274310726622e+25,2.225520280650849210e+25
7.575757575757575968e-03,2.235547292392854069e+25,2.234391550928506974e+25,2.231035428009950961e+25,2.223936973790169262e+25
7.272727272727272721e-03,2.235568481021822660e+25,2.234511697311379953e+25,2.231405573871092069e+25,2.224763890634648810e+25
7.878787878787879215e-03,2.235523434466187174e+25,2.234257791577786808e+25,2.230627412989148431e+25,2.223033391529576634e+25
7.575757575757575968e-03,2.235547292392852351e+25,2.234391550928506544e+25,2.231035428009950961e+25,2.223936973790168832e+25
8.181818181818182462e-03,2.235496563929352681e+25,2.234108874584899288e+25,2.230177751363205664e+25,2.222046451638518265e+25
7.878787878787879215e-03,2.235523434466185456e+25,2.234257791577785949e+25,2.230627412989146713e+25,2.223033391529575346e+25
8.484848484848483974e-03,2.235466291478623738e+25,2.233943073573226233e+25,2.229682277458302500e+25,2.220968863986436326e+25
8.181818181818182462e-03,2.235496563929353970e+25,2.234108874584900147e+25,2.230177751363207382e+25,2.222046451638519983e+25
8.787878787878787221e-03,2.235432175589548550e+25,2.233758459394512281e+25,2.229136399565869470e+25,2.219792692985312400e+25
8.484848484848483974e-03,2.235466291478625026e+25,2.233943073573225374e+25,2.229682277458302929e+25,2.220968863986437615e+25
9.090909090909090468e-03,2.235393715425528163e+25,2.233552876613286720e+25,2.228535058577838091e+25,2.218509306645290427e+25
8.787878787878787221e-03,2.235432175589549409e+25,2.233758459394512711e+25,2.229136399565868611e+25,2.219792692985312829e+25
9.393939393939393714e-03,2.235350342764439305e+25,2.233323917271204371e+25,2.227872682772482468e+25,2.217109322079301006e+25
9.090909090909090468e-03,2.235393715425527734e+25,2.233552876613286720e+25,2.228535058577838520e+25,2.218509306645290427e+25
