x,t=6.32e+02s,t=1.26e+03s,t=1.90e+03s,t=2.53e+03s
3.030303030303030300e-04,6.427799834509739156e+24,1.448746535462945176e+24,2.942091397633783911e+23,5.769408498085764740e+22
0.000000000000000000e+00,6.427976947673240110e+24,1.448807223345619808e+24,2.942232121621957449e+23,5.769696782343628390e+22
6.060606060606060601e-04,6.425927035081953213e+24,1.448104874530985342e+24,2.940603564717618045e+23,5.766360604631962013e+22
3.030303030303030300e-04,6.427799834509737009e+24,1.448746535462945176e+24,2.942091397633784918e+23,5.769408498085762223e+22
9.090909090909090901e-04,6.422981249619534117e+24,1.447095879276676457e+24,2.938264310848722116e+23,5.761568808195419485e+22
6.060606060606060601e-04,6.425927035081952139e+24,1.448104874530985342e+24,2.940603564717618045e+23,5.766360604631963691e+22
1.212121212121212120e-03,6.418885975559961664e+24,1.445693761737142538e+24,2.935014309242754312e+23,5.754911966247027055e+22
9.090909090909090901e-04,6.422981249619531970e+24,1.447095879276677531e+24,2.938264310848723123e+23,5.761568808195422840e+22
1.515151515151515150e-03,6.413629924930942965e+24,1.443895243342937319e+24,2.930846608116626227e+23,5.746376380250988950e+22
1.212121212121212120e-03,6.418885975559958442e+24,1.445693761737143343e+24,2.935014309242754312e+23,5.754911966247028733e+22
1.818181818181818180e-03,6.407209140384290126e+24,1.441699726110665543e+24,2.925760656042023442e+23,5.735961616332509885e+22
1.515151515151515150e-03,6.413629924930941891e+24,1.443895243342937319e+24,2.930846608116627234e+23,5.746376380250989789e+22
2.121212121212120993e-03,6.399621395249532009e+24,1.439107374157974431e+24,2.919757852404528982e+23,5.723671388566346688e+22
1.818181818181818180e-03,6.407209140384293347e+24,1.441699726110666080e+24,2.925760656042024449e+23,5.735961616332512402e+22
2.424242424242424240e-03,6.390864964291707288e+24,1.436118692797137975e+24,2.912840570129608186e+23,5.709511555042877479e+22
2.121212121212120993e-03,6.399621395249534157e+24,1.439107374157973894e+24,2.919757852404529318e+23,5.723671388566349205e+22
2.727272727272727487e-03,6.380938240443299513e+24,1.432734397567566380e+24,2.905011850503665547e+23,5.693489490442022866e+22
2.424242424242424240e-03,6.390864964291705140e+24,1.436118692797136901e+24,2.912840570129609193e+23,5.709511555042876640e+22
3.030303030303030300e-03,6.369839587534190475e+24,1.428955364198975353e+24,2.896275285437965140e+23,5.675613842269091240e+22
2.727272727272727487e-03,6.380938240443299513e+24,1.432734397567565038e+24,2.905011850503666218e+23,5.693489490442024544e+22
3.333333333333333114e-03,6.357567275035055610e+24,1.424782606739134422e+24,2.886634964815848753e+23,5.655894420088468118e+22
3.030303030303030300e-03,6.369839587534192622e+24,1.428955364198976158e+24,2.896275285437966818e+23,5.675613842269097112e+22
3.636363636363636360e-03,6.344119445920095115e+24,1.420217267090735239e+24,2.876095450067016111e+23,5.634342138156349496e+22
3.333333333333333114e-03,6.357567275035050241e+24,1.424782606739133885e+24,2.886634964815847411e+23,5.655894420088466440e+22
3.939393939393939607e-03,6.329494099462241068e+24,1.415260609724814048e+24,2.864661759514206777e+23,5.610968981843117028e+22
3.636363636363636360e-03,6.344119445920089746e+24,1.420217267090734166e+24,2.876095450067012755e+23,5.634342138156342785e+22
4.242424242424241987e-03,6.313689081354476023e+24,1.409914018964013335e+24,2.852339359445699925e+23,5.585787985461607032e+22
3.939393939393939607e-03,6.329494099462238920e+24,1.415260609724812437e+24,2.864661759514206106e+23,5.610968981843112834e+22
4.545454545454545234e-03,6.296702077673148028e+24,1.404178997641789680e+24,2.839134158143131107e+23,5.558813215829323573e+22
4.242424242424241987e-03,6.313689081354476023e+24,1.409914018964012798e+24,2.852339359445700596e+23,5.585787985461602838e+22
4.848484848484848481e-03,6.278530610966469819e+24,1.398057166549286660e+24,2.825052501498625094e+23,5.530059758770281513e+22
