x,t=1.00e+00s,t=2.00e+00s,t=3.00e+00s,t=4.00e+00s,t=5.00e+00s,t=6.00e+00s,t=7.00e+00s,t=8.00e+00s,t=9.00e+00s
3.030303030303030300e-04,2.795159049893366009e+25,2.795159122884211343e+25,2.795159196001488918e+25,2.795159268986546784e+25,2.795159341138916577e+25,2.795159410254013917e+25,2.795159470186165807e+25,2.795159505776214737e+25,2.795159483368061247e+25
0.000000000000000000e+00,2.795159049458785756e+25,2.795159122448433224e+25,2.795159195564958321e+25,2.795159268550795293e+25,2.795159340708126632e+25,2.795159409841302349e+25,2.795159469828131320e+25,2.795159505563153005e+25,2.795159483500470365e+25
6.060606060606060601e-04,2.795159054466312178e+25,2.795159127492393854e+25,2.795159200617354266e+25,2.795159273593896930e+25,2.795159345693248358e+25,2.795159414615167948e+25,2.795159473963609300e+25,2.795159508007105361e+25,2.795159481915701306e+25
3.030303030303030300e-04,2.795159049893365580e+25,2.795159122884210484e+25,2.795159196001488918e+25,2.795159268986543777e+25,2.795159341138917865e+25,2.795159410254013488e+25,2.795159470186163659e+25,2.795159505776213878e+25,2.795159483368060818e+25
9.090909090909090901e-04,2.795159061674991301e+25,2.795159134742521558e+25,2.795159207877636562e+25,2.795159280839555291e+25,2.795159352852065916e+25,2.795159421459306138e+25,2.795159479859458655e+25,2.795159511396058325e+25,2.795159479346479357e+25
6.060606060606060601e-04,2.795159054466310890e+25,2.795159127492395142e+25,2.795159200617353407e+25,2.795159273593896500e+25,2.795159345693247928e+25,2.795159414615167948e+25,2.795159473963606294e+25,2.795159508007104502e+25,2.795159481915700447e+25
1.212121212121212120e-03,2.795159071717061637e+25,2.795159144824375747e+25,2.795159217970501329e+25,2.795159290909611205e+25,2.795159362794145978e+25,2.795159430941033136e+25,2.795159487959286797e+25,2.795159515854471031e+25,2.795159475175850935e+25
9.090909090909090901e-04,2.795159061674991730e+25,2.795159134742521988e+25,2.795159207877634414e+25,2.795159280839554003e+25,2.795159352852065916e+25,2.795159421459304420e+25,2.795159479859457366e+25,2.795159511396057896e+25,2.795159479346477639e+25
1.515151515151515150e-03,2.795159084622426467e+25,2.795159157766630910e+25,2.795159230922997842e+25,2.795159303828686859e+25,2.795159375536204985e+25,2.795159443051953141e+25,2.795159498184872496e+25,2.795159521132536584e+25,2.795159468774355940e+25
1.212121212121212120e-03,2.795159071717061637e+25,2.795159144824375747e+25,2.795159217970499611e+25,2.795159290909609057e+25,2.795159362794144260e+25,2.795159430941031848e+25,2.795159487959285938e+25,2.795159515854469313e+25,2.795159475175849217e+25
1.818181818181818180e-03,2.795159100401660430e+25,2.795159173579220019e+25,2.795159246743582461e+25,2.795159319602116604e+25,2.795159391072979025e+25,2.795159457753212160e+25,2.795159510404743796e+25,2.795159526872987150e+25,2.795159459288954168e+25
1.515151515151515150e-03,2.795159084622426038e+25,2.795159157766631769e+25,2.795159230922996553e+25,2.795159303828685141e+25,2.795159375536204985e+25,2.795159443051951423e+25,2.795159498184870349e+25,2.795159521132537014e+25,2.795159468774352934e+25
2.121212121212120993e-03,2.795159119060051490e+25,2.795159192267112350e+25,2.795159265435818293e+25,2.795159338229467935e+25,2.795159409389922761e+25,2.795159474985691258e+25,2.795159524437592087e+25,2.795159532598569397e+25,2.795159445596727277e+25
1.818181818181818180e-03,2.795159100401662578e+25,2.795159173579219160e+25,2.795159246743584179e+25,2.795159319602115315e+25,2.795159391072979884e+25,2.795159457753211301e+25,2.795159510404742937e+25,2.795159526872986291e+25,2.795159459288951591e+25
2.424242424242424240e-03,2.795159140600742704e+25,2.795159213833325118e+25,2.795159287001285025e+25,2.795159359707211249e+25,2.795159430464975955e+25,2.795159494668995947e+25,2.795159540044213462e+25,2.795159537688025327e+25,2.795159426248413716e+25
2.121212121212120993e-03,2.795159119060050202e+25,2.795159192267110203e+25,2.795159265435817434e+25,2.795159338229464499e+25,2.795159409389920614e+25,2.795159474985690828e+25,2.795159524437592517e+25,2.795159532598565532e+25,2.795159445596725559e+25
2.727272727272727487e-03,2.795159165025769027e+25,2.795159238279882112e+25,2.795159311440413444e+25,2.795159384029228364e+25,2.795159454267879271e+25,2.795159516697250130e+25,2.795159556914398754e+25,2.795159541343292034e+25,2.795159399396263149e+25
2.424242424242424240e-03,2.795159140600740556e+25,2.795159213833324689e+25,2.795159287001283307e+25,2.795159359707208672e+25,2.795159430464974237e+25,2.795159494668993799e+25,2.795159540044212174e+25,2.795159537688023180e+25,2.795159426248413286e+25
3.030303030303030300e-03,2.795159192336517733e+25,2.795159265608163734e+25,2.795159338752715640e+25,2.795159411186588327e+25,2.795159480758385861e+25,2.795159540932762739e+25,2.795159574649266189e+25,2.795159542546907656e+25,2.795159362702099245e+25
2.727272727272727487e-03,2.795159165025767738e+25,2.795159238279882971e+25,2.795159311440413873e+25,2.795159384029227505e+25,2.795159454267878841e+25,2.795159516697251418e+25,2.795159556914398754e+25,2.795159541343292893e+25,2.795159399396262720e+25
3.333333333333333114e-03,2.795159222533938011e+25,2.795159295819074504e+25,2.795159368936787589e+25,2.795159441166967157e+25,2.795159509883636702e+25,2.795159567197521552e+25,2.795159592738240363e+25,2.795159540007386265e+25,2.795159313220932938e+25
3.030303030303030300e-03,2.795159192336516874e+25,2.795159265608165452e+25,2.795159338752716928e+25,2.795159411186587897e+25,2.795159480758385861e+25,2.795159540932764457e+25,2.795159574649266189e+25,2.795159542546908085e+25,2.795159362702099675e+25
3.636363636363636360e-03,2.795159255618683125e+25,2.795159328913129389e+25,2.795159401990182878e+25,2.795159473953729158e+25,2.795159541574579888e+25,2.795159595262011250e+25,2.795159610529361561e+25,2.795159532089724436e+25,2.795159247254197379e+25
3.333333333333333114e-03,2.795159222533935005e+25,2.795159295819074075e+25,2.795159368936786301e+25,2.795159441166965868e+25,2.795159509883634125e+25,2.795159567197519834e+25,2.795159592738237356e+25,2.795159540007383259e+25,2.795159313220931650e+25
3.939393939393939607e-03,2.795159291591176129e+25,2.795159364890461104e+25,2.795159437909190654e+25,2.795159509524698125e+25,2.795159575741255181e+25,2.795159624830767286e+25,2.795159627191292908e+25,2.795159516727202802e+25,2.795159160165290259e+25
3.636363636363636360e-03,2.795159255618680118e+25,2.795159328913127242e+25,2.795159401990182448e+25,2.795159473953728299e+25,2.795159541574577311e+25,2.795159595262009102e+25,2.795159610529361991e+25,2.795159532089722718e+25,2.795159247254195232e+25
