x,t=3.56e+00s,t=7.11e+00s,t=1.07e+01s,t=1.42e+01s
3.030303030303030300e-04,1.380315353044020659e+24,1.380309813361609997e+24,1.380276089006011758e+24,1.380165436433664257e+24
0.000000000000000000e+00,1.380315350273454831e+24,1.380309822324445729e+24,1.380276143597634881e+24,1.380165615580751203e+24
6.060606060606060601e-04,1.380315382214972798e+24,1.380309718111004119e+24,1.380275509902492794e+24,1.380163537087838531e+24
3.030303030303030300e-04,1.380315353044020391e+24,1.380309813361609460e+24,1.380276089006011221e+24,1.380165436433663988e+24
9.090909090909090901e-04,1.380315427792283127e+24,1.380309565702734021e+24,1.380274588995429681e+24,1.380160522275894711e+24
6.060606060606060601e-04,1.380315382214972798e+24,1.380309718111003582e+24,1.380275509902492794e+24,1.380163537087837726e+24
1.212121212121212120e-03,1.380315490482524233e+24,1.380309348462408795e+24,1.380273288003872325e+24,1.380156274665206080e+24
9.090909090909090901e-04,1.380315427792282859e+24,1.380309565702732947e+24,1.380274588995429144e+24,1.380160522275893637e+24
1.515151515151515150e-03,1.380315569732866984e+24,1.380309060447467129e+24,1.380271582748095715e+24,1.380150726722575265e+24
1.212121212121212120e-03,1.380315490482523696e+24,1.380309348462407184e+24,1.380273288003871788e+24,1.380156274665205275e+24
1.818181818181818180e-03,1.380315664630752163e+24,1.380308694367087417e+24,1.380269444784655312e+24,1.380143800886202284e+24
1.515151515151515150e-03,1.380315569732866716e+24,1.380309060447466055e+24,1.380271582748095447e+24,1.380150726722575265e+24
2.121212121212120993e-03,1.380315773969471931e+24,1.380308241156131294e+24,1.380266839210059419e+24,1.380135402817579842e+24
1.818181818181818180e-03,1.380315664630752699e+24,1.380308694367086880e+24,1.380269444784656386e+24,1.380143800886202015e+24
2.424242424242424240e-03,1.380315896238952833e+24,1.380307689733594412e+24,1.380263723694576292e+24,1.380125418813241078e+24
2.121212121212120993e-03,1.380315773969471126e+24,1.380308241156130220e+24,1.380266839210058077e+24,1.380135402817579305e+24
2.727272727272727487e-03,1.380316029596408815e+24,1.380307026762533333e+24,1.380260047645908178e+24,1.380113713782264028e+24
2.424242424242424240e-03,1.380315896238952296e+24,1.380307689733594680e+24,1.380263723694574950e+24,1.380125418813240272e+24
