x,t=1.00e+08s,t=2.00e+08s,t=3.00e+08s,t=4.00e+08s,t=5.00e+08s,t=6.00e+08s,t=7.00e+08s,t=8.00e+08s,t=9.00e+08s
3.030303030303030300e-04,5.318535136630876160e+18,1.434540721302630273e+13,1.434540721302630273e+13,1.434540721302630273e+13,1.434540721302630273e+13,1.434540721302630273e+13,1.434540721302630273e+13,1.434540721302630273e+13,1.434540721302630273e+13
0.000000000000000000e+00,5.318700006802463744e+18,1.434604249386231445e+13,1.434604249386231445e+13,1.434604249386231445e+13,1.434604249386231445e+13,1.434604249386231445e+13,1.434604249386231445e+13,1.434604249386231445e+13,1.434604249386231445e+13
6.060606060606060601e-04,5.316791844586346496e+18,1.433869042112391211e+13,1.433869042112391211e+13,1.433869042112391211e+13,1.433869042112391211e+13,1.433869042112391211e+13,1.433869042112391211e+13,1.433869042112391211e+13,1.433869042112391211e+13
3.030303030303030300e-04,5.318535136630875136e+18,1.434540721302629688e+13,1.434540721302629688e+13,1.434540721302629688e+13,1.434540721302629688e+13,1.434540721302629688e+13,1.434540721302629688e+13,1.434540721302629688e+13,1.434540721302629688e+13
9.090909090909090901e-04,5.314050038514030592e+18,1.432812909853709766e+13,1.432812909853709766e+13,1.432812909853709766e+13,1.432812909853709766e+13,1.432812909853709766e+13,1.432812909853709766e+13,1.432812909853709766e+13,1.432812909853709766e+13
6.060606060606060601e-04,5.316791844586343424e+18,1.433869042112390625e+13,1.433869042112390625e+13,1.433869042112390625e+13,1.433869042112390625e+13,1.433869042112390625e+13,1.433869042112390625e+13,1.433869042112390625e+13,1.433869042112390625e+13
1.212121212121212120e-03,5.310238900072733696e+18,1.431345424907474414e+13,1.431345424907474414e+13,1.431345424907474414e+13,1.431345424907474414e+13,1.431345424907474414e+13,1.431345424907474414e+13,1.431345424907474414e+13,1.431345424907474414e+13
9.090909090909090901e-04,5.314050038514027520e+18,1.432812909853710156e+13,1.432812909853710156e+13,1.432812909853710156e+13,1.432812909853710156e+13,1.432812909853710156e+13,1.432812909853710156e+13,1.432812909853710156e+13,1.432812909853710156e+13
1.515151515151515150e-03,5.305348469741301760e+18,1.429463286680350000e+13,1.429463286680350000e+13,1.429463286680350000e+13,1.429463286680350000e+13,1.429463286680350000e+13,1.429463286680350000e+13,1.429463286680350000e+13,1.429463286680350000e+13
1.212121212121212120e-03,5.310238900072730624e+18,1.431345424907473828e+13,1.431345424907473828e+13,1.431345424907473828e+13,1.431345424907473828e+13,1.431345424907473828e+13,1.431345424907473828e+13,1.431345424907473828e+13,1.431345424907473828e+13
1.818181818181818180e-03,5.299375769172974592e+18,1.427166038416997852e+13,1.427166038416997852e+13,1.427166038416997852e+13,1.427166038416997852e+13,1.427166038416997852e+13,1.427166038416997852e+13,1.427166038416997852e+13,1.427166038416997852e+13
1.515151515151515150e-03,5.305348469741296640e+18,1.429463286680349023e+13,1.429463286680349023e+13,1.429463286680349023e+13,1.429463286680349023e+13,1.429463286680349023e+13,1.429463286680349023e+13,1.429463286680349023e+13,1.429463286680349023e+13
