x,t=2.00e+02s,t=4.00e+02s,t=6.00e+02s,t=8.00e+02s
3.030303030303030300e-04,2.046427210643438154e+24,1.241370165941778818e+24,6.828285691360584757e+23,3.588075159474325516e+23
0.000000000000000000e+00,2.046465655522250990e+24,1.241412427516443214e+24,6.828578903956447686e+23,3.588245259595376251e+23
6.060606060606060601e-04,2.046020654387806394e+24,1.240923298832915565e+24,6.825185514605234084e+23,3.586276731235052154e+23
3.030303030303030300e-04,2.046427210643436544e+24,1.241370165941776134e+24,6.828285691360575362e+23,3.588075159474320819e+23
9.090909090909090901e-04,2.045380958428845851e+24,1.240220450278132857e+24,6.820310558261184037e+23,3.583449087090137686e+23
6.060606060606060601e-04,2.046020654387803709e+24,1.240923298832915297e+24,6.825185514605223346e+23,3.586276731235048798e+23
1.212121212121212120e-03,2.044491211047067709e+24,1.239243428077392758e+24,6.813536216475189662e+23,3.579520436284820554e+23
9.090909090909090901e-04,2.045380958428843435e+24,1.240220450278132052e+24,6.820310558261180010e+23,3.583449087090134331e+23
1.515151515151515150e-03,2.043348538494537634e+24,1.237989625435249552e+24,6.804846633690864015e+23,3.574482266256282338e+23
1.212121212121212120e-03,2.044491211047065562e+24,1.239243428077391684e+24,6.813536216475185636e+23,3.579520436284818540e+23
1.818181818181818180e-03,2.041951536534666021e+24,1.236458210184789622e+24,6.794238902879623452e+23,3.568333770263980231e+23
1.515151515151515150e-03,2.043348538494535487e+24,1.237989625435249015e+24,6.804846633690857304e+23,3.574482266256282338e+23
2.121212121212120993e-03,2.040299054342794516e+24,1.234648789082479006e+24,6.781713797640026503e+23,3.561076469521930718e+23
1.818181818181818180e-03,2.041951536534665753e+24,1.236458210184789353e+24,6.794238902879618083e+23,3.568333770263980231e+23
2.424242424242424240e-03,2.038389927091162501e+24,1.232561115110967840e+24,6.767273740098701456e+23,3.552713032568012339e+23
2.121212121212120993e-03,2.040299054342793173e+24,1.234648789082477932e+24,6.781713797640021135e+23,3.561076469521924678e+23
2.727272727272727487e-03,2.036222892047051688e+24,1.230194996758926043e+24,6.750922169913544309e+23,3.543246907140412182e+23
