x,t=6.32e+00s,t=1.26e+01s,t=1.90e+01s,t=2.53e+01s
3.030303030303030300e-04,2.375583707500951079e+25,2.375384124414044006e+25,2.374653415203320779e+25,2.372751686883486960e+25
0.000000000000000000e+00,2.375583739546257413e+25,2.375384346510250452e+25,2.374654228414789976e+25,2.372753803504898842e+25
6.060606060606060601e-04,2.375583367745570693e+25,2.375381770689478803e+25,2.374644799924523620e+25,2.372729269709696644e+25
3.030303030303030300e-04,2.375583707500951079e+25,2.375384124414044006e+25,2.374653415203320349e+25,2.372751686883486960e+25
9.090909090909090901e-04,2.375582828447478185e+25,2.375378039915083439e+25,2.374631160226660992e+25,2.372693814659706437e+25
6.060606060606060601e-04,2.375583367745569834e+25,2.375381770689476656e+25,2.374644799924523190e+25,2.372729269709696644e+25
1.212121212121212120e-03,2.375582068597876674e+25,2.375372794409735287e+25,2.374612015616848262e+25,2.372644123918543949e+25
9.090909090909090901e-04,2.375582828447477755e+25,2.375378039915083869e+25,2.374631160226660133e+25,2.372693814659706007e+25
1.515151515151515150e-03,2.375581076072317866e+25,2.375365961463986251e+25,2.374587133446842271e+25,2.372579666679121845e+25
1.212121212121212120e-03,2.375582068597878392e+25,2.375372794409736146e+25,2.374612015616849551e+25,2.372644123918543949e+25
1.818181818181818180e-03,2.375579836916062177e+25,2.375357459502028689e+25,2.374556259698138959e+25,2.372499880671134785e+25
1.515151515151515150e-03,2.375581076072318296e+25,2.375365961463986681e+25,2.374587133446843559e+25,2.372579666679122274e+25
2.121212121212120993e-03,2.375578334118179952e+25,2.375347190038881241e+25,2.374519090697023000e+25,2.372404100705295098e+25
1.818181818181818180e-03,2.375579836916063036e+25,2.375357459502030836e+25,2.374556259698141536e+25,2.372499880671135644e+25
2.424242424242424240e-03,2.375576547123709763e+25,2.375335034874806244e+25,2.374475264307079803e+25,2.372291538452590246e+25
2.121212121212120993e-03,2.375578334118178664e+25,2.375347190038878664e+25,2.374519090697021712e+25,2.372404100705291662e+25
2.727272727272727487e-03,2.375574451439825792e+25,2.375320854079499040e+25,2.374424354350465925e+25,2.372161271223557931e+25
2.424242424242424240e-03,2.375576547123708045e+25,2.375335034874804526e+25,2.374475264307079803e+25,2.372291538452587240e+25
3.030303030303030300e-03,2.375572018220058371e+25,2.375304483980320144e+25,2.374365865418061285e+25,2.372012232409684759e+25
2.727272727272727487e-03,2.375574451439825363e+25,2.375320854079501188e+25,2.374424354350468072e+25,2.372161271223558790e+25
3.333333333333333114e-03,2.375569213792058890e+25,2.375285734937024582e+25,2.374299227316374956e+25,2.371843201692709606e+25
3.030303030303030300e-03,2.375572018220058371e+25,2.375304483980321433e+25,2.374365865418062144e+25,2.372012232409686047e+25
3.636363636363636360e-03,2.375565999112110607e+25,2.375264388812854653e+25,2.374223788873791721e+25,2.371652794374383820e+25
3.333333333333333114e-03,2.375569213792056743e+25,2.375285734937022435e+25,2.374299227316372808e+25,2.371843201692708317e+25
3.939393939393939607e-03,2.375562329133718200e+25,2.375240196085550365e+25,2.374138810961656953e+25,2.371439449537278764e+25
3.636363636363636360e-03,2.375565999112107171e+25,2.375264388812852076e+25,2.374223788873789573e+25,2.371652794374382531e+25
4.242424242424241987e-03,2.375558152078045297e+25,2.375212872550045058e+25,2.374043458625918431e+25,2.371201416864845017e+25
3.939393939393939607e-03,2.375562329133716911e+25,2.375240196085548647e+25,2.374138810961654376e+25,2.371439449537277476e+25
4.545454545454545234e-03,2.375553408592826737e+25,2.375182095564101348e+25,2.373936792235036823e+25,2.370936741989323426e+25
4.242424242424241987e-03,2.375558152078045726e+25,2.375212872550043769e+25,2.374043458625918001e+25,2.371201416864844158e+25
4.848484848484848481e-03,2.375548030784769557e+25,2.375147499784233237e+25,2.373817757548578190e+25,2.370643250248270704e+25
4.545454545454545234e-03,2.375553408592826307e+25,2.375182095564098771e+25,2.373936792235036393e+25,2.370936741989321278e+25
5.151515151515151728e-03,2.375541941108391701e+25,2.375108672333445275e+25,2.373685174604493343e+25,2.370318528731073440e+25
4.848484848484848481e-03,2.375548030784768269e+25,2.375147499784230660e+25,2.373817757548577761e+25,2.370643250248269845e+25
5.454545454545454974e-03,2.375535051091626619e+25,2.375065147335276369e+25,2.373537725314155785e+25,2.369959906492364046e+25
5.151515151515151728e-03,2.375541941108390842e+25,2.375108672333443557e+25,2.373685174604490766e+25,2.370318528731071723e+25
5.757575757575757354e-03,2.375527259875735395e+25,2.375016399740485225e+25,2.373373939643554834e+25,2.369564432802363921e+25
5.454545454545454974e-03,2.375535051091626190e+25,2.375065147335275510e+25,2.373537725314153208e+25,2.369959906492362328e+25
6.060606060606060601e-03,2.375518452543710198e+25,2.374961838363634481e+25,2.373192180247091057e+25,2.369128853296034989e+25
5.757575757575757354e-03,2.375527259875735825e+25,2.375016399740486943e+25,2.373373939643554405e+25,2.369564432802364351e+25
6.363636363636363848e-03,2.375508498207522623e+25,2.374900798036466345e+25,2.372990625407376899e+25,2.368649583874107909e+25
6.060606060606060601e-03,2.375518452543710198e+25,2.374961838363632763e+25,2.373192180247090198e+25,2.369128853296033701e+25
