x,t=1.12e+03s,t=2.25e+03s,t=3.37e+03s,t=4.50e+03s
3.030303030303030300e-04,1.332968120888518009e+24,1.834756916854534816e+23,2.277530410587565484e+22,2.736586008513608679e+21
0.000000000000000000e+00,1.333006786557417550e+24,1.834835705259802503e+23,2.277640558830835624e+22,2.736723359665575428e+21
6.060606060606060601e-04,1.332559274246278117e+24,1.833923883474959330e+23,2.276365850926173808e+22,2.735133862361260622e+21
3.030303030303030300e-04,1.332968120888518009e+24,1.834756916854534481e+23,2.277530410587565903e+22,2.736586008513609204e+21
9.090909090909090901e-04,1.331916214471174394e+24,1.832613996391691358e+23,2.274534892200125268e+22,2.732850861599006130e+21
6.060606060606060601e-04,1.332559274246278654e+24,1.833923883474959666e+23,2.276365850926174228e+22,2.735133862361262195e+21
1.212121212121212120e-03,1.331022280911431158e+24,1.830793828958420232e+23,2.271991136769791335e+22,2.729679310341843976e+21
9.090909090909090901e-04,1.331916214471174126e+24,1.832613996391692365e+23,2.274534892200126107e+22,2.732850861599007703e+21
1.515151515151515150e-03,1.329875065570579597e+24,1.828459197627891209e+23,2.268729197063536273e+22,2.725612711927917576e+21
1.212121212121212120e-03,1.331022280911431695e+24,1.830793828958420232e+23,2.271991136769792174e+22,2.729679310341844500e+21
1.818181818181818180e-03,1.328473776916072241e+24,1.825609419606535879e+23,2.264748710385851092e+22,2.720650897958074057e+21
1.515151515151515150e-03,1.329875065570580670e+24,1.828459197627891880e+23,2.268729197063537531e+22,2.725612711927917576e+21
2.121212121212120993e-03,1.326818017378902024e+24,1.822244822060767421e+23,2.260050856000063590e+22,2.714795684592546218e+21
1.818181818181818180e-03,1.328473776916073047e+24,1.825609419606535543e+23,2.264748710385852770e+22,2.720650897958075105e+21
2.424242424242424240e-03,1.324907515018478591e+24,1.818366195524276249e+23,2.254637589998727279e+22,2.708049917654701965e+21
2.121212121212120993e-03,1.326818017378901487e+24,1.822244822060766750e+23,2.260050856000062751e+22,2.714795684592544121e+21
2.727272727272727487e-03,1.322742039877640390e+24,1.813974623694579953e+23,2.248511406206488465e+22,2.700417173539694051e+21
2.424242424242424240e-03,1.324907515018477786e+24,1.818366195524274571e+23,2.254637589998727279e+22,2.708049917654699868e+21
3.030303030303030300e-03,1.320321371863556978e+24,1.809071418272527596e+23,2.241675243766130147e+22,2.691901642893322879e+21
2.727272727272727487e-03,1.322742039877641195e+24,1.813974623694580288e+23,2.248511406206488465e+22,2.700417173539694051e+21
3.333333333333333114e-03,1.317645286537813895e+24,1.803658090340391364e+23,2.234132445633674897e+22,2.682508077634055307e+21
