x,t=1.00e+01s,t=2.00e+01s,t=3.00e+01s,t=4.00e+01s,t=5.00e+01s,t=6.00e+01s,t=7.00e+01s,t=8.00e+01s,t=9.00e+01s
3.030303030303030300e-04,1.955167226181202581e+25,1.950779501387069705e+25,1.939092949941314694e+25,1.916437551200645181e+25,1.880494130960127531e+25,1.830770983592725621e+25,1.768398849377586440e+25,1.695581677171775615e+25,1.615010367347215420e+25
0.000000000000000000e+00,1.955167762593028103e+25,1.950782120172173037e+25,1.939099925457287645e+25,1.916451074601893991e+25,1.880515587189720431e+25,1.830800666649082988e+25,1.768436084557669042e+25,1.695625148901754367e+25,1.615058469188108835e+25
6.060606060606060601e-04,1.955161546225454290e+25,1.950751779734278609e+25,1.939019127209088122e+25,1.916294460000606332e+25,1.880267139432062958e+25,1.830456999495942469e+25,1.768005021403770992e+25,1.695121925465933647e+25,1.614501682315386141e+25
3.030303030303030300e-04,1.955167226181202151e+25,1.950779501387068417e+25,1.939092949941315982e+25,1.916437551200644537e+25,1.880494130960126243e+25,1.830770983592724762e+25,1.768398849377585581e+25,1.695581677171774971e+25,1.615010367347215420e+25
9.090909090909090901e-04,1.955152569237885131e+25,1.950708010437622582e+25,1.938902666515609086e+25,1.916068877760005172e+25,1.879909488625530619e+25,1.829962505341959416e+25,1.767385005788045142e+25,1.694398333589461592e+25,1.613701259793447618e+25
6.060606060606060601e-04,1.955161546225453861e+25,1.950751779734276891e+25,1.939019127209088122e+25,1.916294460000606761e+25,1.880267139432062314e+25,1.830456999495941825e+25,1.768005021403770348e+25,1.695121925465932573e+25,1.614501682315385712e+25
1.212121212121212120e-03,1.955140001076768632e+25,1.950646821971059825e+25,1.938740056549070556e+25,1.915754222827693678e+25,1.879411027285761991e+25,1.829273782664894030e+25,1.766521920534745366e+25,1.693391496185973170e+25,1.612587894959840194e+25
9.090909090909090901e-04,1.955152569237884702e+25,1.950708010437621293e+25,1.938902666515608656e+25,1.916068877760005172e+25,1.879909488625531908e+25,1.829962505341959846e+25,1.767385005788044498e+25,1.694398333589461162e+25,1.613701259793445256e+25
1.515151515151515150e-03,1.955123720380768688e+25,1.950567712621733015e+25,1.938530159973834731e+25,1.915348605746229967e+25,1.878769163514847160e+25,1.828387697828528586e+25,1.765412288426784408e+25,1.692097775360858130e+25,1.611157932657573602e+25
1.212121212121212120e-03,1.955140001076769062e+25,1.950646821971058966e+25,1.938740056549070556e+25,1.915754222827692819e+25,1.879411027285763709e+25,1.829273782664893171e+25,1.766521920534746010e+25,1.693391496185973170e+25,1.612587894959839120e+25
1.818181818181818180e-03,1.955103601789655039e+25,1.950470189699132003e+25,1.938271924796753045e+25,1.914850397967970354e+25,1.877981840342977367e+25,1.827301990248129735e+25,1.764053859531901939e+25,1.690515087811649332e+25,1.609409544035875375e+25
1.515151515151515150e-03,1.955123720380767829e+25,1.950567712621732585e+25,1.938530159973835161e+25,1.915348605746229967e+25,1.878769163514846086e+25,1.828387697828528586e+25,1.765412288426783764e+25,1.692097775360857701e+25,1.611157932657575105e+25
2.121212121212120993e-03,1.955079497995944177e+25,1.950353683911006338e+25,1.937964159680700594e+25,1.914257800292268499e+25,1.877046854787859559e+25,1.826014333276683368e+25,1.762444435029807959e+25,1.688641532614613093e+25,1.607341208474921836e+25
1.818181818181818180e-03,1.955103601789655039e+25,1.950470189699132003e+25,1.938271924796753475e+25,1.914850397967970998e+25,1.877981840342977367e+25,1.827301990248129305e+25,1.764053859531902154e+25,1.690515087811649117e+25,1.609409544035876664e+25
2.424242424242424240e-03,1.955051234812944594e+25,1.950217527768925110e+25,1.937605480591063022e+25,1.913568744350756336e+25,1.875961706109940672e+25,1.824522127750047675e+25,1.760581610417481670e+25,1.686475092488194980e+25,1.604951383297414957e+25
2.121212121212120993e-03,1.955079497995944607e+25,1.950353683911005909e+25,1.937964159680700165e+25,1.914257800292268284e+25,1.877046854787858700e+25,1.826014333276682509e+25,1.762444435029806885e+25,1.688641532614613308e+25,1.607341208474920333e+25
2.727272727272727487e-03,1.955018608557164050e+25,1.950060945825574484e+25,1.937194289814108741e+25,1.912780857823983634e+25,1.874723546051865306e+25,1.822822437258071393e+25,1.758462696886779413e+25,1.684013543250767209e+25,1.602238403885349058e+25
2.424242424242424240e-03,1.955051234812945024e+25,1.950217527768924251e+25,1.937605480591061733e+25,1.913568744350757195e+25,1.875961706109941961e+25,1.824522127750048534e+25,1.760581610417480597e+25,1.686475092488194336e+25,1.604951383297413883e+25
3.030303030303030300e-03,1.954981383884316928e+25,1.949883047700546423e+25,1.936728763307187973e+25,1.911891446818218421e+25,1.873329157186969840e+25,1.820911962939015379e+25,1.756084692658662003e+25,1.681254421770382884e+25,1.599200448545417607e+25
2.727272727272727487e-03,1.955018608557163620e+25,1.950060945825574484e+25,1.937194289814109600e+25,1.912780857823983849e+25,1.874723546051865951e+25,1.822822437258070749e+25,1.758462696886780272e+25,1.684013543250766994e+25,1.602238403885350776e+25
3.333333333333333114e-03,1.954939291597215023e+25,1.949682821591386135e+25,1.936206840301338479e+25,1.910897483655289615e+25,1.871774940753057853e+25,1.818787032027741075e+25,1.753444271933345108e+25,1.678195014632999354e+25,1.595835526312997669e+25
3.030303030303030300e-03,1.954981383884318217e+25,1.949883047700545994e+25,1.936728763307188832e+25,1.911891446818219710e+25,1.873329157186969626e+25,1.820911962939016453e+25,1.756084692658662218e+25,1.681254421770383528e+25,1.599200448545417607e+25
3.636363636363636360e-03,1.954892026259312767e+25,1.949459127515616936e+25,1.935626213211837010e+25,1.909795596351211435e+25,1.870056908079596222e+25,1.816443592001691988e+25,1.750537781209981285e+25,1.674832355549544392e+25,1.592141474425214704e+25
