x,t=2.00e+01s,t=4.00e+01s,t=6.00e+01s,t=8.00e+01s
3.030303030303030300e-04,1.806290999307124598e+25,1.771643528628554934e+25,1.703765323917783880e+25,1.604248528727091390e+25
0.000000000000000000e+00,1.806294262664793829e+25,1.771654920088013736e+25,1.703787642134882163e+25,1.604281250880188540e+25
6.060606060606060601e-04,1.806256466416017691e+25,1.771523011152752802e+25,1.703529246786074518e+25,1.603902447636072979e+25
3.030303030303030300e-04,1.806290999307125886e+25,1.771643528628555363e+25,1.703765323917783236e+25,1.604248528727092034e+25
9.090909090909090901e-04,1.806202007813776314e+25,1.771333100572857512e+25,1.703157461900130613e+25,1.603357674884357950e+25
6.060606060606060601e-04,1.806256466416017691e+25,1.771523011152752802e+25,1.703529246786074518e+25,1.603902447636072765e+25
1.212121212121212120e-03,1.806126009190436358e+25,1.771068375455885884e+25,1.702639673611745248e+25,1.602599480859008203e+25
9.090909090909090901e-04,1.806202007813776743e+25,1.771333100572857297e+25,1.703157461900130398e+25,1.603357674884357306e+25
1.515151515151515150e-03,1.806027977851020049e+25,1.770727414432866221e+25,1.701973551259042546e+25,1.601624956181683672e+25
1.212121212121212120e-03,1.806126009190436143e+25,1.771068375455885670e+25,1.702639673611745463e+25,1.602599480859008632e+25
1.818181818181818180e-03,1.805907472448556959e+25,1.770309065419211673e+25,1.701157426390768825e+25,1.600432310805111760e+25
1.515151515151515150e-03,1.806027977851020049e+25,1.770727414432866221e+25,1.701973551259042332e+25,1.601624956181683672e+25
2.121212121212120993e-03,1.805763997992380087e+25,1.769812082741922120e+25,1.700189585531481424e+25,1.599019839633585047e+25
1.818181818181818180e-03,1.805907472448559106e+25,1.770309065419212961e+25,1.701157426390769255e+25,1.600432310805112405e+25
2.424242424242424240e-03,1.805596981023536159e+25,1.769235044910187091e+25,1.699068113548376075e+25,1.597385695880338903e+25
2.121212121212120993e-03,1.805763997992379657e+25,1.769812082741921046e+25,1.700189585531481639e+25,1.599019839633585262e+25
2.727272727272727487e-03,1.805405759949936683e+25,1.768576326194249929e+25,1.697790843302867275e+25,1.595527820814770786e+25
2.424242424242424240e-03,1.805596981023534871e+25,1.769235044910187736e+25,1.699068113548377149e+25,1.597385695880338903e+25
3.030303030303030300e-03,1.805189579289069393e+25,1.767834082774423444e+25,1.696355334731651567e+25,1.593443917217544759e+25
2.727272727272727487e-03,1.805405759949936683e+25,1.768576326194252077e+25,1.697790843302869208e+25,1.595527820814771215e+25
3.333333333333333114e-03,1.804947584967289260e+25,1.767006243553631312e+25,1.694758863968868997e+25,1.591131438114506161e+25
3.030303030303030300e-03,1.805189579289071970e+25,1.767834082774424947e+25,1.696355334731652641e+25,1.593443917217545189e+25
3.636363636363636360e-03,1.804678819757952263e+25,1.766090502483496807e+25,1.692998416363041199e+25,1.588587581776148028e+25
3.333333333333333114e-03,1.804947584967289045e+25,1.767006243553631097e+25,1.694758863968868567e+25,1.591131438114506375e+25
3.939393939393939607e-03,1.804382218503664564e+25,1.765084311227156755e+25,1.691070681112078066e+25,1.585809289643506754e+25
3.636363636363636360e-03,1.804678819757950975e+25,1.766090502483496163e+25,1.692998416363042487e+25,1.588587581776148672e+25
4.242424242424241987e-03,1.804056602960053151e+25,1.763984871661286511e+25,1.688972046574082711e+25,1.582793245797598977e+25
3.939393939393939607e-03,1.804382218503664350e+25,1.765084311227156326e+25,1.691070681112078496e+25,1.585809289643505680e+25
4.545454545454545234e-03,1.803700676171700940e+25,1.762789127984053744e+25,1.686698595832701948e+25,1.579535877353034935e+25
4.242424242424241987e-03,1.804056602960053366e+25,1.763984871661284793e+25,1.688972046574083355e+25,1.582793245797599836e+25
4.848484848484848481e-03,1.803313016320604918e+25,1.761493758308765354e+25,1.684246102320373165e+25,1.576033355484932259e+25
4.545454545454545234e-03,1.803700676171701369e+25,1.762789127984052026e+25,1.686698595832702378e+25,1.579535877353035580e+25
5.151515151515151728e-03,1.802892069999698155e+25,1.760095165675152893e+25,1.681610025408161273e+25,1.572281596951777587e+25
4.848484848484848481e-03,1.803313016320604274e+25,1.761493758308764280e+25,1.684246102320371447e+25,1.576033355484932259e+25
5.454545454545454974e-03,1.802436144868254291e+25,1.758589468435827439e+25,1.678785505924174011e+25,1.568276266053697150e+25
5.151515151515151728e-03,1.802892069999696437e+25,1.760095165675151604e+25,1.681610025408160414e+25,1.572281596951777587e+25
5.757575757575757354e-03,1.801943401646649821e+25,1.756972489988872083e+25,1.675767361591617763e+25,1.564012777006850408e+25
5.454545454545454974e-03,1.802436144868253647e+25,1.758589468435826580e+25,1.678785505924174011e+25,1.568276266053696505e+25
6.060606060606060601e-03,1.801411845406581019e+25,1.755239747834824033e+25,1.672550082394867794e+25,1.559486296738147022e+25
5.757575757575757354e-03,1.801943401646649606e+25,1.756972489988872513e+25,1.675767361591618407e+25,1.564012777006849978e+25
6.363636363636363848e-03,1.800839316110333315e+25,1.753386441940594597e+25,1.669127825893103589e+25,1.554691748118977765e+25
