x,t=2.00e+02s,t=4.00e+02s,t=6.00e+02s,t=8.00e+02s
3.030303030303030300e-04,5.625018183800332921e+24,2.530124893563404044e+24,1.026267104738789888e+24,3.993356887480650453e+23
0.000000000000000000e+00,5.625147406976234878e+24,2.530221353137066897e+24,1.026313976676709623e+24,3.993552289590610326e+23
6.060606060606060601e-04,5.623651712605683272e+24,2.529104982760054111e+24,1.025771532925830175e+24,3.991290974878532559e+23
3.030303030303030300e-04,5.625018183800327552e+24,2.530124893563401359e+24,1.026267104738789485e+24,3.993356887480646427e+23
9.090909090909090901e-04,5.621502013334341540e+24,2.527501031574901906e+24,1.024992320147771510e+24,3.988042917400407085e+23
6.060606060606060601e-04,5.623651712605677903e+24,2.529104982760051964e+24,1.025771532925829101e+24,3.991290974878531888e+23
1.212121212121212120e-03,5.618512785370268595e+24,2.525271808617794178e+24,1.023909637772861088e+24,3.983530460727408863e+23
9.090909090909090901e-04,5.621502013334339392e+24,2.527501031574899758e+24,1.024992320147770705e+24,3.988042917400404401e+23
1.515151515151515150e-03,5.614675123086736314e+24,2.522411766823073108e+24,1.022521076091337174e+24,3.977744123017835630e+23
1.212121212121212120e-03,5.618512785370264300e+24,2.525271808617789883e+24,1.023909637772860014e+24,3.983530460727406850e+23
1.818181818181818180e-03,5.609985277210531342e+24,2.518919524316152945e+24,1.020826330613262441e+24,3.970683358036568918e+23
1.515151515151515150e-03,5.614675123086729872e+24,2.522411766823068813e+24,1.022521076091336369e+24,3.977744123017833617e+23
2.121212121212120993e-03,5.604440568441190000e+24,2.514794815494898355e+24,1.018825720266794245e+24,3.962350376416161552e+23
1.818181818181818180e-03,5.609985277210534563e+24,2.518919524316153482e+24,1.020826330613262307e+24,3.970683358036571602e+23
2.424242424242424240e-03,5.598038489969580164e+24,2.510037822575368657e+24,1.016519862201106557e+24,3.952748788219301950e+23
2.121212121212120993e-03,5.604440568441183557e+24,2.514794815494895671e+24,1.018825720266793037e+24,3.962350376416160881e+23
2.727272727272727487e-03,5.590776427099522043e+24,2.504648968072155170e+24,1.013909570502881628e+24,3.941883178660066461e+23
2.424242424242424240e-03,5.598038489969578016e+24,2.510037822575368120e+24,1.016519862201105886e+24,3.952748788219301950e+23
3.030303030303030300e-03,5.582651548928282406e+24,2.498628836008531704e+24,1.010995817399553117e+24,3.929758944020459149e+23
2.727272727272727487e-03,5.590776427099525264e+24,2.504648968072158928e+24,1.013909570502882434e+24,3.941883178660065790e+23
3.333333333333333114e-03,5.573660759740980518e+24,2.491978137990824106e+24,1.007779716194312108e+24,3.916382217858688735e+23
3.030303030303030300e-03,5.582651548928286701e+24,2.498628836008533852e+24,1.010995817399553653e+24,3.929758944020461833e+23
3.636363636363636360e-03,5.563800674447189143e+24,2.484697697517582613e+24,1.004262512990826392e+24,3.901759833554625107e+23
3.333333333333333114e-03,5.573660759740982665e+24,2.491978137990822495e+24,1.007779716194312108e+24,3.916382217858688064e+23
3.939393939393939607e-03,5.553067604790830715e+24,2.476788442618965688e+24,1.000445582392871042e+24,3.885899303120609036e+23
3.636363636363636360e-03,5.563800674447189143e+24,2.484697697517581539e+24,1.004262512990826392e+24,3.901759833554623765e+23
4.242424242424241987e-03,5.541457550783816749e+24,2.468251402684841708e+24,9.963304251646284629e+23,3.868808803881155360e+23
3.939393939393939607e-03,5.553067604790827494e+24,2.476788442618963541e+24,1.000445582392870639e+24,3.885899303120606352e+23
4.545454545454545234e-03,5.528966194820947284e+24,2.459087707585594127e+24,9.919186669284235789e+23,3.850497169174074984e+23
4.242424242424241987e-03,5.541457550783815675e+24,2.468251402684842245e+24,9.963304251646285971e+23,3.868808803881156702e+23
4.848484848484848481e-03,5.515588897222805353e+24,2.449298588152309557e+24,9.872120574444629142e+23,3.830973881175684363e+23
4.545454545454545234e-03,5.528966194820946210e+24,2.459087707585593054e+24,9.919186669284242500e+23,3.850497169174074313e+23
5.151515151515151728e-03,5.501320692550649273e+24,2.438885377529210355e+24,9.822124702337214332e+23,3.810249064856187988e+23
4.848484848484848481e-03,5.515588897222804279e+24,2.449298588152307946e+24,9.872120574444633168e+23,3.830973881175685705e+23
5.454545454545454974e-03,5.486156286331743820e+24,2.427849513131328099e+24,9.769219024120280882e+23,3.788333482516978598e+23
5.151515151515151728e-03,5.501320692550650347e+24,2.438885377529207671e+24,9.822124702337214332e+23,3.810249064856188659e+23
5.757575757575757354e-03,5.470090051987149722e+24,2.416192539055183905e+24,9.713424746589667658e+23,3.765238528593612002e+23
5.454545454545454974e-03,5.486156286331743820e+24,2.427849513131327562e+24,9.769219024120275513e+23,3.788333482516976585e+23
6.060606060606060601e-03,5.453116027837444260e+24,2.403916108852927666e+24,9.654764312755409215e+23,3.740976224534810864e+23
5.757575757575757354e-03,5.470090051987148649e+24,2.416192539055183637e+24,9.713424746589663632e+23,3.765238528593612002e+23
6.363636363636363848e-03,5.435227914109386756e+24,2.391021988615931031e+24,9.593261403016167749e+23,3.715559213639268429e+23
6.060606060606060601e-03,5.453116027837443186e+24,2.403916108852927666e+24,9.654764312755399819e+23,3.740976224534808851e+23
6.666666666666666227e-03,5.416419069894087450e+24,2.377512060334833467e+24,9.528940936742315103e+23,3.689000755774207767e+23
6.363636363636363848e-03,5.435227914109386756e+24,2.391021988615930495e+24,9.593261403016161038e+23,3.715559213639269100e+23
6.969696969696969474e-03,5.396682510024247366e+24,2.363388325515750906e+24,9.461829074138355403e+23,3.661314721924870979e+23
6.666666666666666227e-03,5.416419069894086376e+24,2.377512060334833198e+24,9.528940936742315103e+23,3.689000755774209781e+23
7.272727272727272721e-03,5.376010901848292137e+24,2.348652909040406062e+24,9.391953218292648541e+23,3.632515588539945100e+23
6.969696969696969474e-03,5.396682510024246292e+24,2.363388325515750101e+24,9.461829074138350035e+23,3.661314721924870979e+23
7.575757575757575968e-03,5.354396561885990484e+24,2.333308063263081087e+24,9.319342017345676095e+23,3.602618431647870972e+23
7.272727272727272721e-03,5.376010901848294284e+24,2.348652909040405525e+24,9.391953218292647199e+23,3.632515588539945771e+23
7.878787878787879215e-03,5.331831452354123108e+24,2.317356172340680119e+24,9.244025366722684786e+23,3.571638920725343230e+23
