x,t=1.00e+01s,t=2.00e+01s,t=3.00e+01s,t=4.00e+01s,t=5.00e+01s,t=6.00e+01s,t=7.00e+01s,t=8.00e+01s,t=9.00e+01s
3.030303030303030300e-04,1.380312883790096261e+24,1.380285837054870391e+24,1.380166572802531603e+24,1.379819133634530014e+24,1.379023595728667589e+24,1.377483168343916041e+24,1.374851354822230239e+24,1.370770782313578425e+24,1.364913034317432535e+24
0.000000000000000000e+00,1.380312884820541056e+24,1.380285873852240265e+24,1.380166735092070555e+24,1.379819606464407387e+24,1.379024678467821814e+24,1.377485265040579714e+24,1.374854937243289481e+24,1.370776337084138062e+24,1.364921008681654101e+24
6.060606060606060601e-04,1.380312872659357801e+24,1.380285446740045369e+24,1.380164852484786528e+24,1.379814123392663305e+24,1.379012126195170926e+24,1.377460963635027943e+24,1.374813424286613367e+24,1.370711980008322525e+24,1.364828632563844951e+24
3.030303030303030300e-04,1.380312883790096529e+24,1.380285837054868780e+24,1.380166572802530798e+24,1.379819133634530282e+24,1.379023595728667052e+24,1.377483168343915772e+24,1.374851354822229434e+24,1.370770782313578156e+24,1.364913034317432267e+24
9.090909090909090901e-04,1.380312854191693676e+24,1.380284826205999216e+24,1.380162123473833691e+24,1.379806185700918527e+24,1.378993973934023139e+24,1.377425852433448833e+24,1.374753492479763796e+24,1.370619131497545040e+24,1.364695439129050658e+24
6.060606060606060601e-04,1.380312872659358069e+24,1.380285446740043759e+24,1.380164852484785723e+24,1.379814123392662499e+24,1.379012126195170390e+24,1.377460963635026601e+24,1.374813424286612561e+24,1.370711980008322256e+24,1.364828632563844146e+24
1.212121212121212120e-03,1.380312826499047268e+24,1.380283949882766810e+24,1.380158281892295225e+24,1.379795033110792020e+24,1.378968508549145303e+24,1.377376659797516631e+24,1.374669619295876622e+24,1.370489318783624554e+24,1.364509376876536490e+24
9.090909090909090901e-04,1.380312854191693944e+24,1.380284826205998948e+24,1.380162123473832349e+24,1.379806185700917454e+24,1.378993973934022334e+24,1.377425852433448028e+24,1.374753492479762990e+24,1.370619131497544503e+24,1.364695439129049584e+24
1.515151515151515150e-03,1.380312787449683502e+24,1.380282801808562830e+24,1.380153269988449044e+24,1.379780518964886042e+24,1.378935433654320094e+24,1.377312876471874841e+24,1.374561029510603775e+24,1.370321466542055844e+24,1.364269058792799062e+24
1.212121212121212120e-03,1.380312826499046731e+24,1.380283949882765467e+24,1.380158281892294688e+24,1.379795033110790678e+24,1.378968508549145035e+24,1.377376659797516363e+24,1.374669619295876354e+24,1.370489318783623480e+24,1.364509376876536490e+24
