x,t=3.56e+00s,t=7.11e+00s,t=1.07e+01s,t=1.42e+01s
3.030303030303030300e-04,2.655310264039315749e+25,2.655310372123278001e+25,2.655310470307799340e+25,2.655310523728405428e+25
0.000000000000000000e+00,2.655310263604694693e+25,2.655310371693483201e+25,2.655310469917276002e+25,2.655310523515514207e+25
6.060606060606060601e-04,2.655310268620162940e+25,2.655310376667424697e+25,2.655310474433103831e+25,2.655310525961553917e+25
3.030303030303030300e-04,2.655310264039315749e+25,2.655310372123277572e+25,2.655310470307797622e+25,2.655310523728405428e+25
9.090909090909090901e-04,2.655310275836122032e+25,2.655310383812334293e+25,2.655310480899692921e+25,2.655310529376366879e+25
6.060606060606060601e-04,2.655310268620162940e+25,2.655310376667422979e+25,2.655310474433103401e+25,2.655310525961553487e+25
1.212121212121212120e-03,2.655310285881458261e+25,2.655310393739036224e+25,2.655310489842861944e+25,2.655310533918613481e+25
9.090909090909090901e-04,2.655310275836123750e+25,2.655310383812333004e+25,2.655310480899691632e+25,2.655310529376365591e+25
1.515151515151515150e-03,2.655310298784888638e+25,2.655310406467517121e+25,2.655310501239008767e+25,2.655310539390537967e+25
1.212121212121212120e-03,2.655310285881457402e+25,2.655310393739035794e+25,2.655310489842861944e+25,2.655310533918613052e+25
1.818181818181818180e-03,2.655310314555825583e+25,2.655310421996706678e+25,2.655310515030536590e+25,2.655310545509511302e+25
1.515151515151515150e-03,2.655310298784886920e+25,2.655310406467518409e+25,2.655310501239007479e+25,2.655310539390535390e+25
2.121212121212120993e-03,2.655310333198277161e+25,2.655310440317473795e+25,2.655310531135007381e+25,2.655310551902082643e+25
1.818181818181818180e-03,2.655310314555826442e+25,2.655310421996708396e+25,2.655310515030537020e+25,2.655310545509512161e+25
2.424242424242424240e-03,2.655310354713854841e+25,2.655310461414876709e+25,2.655310549443669133e+25,2.655310558088820683e+25
2.121212121212120993e-03,2.655310333198274154e+25,2.655310440317472506e+25,2.655310531135007811e+25,2.655310551902081784e+25
2.727272727272727487e-03,2.655310379102729136e+25,2.655310485268152691e+25,2.655310569816872700e+25,2.655310563463403600e+25
2.424242424242424240e-03,2.655310354713853982e+25,2.655310461414875850e+25,2.655310549443669562e+25,2.655310558088819395e+25
3.030303030303030300e-03,2.655310406363913061e+25,2.655310511849841865e+25,2.655310592077465716e+25,2.655310567265688755e+25
2.727272727272727487e-03,2.655310379102728706e+25,2.655310485268153550e+25,2.655310569816874418e+25,2.655310563463404030e+25
3.333333333333333114e-03,2.655310436495339878e+25,2.655310541124398226e+25,2.655310616002162279e+25,2.655310568547672928e+25
3.030303030303030300e-03,2.655310406363913061e+25,2.655310511849841006e+25,2.655310592077467434e+25,2.655310567265688755e+25
3.636363636363636360e-03,2.655310469493791797e+25,2.655310573046277938e+25,2.655310641310496301e+25,2.655310566130847586e+25
3.333333333333333114e-03,2.655310436495337730e+25,2.655310541124396078e+25,2.655310616002160561e+25,2.655310568547671210e+25
3.939393939393939607e-03,2.655310505354740635e+25,2.655310607557446974e+25,2.655310667650865007e+25,2.655310558552913804e+25
3.636363636363636360e-03,2.655310469493790079e+25,2.655310573046273643e+25,2.655310641310494153e+25,2.655310566130845868e+25
