t(s),Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Average T volume 1,Flux surface 1: solute,Flux surface 2: solute
0.5,907615248170.8256,1.8160647391542892e+16,8958804956305387.0,7263895910517885.0,1937038909471435.8,300.0000000000004,-2.400371654086782e+19,-460056565923.14764
0.9545454545454546,1265274720692.3638,2.7860470082102324e+16,1.3743874371641618e+16,1.1143681922952662e+16,2971648512787378.5,300.0000000000004,-2.401869717374798e+19,-1509021729311.9822
1.4545454545454546,1595427954435.7153,3.546000374052994e+16,1.7492814767537244e+16,1.4183363325030202e+16,3782230220008057.0,300.0000000000004,-2.4024834859592733e+19,-4364031988815.035
2.004545454545455,1896497494862.3225,4.215819660771462e+16,2.0797108054375108e+16,1.6862520044087914e+16,4496672011756777.5,300.0000000000004,-2.402784803834728e+19,-11721364454203.766
2.609545454545455,2179171841057.4211,4.841594936477586e+16,2.3884126628514496e+16,1.9365508077173916e+16,5164135487246373.0,300.0000000000004,-2.4029664625112998e+19,-30282589111944.684
3.275045454545455,2451966075717.4736,5.442567258225445e+16,2.684878883731481e+16,2.176928824647146e+16,5805143532392399.0,300.0000000000004,-2.403093125878242e+19,-76680078109333.44
4.007095454545455,2719771666786.7373,6.0248550909619704e+16,2.9721276694723428e+16,2.409833245518117e+16,6426221988048319.0,300.0000000000004,-2.4031892699036967e+19,-191488605733619.16
4.812350454545456,2984295300045.5693,6.5815123931456344e+16,3.2467322220503804e+16,2.632485585446251e+16,7019961561190008.0,300.0000000000004,-2.403265881800118e+19,-466940102400262.75
5.698130954545457,3241048924555.047,7.0855852113534904e+16,3.4953954791874428e+16,2.834104442584414e+16,7557611846891775.0,300.0000000000004,-2.4033280486573314e+19,-1067730582753854.9
6.6724895045454575,3469789922707.2007,7.491516744174565e+16,3.695643750823265e+16,2.996467906072915e+16,7990581082861114.0,300.0000000000004,-2.4033762828287013e+19,-2110600418635414.8
7.744283909545459,3635943845259.462,7.770670515550067e+16,3.833351414441671e+16,3.108122768466216e+16,8288327382576580.0,300.0000000000004,-2.4034081745191174e+19,-3354004807066453.0
8.92325775504546,3728046927223.354,7.941019960969822e+16,3.917385930430038e+16,3.1762588625108428e+16,8470023633362249.0,300.0000000000004,-2.4034248173959447e+19,-4347756716545472.5
10.220128985095462,3769479640912.2383,8.041092201263952e+16,3.966752858294598e+16,3.2162861013199436e+16,8576762936853189.0,300.0000000000004,-2.4034320025766265e+19,-4949416386530336.0
11.646687338150464,3786445380846.8887,8.101190439915656e+16,3.996400485719594e+16,3.240324718151026e+16,8640865915069401.0,300.0000000000004,-2.403434855461483e+19,-5271321037785233.0
