x,t=1.00e+01s,t=2.00e+01s,t=3.00e+01s,t=4.00e+01s,t=5.00e+01s,t=6.00e+01s,t=7.00e+01s,t=8.00e+01s,t=9.00e+01s,t=1.00e+02s,t=1.10e+02s,t=1.20e+02s,t=1.30e+02s,t=1.40e+02s,t=1.50e+02s,t=1.60e+02s
1.818181818181818180e-03,1.414239134915317688e+11,1.348196586601655078e+13,2.065885400240064688e+14,1.287753413433500500e+15,4.789472225386176000e+15,1.291733764385748600e+16,2.831469319101558000e+16,5.452171506768571200e+16,9.811502398401608000e+16,1.735146961121228160e+17,3.109195184040866560e+17,5.667880550594477440e+17,1.035217155540480384e+18,1.858031271836553216e+18,3.231590934847806976e+18,5.409077355058738176e+18
1.515151515151515150e-03,1.312209218254409790e+11,1.278046808658255859e+13,1.986994112924165938e+14,1.250761623472042500e+15,4.683121483050120000e+15,1.268910247974447000e+16,2.790234503907031600e+16,5.383321099427915200e+16,9.696282575259217600e+16,1.714848525271640000e+17,3.071724924868992000e+17,5.598135629256766080e+17,1.022586055000575232e+18,1.836193560039531520e+18,3.195759137260470272e+18,5.353215245840837632e+18
2.121212121212120993e-03,1.540931777463278503e+11,1.433911732152635938e+13,2.161276414175045625e+14,1.332179150613662750e+15,4.916630536904682000e+15,1.318944425784304400e+16,2.880547869315492800e+16,5.534071947080302400e+16,9.948612720853563200e+16,1.759319809193190720e+17,3.153836604803493120e+17,5.750964946013268480e+17,1.050256932105277056e+18,1.884016575876395008e+18,3.274199221302562304e+18,5.475460822625039360e+18
1.818181818181818180e-03,1.414239134915317688e+11,1.348196586601655273e+13,2.065885400240064688e+14,1.287753413433500750e+15,4.789472225386176000e+15,1.291733764385748600e+16,2.831469319101556800e+16,5.452171506768572000e+16,9.811502398401603200e+16,1.735146961121228800e+17,3.109195184040866560e+17,5.667880550594478080e+17,1.035217155540481280e+18,1.858031271836553216e+18,3.231590934847805440e+18,5.409077355058740224e+18
2.424242424242424240e-03,1.695684118273762817e+11,1.536707602575898242e+13,2.274311021864680625e+14,1.384412644658089000e+15,5.065375116483813000e+15,1.350669015432245800e+16,2.937657403312366400e+16,5.629312262932656000e+16,1.010812649356665920e+17,1.787466677599565120e+17,3.205842626816448640e+17,5.847743933135404800e+17,1.067765950817492736e+18,1.914245543971734016e+18,3.323726772302789120e+18,5.552566153090524160e+18
2.121212121212120993e-03,1.540931777463277283e+11,1.433911732152633984e+13,2.161276414175043438e+14,1.332179150613661000e+15,4.916630536904677000e+15,1.318944425784303600e+16,2.880547869315490000e+16,5.534071947080296800e+16,9.948612720853552000e+16,1.759319809193189440e+17,3.153836604803491840e+17,5.750964946013265920e+17,1.050256932105276032e+18,1.884016575876393472e+18,3.274199221302557696e+18,5.475460822625034240e+18
2.727272727272727487e-03,1.882670097786416016e+11,1.658402597655435352e+13,2.406340034588208125e+14,1.444890516949366000e+15,5.236608417812103000e+15,1.387053651243183000e+16,3.003013113455261200e+16,5.738225843407956800e+16,1.029063557184798880e+17,1.819702731889901120e+17,3.265436905005043200e+17,5.958627558366007040e+17,1.087814009080103040e+18,1.948828642785455616e+18,3.380337367427587584e+18,5.640622786777383936e+18
2.424242424242424240e-03,1.695684118273761597e+11,1.536707602575895117e+13,2.274311021864676562e+14,1.384412644658086750e+15,5.065375116483810000e+15,1.350669015432244600e+16,2.937657403312363200e+16,5.629312262932645600e+16,1.010812649356663840e+17,1.787466677599564160e+17,3.205842626816445440e+17,5.847743933135397120e+17,1.067765950817490560e+18,1.914245543971730176e+18,3.323726772302784512e+18,5.552566153090519040e+18
3.030303030303030300e-03,2.106969250969442749e+11,1.801153721941591797e+13,2.558938716406795625e+14,1.514116254629524000e+15,5.431363375059007000e+15,1.428264796418954200e+16,3.076859739185307600e+16,5.861192496336128800e+16,1.049681628644209760e+17,1.856159775982857600e+17,3.332875308441591680e+17,6.084084268436595200e+17,1.110480702945806848e+18,1.987891612944158976e+18,3.444217091922393088e+18,5.739890954697769984e+18
2.727272727272727487e-03,1.882670097786415710e+11,1.658402597655434766e+13,2.406340034588207812e+14,1.444890516949365500e+15,5.236608417812104000e+15,1.387053651243182800e+16,3.003013113455259600e+16,5.738225843407956000e+16,1.029063557184798240e+17,1.819702731889901760e+17,3.265436905005042560e+17,5.958627558366001920e+17,1.087814009080102144e+18,1.948828642785454080e+18,3.380337367427587584e+18,5.640622786777381888e+18
3.333333333333333114e-03,2.374722087297257996e+11,1.967497615764765234e+13,2.733925895846995938e+14,1.592664288685075750e+15,5.650809417214439000e+15,1.474490053894290400e+16,3.159472751852774400e+16,5.998640658777107200e+16,1.072743402824101440e+17,1.896987173685456640e+17,3.408447622643111680e+17,6.224643787331810560e+17,1.135855876932467328e+18,2.031576128955152128e+18,3.515575257064347136e+18,5.850662912132135936e+18
3.030303030303030300e-03,2.106969250969444275e+11,1.801153721941591797e+13,2.558938716406798125e+14,1.514116254629524500e+15,5.431363375059007000e+15,1.428264796418954800e+16,3.076859739185307600e+16,5.861192496336133600e+16,1.049681628644209920e+17,1.856159775982857280e+17,3.332875308441590400e+17,6.084084268436599040e+17,1.110480702945806720e+18,1.987891612944159744e+18,3.444217091922394112e+18,5.739890954697771008e+18
3.636363636363636360e-03,2.693317735299088440e+11,2.160398250944380078e+13,2.933385416207183750e+14,1.681184382396261500e+15,5.896258564842697000e+15,1.525938915174491600e+16,3.251159432306752400e+16,6.151049471527640800e+16,1.098334773222030880e+17,1.942352766662383360e+17,3.492479241296484480e+17,6.380899927557630720e+17,1.164040051644946688e+18,2.080040404381365248e+18,3.594645208701957632e+18,5.973263971118050304e+18
3.333333333333333114e-03,2.374722087297255859e+11,1.967497615764762891e+13,2.733925895846993438e+14,1.592664288685074250e+15,5.650809417214432000e+15,1.474490053894289600e+16,3.159472751852770000e+16,5.998640658777101600e+16,1.072743402824100160e+17,1.896987173685454720e+17,3.408447622643109120e+17,6.224643787331808000e+17,1.135855876932466176e+18,2.031576128955151104e+18,3.515575257064343552e+18,5.850662912132133888e+18
3.939393939393939607e-03,3.071619951851674805e+11,2.383302295953853906e+13,3.159690327174909375e+14,1.780406448570637500e+15,6.169171910321630000e+15,1.582843527571641200e+16,3.352259959558092800e+16,6.318950921217482400e+16,1.126551460827478080e+17,1.992443850127947520e+17,3.585332958794090240e+17,6.553513539095784960e+17,1.195144865448344832e+18,2.133459804267724032e+18,3.681685125035302912e+18,6.108053488863180800e+18
3.636363636363636360e-03,2.693317735299085388e+11,2.160398250944379297e+13,2.933385416207178750e+14,1.681184382396259250e+15,5.896258564842691000e+15,1.525938915174489200e+16,3.251159432306746000e+16,6.151049471527627200e+16,1.098334773222028640e+17,1.942352766662381760e+17,3.492479241296481920e+17,6.380899927557625600e+17,1.164040051644945408e+18,2.080040404381363456e+18,3.594645208701951488e+18,5.973263971118048256e+18
4.242424242424241987e-03,3.520238645198037720e+11,2.640203177374933203e+13,3.415530121356624375e+14,1.891145857273303500e+15,6.471166613385231000e+15,1.645459507216557000e+16,3.463148562700158000e+16,6.502932143687912000e+16,1.157499528371916160e+17,2.047468235360808640e+17,3.687410915408248960e+17,6.743215687992474880e+17,1.229293546162390016e+18,2.192027491609601536e+18,3.776978846744242176e+18,6.255425878493334528e+18
3.939393939393939607e-03,3.071619951851674194e+11,2.383302295953851953e+13,3.159690327174905000e+14,1.780406448570635000e+15,6.169171910321629000e+15,1.582843527571639600e+16,3.352259959558092800e+16,6.318950921217480000e+16,1.126551460827477120e+17,1.992443850127945920e+17,3.585332958794086400e+17,6.553513539095781120e+17,1.195144865448343808e+18,2.133459804267724032e+18,3.681685125035300352e+18,6.108053488863178752e+18
4.545454545454545234e-03,4.051855413802102661e+11,2.935714964329175391e+13,3.703941295705615000e+14,2.014309274649063250e+15,6.804023478192978000e+15,1.714066811038682400e+16,3.584234762905563600e+16,6.703637940675666400e+16,1.191295945333794400e+17,2.107655416009509760e+17,3.799156724309335680e+17,6.950811113863133440e+17,1.266621420931272704e+18,2.255955121026646528e+18,3.880836760076163072e+18,6.415811673324119040e+18
4.242424242424241987e-03,3.520238645198035889e+11,2.640203177374930859e+13,3.415530121356620625e+14,1.891145857273302000e+15,6.471166613385229000e+15,1.645459507216554800e+16,3.463148562700156000e+16,6.502932143687911200e+16,1.157499528371915360e+17,2.047468235360806720e+17,3.687410915408244480e+17,6.743215687992465920e+17,1.229293546162388992e+18,2.192027491609601792e+18,3.776978846744241152e+18,6.255425878493328384e+18
4.848484848484848481e-03,4.681613245119806519e+11,3.275157340799551953e+13,4.028341522214462500e+14,2.150901065221820500e+15,7.169695150264616000e+15,1.788970674908643200e+16,3.715964721848769600e+16,6.921773545107324800e+16,1.228069210569974240e+17,2.173257850348505600e+17,3.921057800489687040e+17,7.177181997996040960e+17,1.307276469150120448e+18,2.325473587041957376e+18,3.993596743934242816e+18,6.589678660807387136e+18
4.545454545454545234e-03,4.051855413802097168e+11,2.935714964329171484e+13,3.703941295705610625e+14,2.014309274649061250e+15,6.804023478192964000e+15,1.714066811038680000e+16,3.584234762905561200e+16,6.703637940675656800e+16,1.191295945333792480e+17,2.107655416009506560e+17,3.799156724309329920e+17,6.950811113863118080e+17,1.266621420931270144e+18,2.255955121026643456e+18,3.880836760076155392e+18,6.415811673324109824e+18
5.151515151515151728e-03,5.427582478562628784e+11,3.664653095059948438e+13,4.392567728362938125e+14,2.302030286978320500e+15,7.570314958858319000e+15,1.870502622447294000e+16,3.858822708480348000e+16,7.158107663739164800e+16,1.267960038424374080e+17,2.244552369806699520e+17,4.053647907964544000e+17,7.423292066254664960e+17,1.351419921887206144e+18,2.400833831771645440e+18,4.115625187643187200e+18,6.777533095396717568e+18
4.848484848484848481e-03,4.681613245119804688e+11,3.275157340799548438e+13,4.028341522214458125e+14,2.150901065221817000e+15,7.169695150264607000e+15,1.788970674908641200e+16,3.715964721848764800e+16,6.921773545107315200e+16,1.228069210569971680e+17,2.173257850348502400e+17,3.921057800489683840e+17,7.177181997996030720e+17,1.307276469150118912e+18,2.325473587041954304e+18,3.993596743934237184e+18,6.589678660807374848e+18
5.454545454545454974e-03,6.311317465367988281e+11,4.111239742339885156e+13,4.800918409491891875e+14,2.468918307634252000e+15,8.008206424150579000e+15,1.959021547768426000e+16,4.013332694340604000e+16,7.413475823841294400e+16,1.311122113900959520e+17,2.321841723570900160e+17,4.197509940332531840e+17,7.690191047930732800e+17,1.399226910599409408e+18,2.482307715618484736e+18,4.247318083978053120e+18,6.979920996218710016e+18
5.151515151515151728e-03,5.427582478562622681e+11,3.664653095059942188e+13,4.392567728362933125e+14,2.302030286978317000e+15,7.570314958858310000e+15,1.870502622447292000e+16,3.858822708480341600e+16,7.158107663739157600e+16,1.267960038424372000e+17,2.244552369806696960e+17,4.053647907964538880e+17,7.423292066254656000e+17,1.351419921887203840e+18,2.400833831771643392e+18,4.115625187643180544e+18,6.777533095396706304e+18
5.757575757575757354e-03,7.358521119143557129e+11,4.622997106122125781e+13,5.258200519920236250e+14,2.652907070506812000e+15,8.485893445350602000e+15,2.054914874876100800e+16,4.180060087166268000e+16,7.688784050814771200e+16,1.357722922595383360e+17,2.405456269184409920e+17,4.353278949634106880e+17,7.979019510742536960e+17,1.450887167672050176e+18,2.570188953998734848e+18,4.389102201011907584e+18,7.197429533735816192e+18
5.454545454545454974e-03,6.311317465367983398e+11,4.111239742339885938e+13,4.800918409491888750e+14,2.468918307634252500e+15,8.008206424150573000e+15,1.959021547768423200e+16,4.013332694340599200e+16,7.413475823841289600e+16,1.311122113900958560e+17,2.321841723570898880e+17,4.197509940332528000e+17,7.690191047930721280e+17,1.399226910599407872e+18,2.482307715618483712e+18,4.247318083978050048e+18,6.979920996218701824e+18
6.060606060606060601e-03,8.599837822315520020e+11,5.209192916178785938e+13,5.769781316042270000e+14,2.855468038821802500e+15,9.006111184075862000e+15,2.158599796245726400e+16,4.359613612806418400e+16,7.985012905031331200e+16,1.407944661387581440e+17,2.495755819515615680e+17,4.521645438889562880e+17,8.291014092266234880e+17,1.506605781234046720e+18,2.664794122885928960e+18,4.541436335831043584e+18,7.430688508702086144e+18
5.757575757575757354e-03,7.358521119143547363e+11,4.622997106122120312e+13,5.258200519920231250e+14,2.652907070506810500e+15,8.485893445350594000e+15,2.054914874876098400e+16,4.180060087166261600e+16,7.688784050814766400e+16,1.357722922595382080e+17,2.405456269184408960e+17,4.353278949634103040e+17,7.979019510742528000e+17,1.450887167672049152e+18,2.570188953998734336e+18,4.389102201011902976e+18,7.197429533735811072e+18
6.363636363636363848e-03,1.007179902781308960e+12,5.880448739281594531e+13,6.341645552213993750e+14,3.078211847793004500e+15,9.571817656189618000e+15,2.270524593124089200e+16,4.552647356144803200e+16,8.303221908334379200e+16,1.461985236328324800e+17,2.593131657123639360e+17,4.703358934469315200e+17,8.627513148743297280e+17,1.566604006716796416e+18,2.766463735875849728e+18,4.704812652930240512e+18,7.680371926250740736e+18
6.060606060606060601e-03,8.599837822315506592e+11,5.209192916178780469e+13,5.769781316042265000e+14,2.855468038821801500e+15,9.006111184075843000e+15,2.158599796245723200e+16,4.359613612806415200e+16,7.985012905031321600e+16,1.407944661387579840e+17,2.495755819515612480e+17,4.521645438889557120e+17,8.291014092266219520e+17,1.506605781234045184e+18,2.664794122885926912e+18,4.541436335831040512e+18,7.430688508702076928e+18
6.666666666666666227e-03,1.181795048061933105e+12,6.648928843466109375e+13,6.980458458575187500e+14,3.322898694281238000e+15,1.018620604449198600e+16,2.391170040213795200e+16,4.759862972692570400e+16,8.644554393317048000e+16,1.520059354668705600e+17,2.698008727830316480e+17,4.899231855420260480e+17,8.989962843186673920e+17,1.631120137696486144e+18,2.875563395487060480e+18,4.879758110009612288e+18,7.947199667716813824e+18
6.363636363636363848e-03,1.007179902781308350e+12,5.880448739281590625e+13,6.341645552213987500e+14,3.078211847793002000e+15,9.571817656189604000e+15,2.270524593124087600e+16,4.552647356144802400e+16,8.303221908334371200e+16,1.461985236328324160e+17,2.593131657123638080e+17,4.703358934469308160e+17,8.627513148743285760e+17,1.566604006716795136e+18,2.766463735875847168e+18,4.704812652930238464e+18,7.680371926250736640e+18
