413.25150268902246, 965573649734.7957
566.0689655172414, 1066004769846.6903
747.0547295159759, 1609308292669.2112
843.8958135611094, 2753693747729.6294
906.5510914267637, 6571830992362.658
981.6488453021195, 14367339613723
1066.1596541178951, 37382737025933.94
1181.8681851734686, 102373287462691.02
1256.9600337445956, 219938348482306.12
1331.9692080565223, 370131464402936.6
1397.5003690815142, 431990310872401.6
1453.583043340715, 381534021393660.5
1509.5535168195718, 241910635028228.47
1553.0460824633553, 150800735187102.53
1605.9398924391016, 108045180443047.17
1693.1907624169567, 92046476961304.88
